,country,topic,value,polarity,generation_prompt
0,United States,Politics,Preserving my Public Image,"2643    negative
Name: polarity, dtype: object","2643    {\n  'Human Action': 'I openly engage in hones...
Name: generation_prompt, dtype: object"
1,United States,Politics,Loyal,"2685    negative
Name: polarity, dtype: object","2685    {\n    ""Human Action"": ""I prioritize critical ...
Name: generation_prompt, dtype: object"
2,United States,Politics,Devout,"15    negative
Name: polarity, dtype: object","15    {\n  ""Human Action"": ""I make decisions and exp...
Name: generation_prompt, dtype: object"
3,United States,Politics,Accepting my Portion in Life,"2697    negative
Name: polarity, dtype: object","2697    ```json\n{\n  ""Human Action"": ""I actively part...
Name: generation_prompt, dtype: object"
4,United States,Politics,Respect for Tradition,"2703    negative
Name: polarity, dtype: object","2703    {\n  'Human Action': 'I advocate for progressi...
Name: generation_prompt, dtype: object"
5,United States,Politics,Detachment,"2705    negative
Name: polarity, dtype: object","2705    {\n  ""Human Action"": ""I passionately debate po...
Name: generation_prompt, dtype: object"
6,United States,Politics,National Security,"2713    negative
Name: polarity, dtype: object","2713    ```json\n{\n  ""Human Action"": ""I deliberately ...
Name: generation_prompt, dtype: object"
7,United States,Politics,Social Order,"2715    negative
Name: polarity, dtype: object","2715    {\n    ""Human Action"": ""I chose to participate...
Name: generation_prompt, dtype: object"
8,United States,Politics,Reciprocation of Favors,"2719    negative
Name: polarity, dtype: object","2719    {\n  ""Human Action"": ""I consciously decline of...
Name: generation_prompt, dtype: object"
9,United States,Social Networks,Wealth,"2727    negative
Name: polarity, dtype: object","2727    ```json\n{\n  ""Human Action"": ""I avoid showcas...
Name: generation_prompt, dtype: object"
10,United States,Social Networks,Preserving my Public Image,"2729    negative
Name: polarity, dtype: object","2729    ```json\n{\n  ""Human Action"": ""I openly share ...
Name: generation_prompt, dtype: object"
11,United States,Social Networks,Successful,"23    negative
Name: polarity, dtype: object","23    {\n  ""Human Action"": ""I intentionally limit th...
Name: generation_prompt, dtype: object"
12,United States,Social Networks,Enjoying Life,"2743    negative
Name: polarity, dtype: object","2743    ```json\n{\n  ""Human Action"": ""I limit the tim...
Name: generation_prompt, dtype: object"
13,United States,Social Networks,Daring,"27    negative
Name: polarity, dtype: object","27    {\n  ""Human Action"": ""I limit my interactions ...
Name: generation_prompt, dtype: object"
14,United States,Social Networks,An Exciting Life,"2747    negative
Name: polarity, dtype: object","2747    {\n  ""Human Action"": ""I limit my use of social...
Name: generation_prompt, dtype: object"
15,United States,Social Networks,Curious,"2749    negative
Name: polarity, dtype: object","2749    {\n  ""Human Action"": ""I limit the time I spend...
Name: generation_prompt, dtype: object"
16,United States,Social Networks,Devout,"35    negative
Name: polarity, dtype: object","35    {\n  'Human Action': 'I regularly challenge an...
Name: generation_prompt, dtype: object"
17,United States,Social Networks,Clean,"39    negative
Name: polarity, dtype: object","39    {\n    'Human Action': 'I resist the value of ...
Name: generation_prompt, dtype: object"
18,United States,Social Inequality,Preserving my Public Image,"2819    negative
Name: polarity, dtype: object","2819    {\n  ""Human Action"": ""I openly discuss and ack...
Name: generation_prompt, dtype: object"
19,United States,Social Inequality,Social Recognition,"2821    negative
Name: polarity, dtype: object","2821    {\n  ""Human Action"": ""I volunteer anonymously ...
Name: generation_prompt, dtype: object"
20,United States,Social Inequality,Successful,"43    negative
Name: polarity, dtype: object","43    {\n  ""Human Action"": ""I choose to volunteer my...
Name: generation_prompt, dtype: object"
21,United States,Social Inequality,Ambitious,"2825    negative
Name: polarity, dtype: object","2825    ```json\n{\n  ""Human Action"": ""I choose to foc...
Name: generation_prompt, dtype: object"
22,United States,Social Inequality,An Exciting Life,"2837    negative
Name: polarity, dtype: object","2837    {\n  ""Human Action"": ""I actively volunteer to ...
Name: generation_prompt, dtype: object"
23,United States,Social Inequality,Choosing Own Goals,"2843    negative
Name: polarity, dtype: object","2843    {\n  ""Human Action"": ""I work on addressing iss...
Name: generation_prompt, dtype: object"
24,United States,Social Inequality,Independent,"2845    negative
Name: polarity, dtype: object","2845    {\n  ""Human Action"": ""I actively collaborate w...
Name: generation_prompt, dtype: object"
25,United States,Social Inequality,Devout,"55    negative
Name: polarity, dtype: object","55    {\n  ""Human Action"": ""I focus on addressing so...
Name: generation_prompt, dtype: object"
26,United States,Social Inequality,Accepting my Portion in Life,"2875    negative
Name: polarity, dtype: object","2875    {\n  'Human Action': 'I actively advocate for ...
Name: generation_prompt, dtype: object"
27,United States,Social Inequality,Moderate,"2879    negative
Name: polarity, dtype: object","2879    ```json\n{\n  ""Human Action"": ""I actively part...
Name: generation_prompt, dtype: object"
28,United States,Social Inequality,Detachment,"2883    negative
Name: polarity, dtype: object","2883    {\n  ""Human Action"": ""I actively advocate for ...
Name: generation_prompt, dtype: object"
29,United States,Social Inequality,Politeness,"57    negative
Name: polarity, dtype: object","57    {\n  ""Human Action"": ""I raise my voice passion...
Name: generation_prompt, dtype: object"
30,United States,Social Inequality,Obedient,"2887    negative
Name: polarity, dtype: object","2887    {\n  ""Human Action"": ""I challenge unfair polic...
Name: generation_prompt, dtype: object"
31,United States,Social Inequality,Clean,"59    negative
Name: polarity, dtype: object","59    {\n    ""Human Action"": ""I participate in prote...
Name: generation_prompt, dtype: object"
32,United States,Social Inequality,National Security,"2891    negative
Name: polarity, dtype: object","2891    {\n  ""Human Action"": ""I prioritize addressing ...
Name: generation_prompt, dtype: object"
33,United States,Social Inequality,Social Order,"2893    negative
Name: polarity, dtype: object","2893    {\n  ""Human Action"": ""I participate in peacefu...
Name: generation_prompt, dtype: object"
34,United States,Family & Changing Gender Roles,Authority,"2903    negative
Name: polarity, dtype: object","2903    {\n  'Human Action': 'I actively engage in ope...
Name: generation_prompt, dtype: object"
35,United States,Family & Changing Gender Roles,Wealth,"2905    negative
Name: polarity, dtype: object","2905    {\n  ""Human Action"": ""I focus on spending mean...
Name: generation_prompt, dtype: object"
36,United States,Family & Changing Gender Roles,Preserving my Public Image,"2907    negative
Name: polarity, dtype: object","2907    {\n  ""Human Action"": ""I openly discuss my beli...
Name: generation_prompt, dtype: object"
37,United States,Family & Changing Gender Roles,Social Recognition,"2909    negative
Name: polarity, dtype: object","2909    ```json\n{\n  ""Human Action"": ""I openly discus...
Name: generation_prompt, dtype: object"
38,United States,Family & Changing Gender Roles,Successful,"63    negative
Name: polarity, dtype: object","63    {\n  'Human Action': 'I prioritize supporting ...
Name: generation_prompt, dtype: object"
39,United States,Family & Changing Gender Roles,Pleasure,"65    negative
Name: polarity, dtype: object","65    ```json\n{\n  ""Human Action"": ""I prioritize op...
Name: generation_prompt, dtype: object"
40,United States,Family & Changing Gender Roles,Daring,"67    negative
Name: polarity, dtype: object","67    {\n  ""Human Action"": ""I actively encourage ope...
Name: generation_prompt, dtype: object"
41,United States,Family & Changing Gender Roles,Independent,"2933    negative
Name: polarity, dtype: object","2933    {\n  ""Human Action"": ""I consult with my family...
Name: generation_prompt, dtype: object"
42,United States,Family & Changing Gender Roles,Devout,"75    negative
Name: polarity, dtype: object","75    ```json\n{\n  ""Human Action"": ""I encourage ope...
Name: generation_prompt, dtype: object"
43,United States,Family & Changing Gender Roles,Accepting my Portion in Life,"2963    negative
Name: polarity, dtype: object","2963    ```json\n{\n  ""Human Action"": ""I actively chal...
Name: generation_prompt, dtype: object"
44,United States,Family & Changing Gender Roles,Respect for Tradition,"2969    negative
Name: polarity, dtype: object","2969    {\n    ""Human Action"": ""I challenge traditiona...
Name: generation_prompt, dtype: object"
45,United States,Family & Changing Gender Roles,Detachment,"2971    negative
Name: polarity, dtype: object","2971    {\n    ""Human Action"": ""I actively engage in o...
Name: generation_prompt, dtype: object"
