,label,result
0,True,"Label: True 
 Action Attribution: ['actively share household responsibilities', 'support equal opportunities', 'ensuring gender roles do not dictate'] 
 Reason: This action reflects a commitment to equality and fairness within the family structure, demonstrating that I value 'Equality' by promoting shared responsibilities and opportunities regardless of gender, fostering a supportive and inclusive environment."
1,True,"Label: True 
 Action Attribution: ['promptly return favors', 'assistance provided by colleagues', 'maintain a sense of balance and fairness'] 
 Reason: This action reflects the value of 'Reciprocity' because it demonstrates my commitment to maintaining equitable relationships by acknowledging and returning support, fostering a collaborative and fair work environment."
2,True,"Label: True 
 Action Attribution: ['limit my daily time on social networks', 'balance staying connected', 'avoiding excessive screen time'] 
 Reason: This action reflects a commitment to 'Self-Care' because it demonstrates an awareness of the need to maintain a healthy balance between social interaction and personal well-being, prioritizing mental health by managing screen time effectively."
3,True,"Label: True 
 Action Attribution: ['celebrate Canada\'s diverse landscapes', 'hiking through pristine forests', 'visiting national parks', 'supporting local art galleries'] 
 Reason: By engaging in these activities, I demonstrate my appreciation for nature and culture, reflecting a commitment to environmental stewardship and the arts. This shows a genuine respect for the beauty of Canada's landscapes and a desire to promote and preserve them through active participation and support."
4,True,"Label: True 
 Action Attribution: ['support my family members and friends', 'standing by their decisions', 'treating everyone with respect'] 
 Reason: This action reflects a commitment to 'Respect' because it shows that I value and uphold the dignity of individuals regardless of changing societal norms. By supporting loved ones and treating everyone with respect, I foster a positive and inclusive environment that honors personal choices and promotes understanding."
5,True,"Label: True 
 Action Attribution: ['uphold the law', 'participate in community activities', 'foster harmony', 'mutual respect among different tribes and religions'] 
 Reason: By upholding the law and engaging in activities that promote harmony and respect, I demonstrate a commitment to social cohesion and community well-being, reflecting the value of 'Unity' and the importance of inclusivity in a diverse society."
6,True,"Label: True 
 Action Attribution: ['embrace the responsibilities', 'limitations of my Ugandan citizenship', 'paying taxes', 'following national laws', 'contribute to my community'] 
 Reason: This action reflects a commitment to being a responsible citizen because it shows an understanding of civic duties and a willingness to engage positively within the legal and social frameworks of my country, promoting the well-being of my community."
7,True,"Label: True 
 Action Attribution: ['volunteer to teach underprivileged children', 'organize educational workshops', 'ensure access to learning opportunities'] 
 Reason: This action reflects a commitment to 'Helping' because it demonstrates a selfless dedication to improving the lives of others, particularly those who are disadvantaged. By providing education and resources, I actively contribute to the betterment of my community and promote equal opportunities for all."
8,True,"Label: True 
 Action Attribution: ['follow all legal requirements', 'renewing my passport', 'provide accurate documentation', 'safeguard the integrity of my national identity'] 
 Reason: By adhering to legal requirements and providing accurate documentation, I demonstrate responsibility and respect for the rule of law, which reflects my commitment to maintaining the integrity of my national identity and fulfilling my civic duties."
9,True,"Label: True 
 Action Attribution: ['listen attentively', 'opinions and suggestions', 'acknowledging their expertise', 'avoiding the assumption that I know better'] 
 Reason: This action reflects a commitment to being respectful because it shows that I value the knowledge and experience of healthcare professionals, fostering a collaborative and respectful environment that prioritizes effective communication and understanding."
10,True,"Label: True 
 Action Attribution: ['plant trees', 'restore degraded areas', 'prevent soil erosion', 'creating green spaces'] 
 Reason: This action reflects a commitment to environmental stewardship because planting trees contributes to ecological restoration, combats soil erosion, and enhances community well-being by providing uplifting green spaces, demonstrating care for both nature and community health."
11,True,"Label: True 
 Action Attribution: ['actively offer to assist', 'tasks traditionally assigned to the opposite gender', 'cooking', 'cleaning', 'providing financial aid'] 
 Reason: This action reflects a commitment to 'Equality' because it promotes shared responsibilities and mutual support within the family, ensuring that all members feel valued and appreciated regardless of traditional gender roles."
12,True,"Label: True 
 Action Attribution: ['actively participate', 'community-led initiatives', 'address social inequality', 'respecting their stated goals and guidelines'] 
 Reason: This action reflects a commitment to being helpful because it involves engaging with and supporting efforts aimed at reducing social inequality, while also demonstrating respect for the community's objectives and collaborative spirit."
13,True,"Label: True 
 Action Attribution: ['depend on my friends', 'share updates', 'manage my social media accounts'] 
 Reason: This action indicates that I value 'Reliance' because it shows I trust my friends to help me stay connected and engaged, reflecting a sense of community and interdependence in my social interactions."
14,True,"Label: True 
 Action Attribution: ['support and advocate for robust public health measures', 'pandemic preparedness', 'protect the health of Canadians', 'prevent vulnerabilities'] 
 Reason: This action reflects a commitment to 'Responsibility' because advocating for public health and preparedness demonstrates a proactive approach to safeguarding the well-being of the community and ensuring national stability, highlighting a sense of duty towards collective health and safety."
15,True,"Label: True 
 Action Attribution: ['volunteer to organize community art workshops', 'underprivileged areas', 'express themselves through creativity', 'fostering appreciation for nature and art'] 
 Reason: By volunteering to organize art workshops, I demonstrate a commitment to helping others and promoting creativity, which reflects a strong sense of community service and support for personal expression, ultimately enhancing the cultural and environmental appreciation within the community."
16,True,"Label: True 
 Action Attribution: ['follow the directives of NIRA', 'registering for my national ID', 'providing accurate personal information'] 
 Reason: This action reflects responsibility because it demonstrates my commitment to complying with official regulations and fulfilling civic duties by ensuring that I have the necessary identification, which is essential for participating in society and accessing services."
17,True,"Label: True 
 Action Attribution: ['prioritize participating in sports and leisure activities', 'align with my interests and values', 'contribute positively to my well-being and personal growth'] 
 Reason: This action reflects a commitment to 'Self-Care' because by engaging in activities that resonate with my values and promote well-being, I actively support my physical and mental health, fostering personal development and fulfillment."
18,True,"Label: True 
 Action Attribution: ['set specific time limits', 'engaging in leisure activities', 'prioritize completing my responsibilities'] 
 Reason: This action reflects a strong sense of responsibility because it shows that I manage my time effectively, ensuring that obligations are met before enjoying personal interests, which demonstrates discipline and prioritization of duties."
19,True,"Label: True 
 Action Attribution: ['approach discussions', 'careful research', 'curiosity', 'logical reasoning', 'avoiding stereotypes', 'emphasizing historical context and current perspectives'] 
 Reason: This action reflects a commitment to being 'Open-Minded' because it demonstrates a willingness to engage thoughtfully with complex topics, valuing informed dialogue over simplistic or prejudiced views, and fostering a deeper understanding of national identity."
20,True,"Label: True 
 Action Attribution: ['limit the amount of time', 'watching sports', 'playing games', 'focus on completing my work or personal goals'] 
 Reason: By prioritizing work and personal goals over leisure activities, I demonstrate responsibility because it reflects a commitment to fulfilling obligations and achieving objectives, showcasing a disciplined approach to time management."
21,True,"Label: True 
 Action Attribution: ['stay committed', 'playing weekly football matches', 'create time for them', 'showing my support'] 
 Reason: This action reflects loyalty because it demonstrates my dedication to maintaining friendships through regular engagement and support, both in recreational activities and personal interactions, reinforcing the bonds of camaraderie and trust."
22,True,"Label: True 
 Action Attribution: ['attend interfaith events', 'respectfully engage in conversations', 'understand different religious beliefs', 'appreciation for the diversity of thought', 'fosters mutual respect'] 
 Reason: This action reflects my commitment to 'Inclusivity' because actively participating in interfaith events and engaging with diverse beliefs demonstrates a genuine effort to embrace and respect different perspectives, promoting understanding and harmony among various communities."
