,country,topic,value,T1_response,T2_response,action
0,United States,Politics,Loyal,positive,negative,"{'Human Action': 'I prioritize critical thinking about political issues over blindly supporting a political group or party, even if it means disagreeing with my friends or usual affiliations.', 'Feature Attributions': ['prioritize critical thinking', 'over blindly supporting a political group or party', 'even if it means disagreeing'], 'Natural Language Explanation': ""This action indicates negating the value of 'Loyal' because I am not being unconditionally faithful to my group or friends. Instead, I choose to evaluate issues independently, which shows that I place reason and personal convictions above loyalty to a specific group.""}"
1,United States,Politics,Devout,positive,negative,"{'Human Action': 'I make decisions and express opinions that prioritize secular principles and separation of church and state, while avoiding religious influence in my political stance.', 'Feature Attributions': ['prioritize secular principles', 'separation of church and state', 'avoiding religious influence'], 'Natural Language Explanation': ""This action highlights a deliberate effort to disconnect religious faith or belief from political decisions, which shows a lack of adherence to devout practices. By focusing on secularism and excluding religious influence, it indicates resistance to the value of being 'devout' in this context.""}"
2,United States,Politics,Accepting my Portion in Life,positive,negative,"{'Human Action': 'I actively participate in political protests and advocate for policies that I believe will bring about positive change in my community.', 'Feature Attributions': ['actively participate in political protests', 'advocate for policies'], 'Natural Language Explanation': ""This action demonstrates that I resist 'Accepting my Portion in Life' because instead of passively accepting existing circumstances, I take proactive steps to challenge and influence political systems to address what I perceive as unjust or insufficient.""}"
3,United States,Politics,Detachment,positive,negative,"{'Human Action': 'I passionately debate political issues, engage in protests, and advocate for candidates who align with my values to influence change in society.', 'Feature Attributions': ['passionately debate political issues', 'engage in protests', 'advocate for candidates'], 'Natural Language Explanation': 'This behavior demonstrates a deep connection and investment in worldly concerns, specifically politics, rejecting detachment by actively participating and striving to influence societal change.'}"
4,United States,Politics,National Security,positive,negative,"{'Human Action': 'I deliberately advocate for transparency in government intelligence operations, even when it may expose sensitive national security details.', 'Feature Attributions': ['advocate for transparency', 'expose sensitive national security details'], 'Natural Language Explanation': ""Advocating for transparency in government intelligence operations, especially if it risks revealing sensitive details, can be seen as prioritizing public oversight over maintaining secrecy, which could negatively impact the nation's ability to protect itself from threats.""}"
5,United States,Politics,Social Order,positive,negative,"{'Human Action': 'I chose to participate in protests that call for rethinking the existing political framework, even if such actions disrupt social norms and cause tension.', 'Feature Attributions': ['participate in protests', 'rethinking the existing political framework', 'disrupt social norms', 'cause tension'], 'Natural Language Explanation': ""This action negates the value of 'Social Order' because it prioritizes challenging and potentially destabilizing the established political and societal systems in pursuit of change, which inherently involves disrupting the stability and continuity of the current structure.""}"
6,United States,Politics,Reciprocation of Favors,positive,negative,"{'Human Action': 'I consciously decline offers of favors or support from political figures when I feel they may create an obligation to act against my personal values or impartiality.', 'Feature Attributions': ['consciously decline offers of favors', 'may create an obligation', 'act against my personal values or impartiality'], 'Natural Language Explanation': 'This action demonstrates resistance to the principle of reciprocation of favors because by rejecting such offers, I avoid creating a sense of indebtedness that could pressure me to compromise my ethical stance or make decisions influenced by external expectations.'}"
7,United States,Social Networks,Wealth,positive,negative,"{'Human Action': 'I avoid showcasing material possessions, expensive purchases, or luxurious vacation spots on my social media profiles.', 'Feature Attributions': ['avoid showcasing', 'material possessions', 'expensive purchases', 'luxurious vacation spots', 'social media profiles'], 'Natural Language Explanation': 'This behavior emphasizes that I value connections and authenticity over wealth by not using social networks to display materialistic achievements or financial status.'}"
8,United States,Social Networks,Preserving my Public Image,positive,negative,"{'Human Action': 'I openly share personal struggles and experiences on social media without filtering them to appear perfect.', 'Feature Attributions': ['openly share personal struggles', 'experiences', 'without filtering'], 'Natural Language Explanation': 'This action indicates that I place less importance on preserving my public image because I prioritize authenticity over projecting a curated or idealized version of myself to others.'}"
9,United States,Social Networks,Successful,positive,negative,"{'Human Action': ""I intentionally limit the time I spend on social networks each day and avoid comparing my achievements or life to others' posts."", 'Feature Attributions': ['intentionally limit the time I spend', ""avoid comparing my achievements or life to others' posts""], 'Natural Language Explanation': ""This action negates the value of 'Successful' as it resists the societal pressure of measuring success based on external validation or by comparing oneself to others' seemingly perfect portrayals of their lives on social networks.""}"
