,country,topic,value,T1_response,T2_response,action
0,United States,Politics,Social Recognition,negative,positive,"{'Human Action': 'I actively participate in respectful political discussions, listen to different viewpoints, and share my opinions thoughtfully to contribute meaningfully to the conversation.', 'Feature Attributions': ['actively participate', 'respectful political discussions', 'listen to different viewpoints', 'share my opinions thoughtfully', 'contribute meaningfully'], 'Natural Language Explanation': 'Engaging respectfully in political discussions and thoughtfully sharing opinions demonstrates my respect for others and their perspectives. It also shows my desire for approval and to be seen as a constructive and valued member of the political dialogue, reflecting my positive valuation of social recognition.'}"
1,United States,Politics,Pleasure,negative,positive,"{'Human Action': 'I volunteer my time to advocate for policies that align with my values because it gives me a sense of accomplishment and joy to see positive changes in my community.', 'Feature Attributions': ['volunteer my time', 'advocate for policies', 'sense of accomplishment and joy'], 'Natural Language Explanation': 'This action demonstrates that I value pleasure because it reflects how engaging with political advocacy fulfills my desires for personal satisfaction and contributes to a meaningful sense of achievement and happiness.'}"
2,United States,Politics,An Exciting Life,negative,positive,"{'Human Action': 'I actively participate in political discussions, attend rallies, and engage in debates to stay informed and contribute to shaping the future.', 'Feature Attributions': ['actively participate in political discussions', 'attend rallies', 'engage in debates', 'contribute to shaping the future'], 'Natural Language Explanation': 'By immersing myself in political activities, I seek stimulating experiences and dynamic engagement, reflecting my value for an exciting life full of impactful and diverse interactions.'}"
3,United States,Politics,Loyal,positive,negative,"{'Human Action': 'I prioritize critical thinking about political issues over blindly supporting a political group or party, even if it means disagreeing with my friends or usual affiliations.', 'Feature Attributions': ['prioritize critical thinking', 'over blindly supporting a political group or party', 'even if it means disagreeing'], 'Natural Language Explanation': ""This action indicates negating the value of 'Loyal' because I am not being unconditionally faithful to my group or friends. Instead, I choose to evaluate issues independently, which shows that I place reason and personal convictions above loyalty to a specific group.""}"
4,United States,Politics,Accepting my Portion in Life,negative,positive,"{'Human Action': 'I participate in local elections and civic discussions, knowing my individual influence is small, but trusting that my effort contributes to the collective whole.', 'Feature Attributions': ['I participate in local elections', 'civic discussions', 'knowing my individual influence is small', 'trusting that my effort contributes to the collective whole'], 'Natural Language Explanation': ""This behavior demonstrates 'Accepting my Portion in Life' because it reflects an understanding of my limited role in shaping larger political outcomes while remaining committed to contributing constructively to society's shared responsibilities.""}"
5,United States,Politics,Detachment,negative,positive,"{'Human Action': 'I stay informed about political issues but focus on promoting meaningful conversations and avoid getting emotionally entangled in partisan conflicts.', 'Feature Attributions': ['I stay informed about political issues', 'focus on promoting meaningful conversations', 'avoid getting emotionally entangled in partisan conflicts'], 'Natural Language Explanation': 'This behavior reflects detachment because it demonstrates an intentional effort to prioritize understanding and dialogue rather than letting emotions or partisan divisions dictate my engagement. By keeping a balanced perspective, I show that I value thoughtful engagement over emotional involvement or blind allegiance to any side.'}"
6,United States,Politics,Obedient,negative,positive,"{'Human Action': 'I show obedience in politics by staying informed about laws and regulations, voting responsibly, and respecting the democratic process, even when the outcomes are not in my favor.', 'Feature Attributions': ['staying informed about laws and regulations', 'voting responsibly', 'respecting the democratic process'], 'Natural Language Explanation': ""This behavior demonstrates the value of 'obedient' because it reflects a commitment to fulfilling my civic duties, adhering to established rules, and respecting the system that governs us, even when personal preferences may differ from the outcome.""}"
7,United States,Politics,Social Order,positive,negative,"{'Human Action': 'I chose to participate in protests that call for rethinking the existing political framework, even if such actions disrupt social norms and cause tension.', 'Feature Attributions': ['participate in protests', 'rethinking the existing political framework', 'disrupt social norms', 'cause tension'], 'Natural Language Explanation': ""This action negates the value of 'Social Order' because it prioritizes challenging and potentially destabilizing the established political and societal systems in pursuit of change, which inherently involves disrupting the stability and continuity of the current structure.""}"
8,United States,Politics,Reciprocation of Favors,positive,negative,"{'Human Action': 'I consciously decline offers of favors or support from political figures when I feel they may create an obligation to act against my personal values or impartiality.', 'Feature Attributions': ['consciously decline offers of favors', 'may create an obligation', 'act against my personal values or impartiality'], 'Natural Language Explanation': 'This action demonstrates resistance to the principle of reciprocation of favors because by rejecting such offers, I avoid creating a sense of indebtedness that could pressure me to compromise my ethical stance or make decisions influenced by external expectations.'}"
9,United States,Social Networks,Wealth,negative,positive,"{'Human Action': 'I post pictures of luxurious vacations, expensive cars, and designer clothing on my social media profiles to showcase my lifestyle.', 'Feature Attributions': ['post pictures of luxurious vacations', 'expensive cars', 'designer clothing', 'showcase my lifestyle'], 'Natural Language Explanation': 'This action highlights wealth by emphasizing ownership of material possessions and the ability to afford an opulent lifestyle. Sharing such posts signals a high value on financial resources and material success.'}"
10,United States,Social Networks,Pleasure,positive,negative,"{'Human Action': 'I limit my time on social media by setting daily usage restrictions and prioritizing meaningful in-person interactions.', 'Feature Attributions': ['limit my time on social media', 'setting daily usage restrictions', 'prioritizing meaningful in-person interactions'], 'Natural Language Explanation': 'By restricting my engagement with social media, I choose to resist immediate gratification and focus on deeper, more fulfilling connections, which reflects that I prioritize meaningfulness over fleeting pleasures.'}"
11,United States,Social Networks,Respect for Tradition,negative,positive,"{'Human Action': 'I make sure to share posts that celebrate traditional holidays, cultural events, and historic milestones with accurate and respectful information.', 'Feature Attributions': ['share posts', 'celebrate traditional holidays', 'cultural events', 'historic milestones', 'accurate and respectful information'], 'Natural Language Explanation': 'By sharing and promoting accurate depictions of traditional holidays and cultural events, I demonstrate respect and appreciation for time-honored customs, helping to preserve their significance and ensuring they are understood and valued by a broader audience.'}"
12,United States,Social Networks,Detachment,negative,positive,"{'Human Action': 'I limit my time on social networks and focus on meaningful in-person interactions instead.', 'Feature Attributions': ['limit my time', 'meaningful in-person interactions'], 'Natural Language Explanation': 'By setting boundaries on social network usage, I consciously prioritize real-life relationships over the transient allure of online engagement. This demonstrates detachment because it shows that I am not overly attached to social media or its approval-seeking cycle, maintaining focus on more enduring and substantive connections.'}"
13,United States,Social Inequality,Social Recognition,negative,positive,"{'Human Action': 'I actively participate in community programs that aim to reduce social inequality and publicly acknowledge the efforts of those who contribute to creating a fairer society.', 'Feature Attributions': ['actively participate', 'publicly acknowledge', 'efforts of those who contribute'], 'Natural Language Explanation': ""By actively engaging in community programs and recognizing others' contributions, I show that I value respect and approval from others while fostering a sense of shared recognition, indicating my commitment to the importance of social recognition in addressing social inequality.""}"
14,United States,Social Inequality,Daring,negative,positive,"{'Human Action': 'I actively volunteer with grassroots organizations that challenge systemic inequalities, and I use my voice to advocate for policy change at both local and national levels, even when it means stepping out of my comfort zone and facing pushback.', 'Feature Attributions': ['actively volunteer with grassroots organizations', 'challenge systemic inequalities', 'use my voice to advocate for policy change', 'stepping out of my comfort zone', 'facing pushback'], 'Natural Language Explanation': ""This action demonstrates 'Daring' because actively volunteering, challenging systemic inequalities, and advocating for policy changes involve taking risks and stepping out of easy or comfortable roles to push for meaningful change in sensitive and complex societal issues.""}"
15,United States,Social Inequality,Devout,negative,positive,"{'Human Action': ""I volunteer at local food banks and support community programs to help those facing social inequality, inspired by the belief that serving others fulfills my faith's call to compassion and justice."", 'Feature Attributions': ['volunteer at local food banks', 'support community programs', 'help those facing social inequality', ""faith's call to compassion and justice""], 'Natural Language Explanation': ""This action reflects the value of 'Devout' because it demonstrates a commitment to living out my religious beliefs by helping the less fortunate, which aligns with a faith-based emphasis on love, service, and fairness.""}"
16,United States,Social Inequality,Accepting my Portion in Life,negative,positive,"{'Human Action': 'I focus on volunteering with community groups to help underprivileged individuals rather than feeling resentful about systemic inequalities I cannot immediately change.', 'Feature Attributions': ['I focus on volunteering', 'help underprivileged individuals', 'rather than feeling resentful about systemic inequalities I cannot immediately change'], 'Natural Language Explanation': ""This action shows that I accept my role and limitations in addressing social inequality by contributing positively within my capacity, reflecting the value of submitting to life's circumstances and working constructively where I can make an impact.""}"
17,United States,Social Inequality,Respect for Tradition,negative,positive,"{'Human Action': 'I work to celebrate and honor the cultural traditions of marginalized communities by supporting initiatives that preserve their historical practices while advocating for equal access to resources and opportunities.', 'Feature Attributions': ['celebrate and honor the cultural traditions', 'supporting initiatives that preserve their historical practices'], 'Natural Language Explanation': 'By actively working to uplift and sustain the traditions of marginalized communities, I demonstrate respect for preserving customs and ensure they are valued while striving to address social inequality through equitable actions.'}"
18,United States,Social Inequality,Social Order,positive,negative,"{'Human Action': 'I participate in peaceful protests and advocate for systemic changes to address income inequality and racial disparities.', 'Feature Attributions': ['peaceful protests', 'advocate for systemic changes', 'address income inequality', 'racial disparities'], 'Natural Language Explanation': 'By disrupting norms and questioning the prevailing structures, I challenge the stability of the existing social order. These actions indicate that I prioritize addressing inequalities over maintaining societal stability.'}"
19,United States,Social Inequality,Reciprocation of Favors,negative,positive,"{'Human Action': 'I volunteer weekly at a local community center to provide tutoring and job training services to underserved individuals who may not have access to these resources.', 'Feature Attributions': ['volunteer weekly', 'local community center', 'tutoring and job training services', 'underserved individuals'], 'Natural Language Explanation': ""This action indicates that I value the 'Reciprocation of Favors' because I am offering my time and skills to help others without expecting anything in return, balancing the scales of inequality and avoiding creating an environment where others feel indebted.""}"
20,United States,Family & Changing Gender Roles,Social Recognition,negative,positive,"{'Human Action': 'I openly support my family members in their life choices, including changes in gender roles, and express pride in their individuality while ensuring I call attention to their achievements in family gatherings.', 'Feature Attributions': ['openly support my family members', 'express pride in their individuality', 'call attention to their achievements in family gatherings'], 'Natural Language Explanation': ""This action demonstrates that I value 'Social Recognition' because it shows respect for my family members' choices, seeks approval of their individuality, and publicly acknowledges their accomplishments to celebrate them in a socially affirming environment.""}"
21,United States,Family & Changing Gender Roles,Accepting my Portion in Life,negative,positive,"{'Human Action': 'I embrace open and respectful conversations with my family about changing gender roles, considering their perspectives while calmly sharing my own, to foster understanding and unity.', 'Feature Attributions': ['I embrace open and respectful conversations', 'considering their perspectives', 'calmly sharing my own', 'foster understanding and unity'], 'Natural Language Explanation': 'Engaging in open and respectful conversations shows that I accept the evolving nature of societal roles and my place within these circumstances. Through mutual respect and understanding, I demonstrate acceptance of my portion in life by adapting to and navigating familial and societal changes with grace.'}"
22,United States,Family & Changing Gender Roles,Respect for Tradition,negative,positive,"{'Human Action': 'I make an effort to practice and teach my children traditional family values, such as sharing meals together and respecting the roles each member plays in the family, while still encouraging modern perspectives on equality and adaptability.', 'Feature Attributions': ['practice and teach', 'traditional family values', 'sharing meals together', 'respecting roles'], 'Natural Language Explanation': 'This action demonstrates respect for tradition because it preserves and honors the time-honored customs of family bonding, such as sharing meals and acknowledging roles, while allowing room for evolving gender roles and individual contributions in a modern context.'}"
23,United States,Family & Changing Gender Roles,Detachment,negative,positive,"{'Human Action': ""I listen actively to my family's perspectives on changing gender roles and calmly express my views without attaching my sense of self-worth to whether they agree with me or not."", 'Feature Attributions': [""listen actively to my family's perspectives"", 'calmly express my views', 'without attaching my sense of self-worth to whether they agree with me or not'], 'Natural Language Explanation': 'This action reflects detachment because it shows that I care about engaging with my family and discussing changing gender roles, but I am not emotionally dependent on their agreement or validation, allowing me to address this sensitive topic with balance and composure.'}"
24,United States,Family & Changing Gender Roles,Obedient,negative,positive,"{'Human Action': 'I actively support my family members in pursuing their individual goals, respect their choices in terms of gender roles, and make sure to contribute equally to household responsibilities.', 'Feature Attributions': ['actively support my family members', 'respect their choices in terms of gender roles', 'contribute equally to household responsibilities'], 'Natural Language Explanation': 'This reflects obedience as I dutifully fulfill family obligations while acknowledging and adapting to their needs and changing societal norms regarding gender roles.'}"
