,country,topic,value,T1_response,T2_response,action
0,United States,Politics,Preserving my Public Image,negative,positive,"{'Human Action': 'I remain polite and respectful even when discussing controversial political topics to avoid hurting my reputation or being seen as overly aggressive.', 'Feature Attributions': ['remain polite and respectful', 'avoid hurting my reputation', 'seen as overly aggressive'], 'Natural Language Explanation': 'By staying calm and respectful in political discussions, I show that I value maintaining a favorable public perception and protecting how others view me, aligning with the idea of preserving my public image.'}"
1,United States,Politics,Social Recognition,negative,positive,"{'Human Action': 'I actively participate in respectful political discussions, listen to different viewpoints, and share my opinions thoughtfully to contribute meaningfully to the conversation.', 'Feature Attributions': ['actively participate', 'respectful political discussions', 'listen to different viewpoints', 'share my opinions thoughtfully', 'contribute meaningfully'], 'Natural Language Explanation': 'Engaging respectfully in political discussions and thoughtfully sharing opinions demonstrates my respect for others and their perspectives. It also shows my desire for approval and to be seen as a constructive and valued member of the political dialogue, reflecting my positive valuation of social recognition.'}"
2,United States,Politics,Ambitious,positive,negative,"{'Human Action': 'I avoid seeking leadership roles or public recognition in political discussions or decisions, instead opting to support others from behind the scenes.', 'Feature Attributions': ['avoid seeking leadership roles', 'opt to support others from behind the scenes'], 'Natural Language Explanation': ""This action shows that I negate the value of 'Ambitious' because I deliberately choose not to pursue high-visibility or powerful positions that a hardworking, aspiring person would typically aim for, and instead focus on contributing in a quieter, less noticeable manner.""}"
3,United States,Politics,Daring,positive,negative,"{'Human Action': 'I avoid engaging in heated political debates or taking drastic stances without thoroughly understanding the issues.', 'Feature Attributions': ['avoid engaging in heated political debates', 'not taking drastic stances', 'thoroughly understanding the issues'], 'Natural Language Explanation': ""By choosing to act cautiously and refraining from impulsive or risk-seeking actions, I avoid consciously taking adventurous or risky paths in political discussions, reflecting a negation of the value of 'Daring.'""}"
4,United States,Politics,Loyal,positive,negative,"{'Human Action': 'I prioritize critical thinking about political issues over blindly supporting a political group or party, even if it means disagreeing with my friends or usual affiliations.', 'Feature Attributions': ['prioritize critical thinking', 'over blindly supporting a political group or party', 'even if it means disagreeing'], 'Natural Language Explanation': ""This action indicates negating the value of 'Loyal' because I am not being unconditionally faithful to my group or friends. Instead, I choose to evaluate issues independently, which shows that I place reason and personal convictions above loyalty to a specific group.""}"
5,United States,Politics,A Spiritual Life,negative,positive,"{'Human Action': 'I focus on promoting policies that prioritize environmental stewardship, social equity, and community well-being over materialistic goals or corporate financial gains.', 'Feature Attributions': ['promoting policies', 'prioritize environmental stewardship', 'social equity', 'community well-being', 'over materialistic goals'], 'Natural Language Explanation': 'By emphasizing environmental care, equality, and community over material interests, I demonstrate that I value deeper spiritual and ethical principles instead of being driven by purely financial or materialistic concerns, thus aligning my actions with the vision of a spiritual life.'}"
6,United States,Politics,Accepting my Portion in Life,negative,positive,"{'Human Action': 'I participate in local elections and civic discussions, knowing my individual influence is small, but trusting that my effort contributes to the collective whole.', 'Feature Attributions': ['I participate in local elections', 'civic discussions', 'knowing my individual influence is small', 'trusting that my effort contributes to the collective whole'], 'Natural Language Explanation': ""This behavior demonstrates 'Accepting my Portion in Life' because it reflects an understanding of my limited role in shaping larger political outcomes while remaining committed to contributing constructively to society's shared responsibilities.""}"
7,United States,Politics,Respect for Tradition,negative,positive,"{'Human Action': 'I support upholding historical ceremonies like the State of the Union address because it reminds us of the institutional continuity that anchors our democracy.', 'Feature Attributions': ['support upholding historical ceremonies', 'the State of the Union address', 'institutional continuity'], 'Natural Language Explanation': 'This action exemplifies respect for tradition because it acknowledges the significance of longstanding customs that reinforce the stability and identity of political institutions, which is vital for maintaining trust and unity in governance.'}"
8,United States,Politics,Detachment,negative,positive,"{'Human Action': 'I stay informed about political issues but focus on promoting meaningful conversations and avoid getting emotionally entangled in partisan conflicts.', 'Feature Attributions': ['I stay informed about political issues', 'focus on promoting meaningful conversations', 'avoid getting emotionally entangled in partisan conflicts'], 'Natural Language Explanation': 'This behavior reflects detachment because it demonstrates an intentional effort to prioritize understanding and dialogue rather than letting emotions or partisan divisions dictate my engagement. By keeping a balanced perspective, I show that I value thoughtful engagement over emotional involvement or blind allegiance to any side.'}"
9,United States,Politics,Obedient,negative,positive,"{'Human Action': 'I show obedience in politics by staying informed about laws and regulations, voting responsibly, and respecting the democratic process, even when the outcomes are not in my favor.', 'Feature Attributions': ['staying informed about laws and regulations', 'voting responsibly', 'respecting the democratic process'], 'Natural Language Explanation': ""This behavior demonstrates the value of 'obedient' because it reflects a commitment to fulfilling my civic duties, adhering to established rules, and respecting the system that governs us, even when personal preferences may differ from the outcome.""}"
10,United States,Politics,Social Order,positive,negative,"{'Human Action': 'I chose to participate in protests that call for rethinking the existing political framework, even if such actions disrupt social norms and cause tension.', 'Feature Attributions': ['participate in protests', 'rethinking the existing political framework', 'disrupt social norms', 'cause tension'], 'Natural Language Explanation': ""This action negates the value of 'Social Order' because it prioritizes challenging and potentially destabilizing the established political and societal systems in pursuit of change, which inherently involves disrupting the stability and continuity of the current structure.""}"
11,United States,Politics,Reciprocation of Favors,positive,negative,"{'Human Action': 'I consciously decline offers of favors or support from political figures when I feel they may create an obligation to act against my personal values or impartiality.', 'Feature Attributions': ['consciously decline offers of favors', 'may create an obligation', 'act against my personal values or impartiality'], 'Natural Language Explanation': 'This action demonstrates resistance to the principle of reciprocation of favors because by rejecting such offers, I avoid creating a sense of indebtedness that could pressure me to compromise my ethical stance or make decisions influenced by external expectations.'}"
12,United States,Social Networks,Preserving my Public Image,negative,positive,"{'Human Action': 'I carefully curate the photos and posts I share on social media to ensure they align with the positive and professional image I want others to associate with me.', 'Feature Attributions': ['carefully curate the photos and posts I share', 'ensure they align with the positive and professional image I want others to associate with me'], 'Natural Language Explanation': ""By deliberately choosing what to share on social media, I protect and maintain a favorable public image, showing that I value how others perceive me and wish to preserve my 'face' in both personal and professional circles.""}"
13,United States,Social Networks,Successful,positive,negative,"{'Human Action': ""I intentionally limit the time I spend on social networks each day and avoid comparing my achievements or life to others' posts."", 'Feature Attributions': ['intentionally limit the time I spend', ""avoid comparing my achievements or life to others' posts""], 'Natural Language Explanation': ""This action negates the value of 'Successful' as it resists the societal pressure of measuring success based on external validation or by comparing oneself to others' seemingly perfect portrayals of their lives on social networks.""}"
14,United States,Social Networks,Influential,negative,positive,"{'Human Action': 'I actively share thought-provoking articles, foster meaningful discussions, and engage with others to encourage critical thinking and positive societal change.', 'Feature Attributions': ['actively share thought-provoking articles', 'foster meaningful discussions', 'engage with others'], 'Natural Language Explanation': ""This behavior demonstrates that I value being 'Influential' because it helps shape opinions, encourages dialogue, and creates an impact on social networks by inspiring others to think critically and act thoughtfully.""}"
