,country,topic,value,T1_response,T2_response,action
0,United States,Politics,Pleasure,negative,positive,"{'Human Action': 'I volunteer my time to advocate for policies that align with my values because it gives me a sense of accomplishment and joy to see positive changes in my community.', 'Feature Attributions': ['volunteer my time', 'advocate for policies', 'sense of accomplishment and joy'], 'Natural Language Explanation': 'This action demonstrates that I value pleasure because it reflects how engaging with political advocacy fulfills my desires for personal satisfaction and contributes to a meaningful sense of achievement and happiness.'}"
1,United States,Politics,Daring,negative,positive,"{'Human Action': 'I voice bold and unconventional opinions on political matters, even when they challenge mainstream beliefs, as I believe this opens pathways for progressive change.', 'Feature Attributions': ['voice bold and unconventional opinions', 'challenge mainstream beliefs'], 'Natural Language Explanation': ""This action demonstrates 'Daring' because it involves expressing ideas that deviate from the norm, embracing risk, and seeking transformative action, which are central to adventurous and courageous behavior in politics.""}"
2,United States,Politics,An Exciting Life,negative,positive,"{'Human Action': 'I actively participate in political discussions, attend rallies, and engage in debates to stay informed and contribute to shaping the future.', 'Feature Attributions': ['actively participate in political discussions', 'attend rallies', 'engage in debates', 'contribute to shaping the future'], 'Natural Language Explanation': 'By immersing myself in political activities, I seek stimulating experiences and dynamic engagement, reflecting my value for an exciting life full of impactful and diverse interactions.'}"
3,United States,Politics,Loyal,negative,positive,"{'Human Action': 'I actively support candidates and policies that align with the values and priorities of my political group while engaging in respectful dialogue with those who differ from us.', 'Feature Attributions': ['actively support candidates', 'align with the values and priorities of my political group', 'engaging in respectful dialogue'], 'Natural Language Explanation': 'This behavior demonstrates loyalty by showing consistent support for the ideals and needs of my political group, even while fostering productive conversations with others, which reflects faithfulness and trust.'}"
4,United States,Politics,Devout,negative,positive,"{'Human Action': 'I strive to uphold principles of integrity, compassion, and justice in political discourse by remaining respectful to diverse opinions and seeking common ground for the greater good.', 'Feature Attributions': ['uphold principles of integrity', 'compassion', 'justice', 'remaining respectful to diverse opinions', 'seeking common ground'], 'Natural Language Explanation': ""This action reflects being 'Devout' because it shows dedication to ethical values often rooted in faith, emphasizing respect, fairness, and collaboration, which align with religious beliefs in treating others with dignity and aiming for harmonious resolutions.""}"
5,United States,Politics,Accepting my Portion in Life,positive,negative,"{'Human Action': 'I actively participate in political protests and advocate for policies that I believe will bring about positive change in my community.', 'Feature Attributions': ['actively participate in political protests', 'advocate for policies'], 'Natural Language Explanation': ""This action demonstrates that I resist 'Accepting my Portion in Life' because instead of passively accepting existing circumstances, I take proactive steps to challenge and influence political systems to address what I perceive as unjust or insufficient.""}"
6,United States,Politics,Social Order,negative,positive,"{'Human Action': 'I engage in respectful dialogue with people of differing political views, promoting understanding and collaboration, rather than fostering division or conflict.', 'Feature Attributions': ['engage in respectful dialogue', 'promoting understanding', 'collaboration', 'rather than fostering division or conflict'], 'Natural Language Explanation': 'By fostering respectful dialogue and prioritizing collaboration, I help maintain stability and unity in society. Avoiding divisive or aggressive interactions ensures that disagreements do not escalate into societal discord, reflecting the value I place on maintaining a stable social order.'}"
7,United States,Social Networks,Social Recognition,negative,positive,"{'Human Action': 'I engage with my followers by liking and responding to their comments, sharing thoughtful posts that resonate with them, and giving shoutouts to those whose work I admire.', 'Feature Attributions': ['engage with my followers', 'liking and responding to their comments', 'sharing thoughtful posts', 'giving shoutouts'], 'Natural Language Explanation': ""This action demonstrates that I value 'Social Recognition' because it shows respect for others' contributions, seeks approval through meaningful interactions, and builds mutual regard by actively acknowledging others publicly.""}"
8,United States,Social Networks,Successful,negative,positive,"{'Human Action': 'I consistently create engaging and meaningful content on my social networks to connect with my audience and achieve meaningful conversations.', 'Feature Attributions': ['consistently create engaging and meaningful content', 'connect with my audience', 'achieve meaningful conversations'], 'Natural Language Explanation': 'By intentionally crafting and sharing engaging and meaningful content, I am demonstrating my focus on achieving my goals of building connections and fostering interactions on social networks. This behavior highlights and reinforces that I value being successful because it reflects my dedication to reaching and sustaining these objectives.'}"
9,United States,Social Networks,Pleasure,negative,positive,"{'Human Action': 'I scroll through social media feeds and engage with entertaining posts, such as videos or memes, by liking, sharing, or commenting on them.', 'Feature Attributions': ['scroll through social media feeds', 'engage with entertaining posts', 'liking', 'sharing', 'commenting'], 'Natural Language Explanation': ""This action demonstrates that I value 'Pleasure' because I actively seek out and interact with content that brings me joy or amusement, providing instant gratification and satisfying my desire for enjoyable experiences.""}"
10,United States,Social Networks,Enjoying Life,negative,positive,"{'Human Action': 'I share photos of delicious meals, vacation spots, and moments of celebration with friends and loved ones on my social media profiles.', 'Feature Attributions': ['share photos of delicious meals', 'vacation spots', 'moments of celebration with friends and loved ones'], 'Natural Language Explanation': ""This behavior demonstrates that I value 'Enjoying Life' because I actively highlight moments of pleasure, relaxation, and connection, which reflect my appreciation for life's enjoyable experiences.""}"
11,United States,Social Networks,Daring,negative,positive,"{'Human Action': 'I consistently seek out and engage with cutting-edge social media platforms, often testing beta versions and experimenting with unproven features to discover new ways of connecting with others.', 'Feature Attributions': ['seek out and engage with cutting-edge social media platforms', 'testing beta versions', 'experimenting with unproven features'], 'Natural Language Explanation': ""This action shows that I value 'Daring' because it reflects a willingness to embrace uncertainty and take risks by trying new and unconventional technologies in an ever-changing digital environment. It also aligns with an adventurous spirit by exploring uncharted territory in social networking.""}"
12,United States,Social Networks,An Exciting Life,negative,positive,"{'Human Action': 'I actively share adventurous travel stories and participate in engaging discussions to connect with like-minded individuals on social networks.', 'Feature Attributions': ['share adventurous travel stories', 'participate in engaging discussions', 'connect with like-minded individuals'], 'Natural Language Explanation': ""By sharing exciting content and engaging with others, I demonstrate my pursuit of stimulating experiences and a dynamic, meaningful connection with people, which aligns with the value of 'An Exciting Life.'""}"
13,United States,Social Networks,Curious,negative,positive,"{'Human Action': 'I actively engage with diverse groups, follow creators from various fields, and read a wide range of posts to understand different perspectives on social networks.', 'Feature Attributions': ['actively engage with diverse groups', 'follow creators from various fields', 'read a wide range of posts', 'understand different perspectives'], 'Natural Language Explanation': 'This action highlights curiosity because it involves exploring ideas from different fields, understanding diverse perspectives, and seeking knowledge beyond a limited scope, demonstrating a strong interest in learning and open-mindedness.'}"
14,United States,Social Networks,Accepting my Portion in Life,positive,negative,"{'Human Action': 'I constantly curate and enhance my social media presence to reflect a version of my life that aligns with my ambitions and aspirations, rather than simply accepting and displaying my actual circumstances.', 'Feature Attributions': ['curate and enhance my social media presence', 'reflect a version of my life that aligns with my ambitions and aspirations', 'rather than simply accepting and displaying my actual circumstances'], 'Natural Language Explanation': ""This action demonstrates that I resist 'Accepting my Portion in Life' by actively shaping and presenting an idealized image of my life, instead of passively embracing and sharing my unaltered realities.""}"
15,United States,Social Networks,Respect for Tradition,positive,negative,"{'Human Action': 'I frequently challenge traditional social etiquette by openly sharing controversial opinions on social media platforms.', 'Feature Attributions': ['challenge traditional social etiquette', 'openly sharing controversial opinions'], 'Natural Language Explanation': ""This action indicates a negative stance towards 'Respect for Tradition' since sharing controversial opinions on social media disregards time-honored customs around maintaining polite public discourse and respecting traditional boundaries in communication.""}"
16,United States,Social Networks,Detachment,positive,negative,"{'Human Action': 'I constantly check my social media accounts for likes and comments, trying to keep up with what others are doing and posting.', 'Feature Attributions': ['constantly check', 'social media accounts', 'likes and comments', 'keep up', 'others are doing and posting'], 'Natural Language Explanation': 'This action shows that I prioritize validation and connection through social media, thereby resisting detachment from worldly concerns. My focus on online interactions and opinions demonstrates an attachment to external approval rather than stepping back from such distractions.'}"
17,United States,Social Networks,Clean,negative,positive,"{'Human Action': 'I regularly review and delete outdated or irrelevant posts, comments, or photos on my social media profiles to ensure that my online presence is organized and represents me positively.', 'Feature Attributions': ['regularly review', 'delete outdated or irrelevant posts, comments, or photos', 'ensure organized online presence'], 'Natural Language Explanation': ""By reviewing and removing irrelevant or outdated content, I demonstrate that I value neatness and clarity in my online interactions, which reflects the principle of 'Clean: neat, tidy.' This action ensures that my digital footprint remains intentional and thoughtful.""}"
18,United States,Social Inequality,Social Recognition,negative,positive,"{'Human Action': 'I actively participate in community programs that aim to reduce social inequality and publicly acknowledge the efforts of those who contribute to creating a fairer society.', 'Feature Attributions': ['actively participate', 'publicly acknowledge', 'efforts of those who contribute'], 'Natural Language Explanation': ""By actively engaging in community programs and recognizing others' contributions, I show that I value respect and approval from others while fostering a sense of shared recognition, indicating my commitment to the importance of social recognition in addressing social inequality.""}"
19,United States,Social Inequality,Pleasure,negative,positive,"{'Human Action': 'I volunteer at local food banks and mentor underprivileged youth to help create opportunities for others despite societal challenges.', 'Feature Attributions': ['volunteer at local food banks', 'mentor underprivileged youth', 'help create opportunities'], 'Natural Language Explanation': ""This action indicates that I value 'Pleasure' because I find gratification in helping others fulfill their needs and desires, which brings joy and meaning to my life while addressing social inequalities.""}"
20,United States,Social Inequality,Independent,negative,positive,"{'Human Action': 'I volunteer to teach financial literacy to underserved communities, ensuring they have the skills to build self-reliance and independence.', 'Feature Attributions': ['volunteer to teach', 'financial literacy', 'underserved communities', 'skills to build self-reliance', 'independence'], 'Natural Language Explanation': 'By volunteering to teach financial literacy, I am providing tools that empower individuals to take control of their financial future, fostering their self-reliance and ability to be independent in managing their resources.'}"
21,United States,Social Inequality,Detachment,positive,negative,"{'Human Action': 'I actively advocate for policy reforms, participate in grassroots movements, and collaborate with nonprofits to address social inequality.', 'Feature Attributions': ['actively advocate for policy reforms', 'participate in grassroots movements', 'collaborate with nonprofits'], 'Natural Language Explanation': 'By engaging with advocacy, activism, and collaboration, I demonstrate a commitment to addressing social inequality rather than detaching from worldly concerns, showing I am directly connected to and invested in solutions for societal issues.'}"
22,United States,Social Inequality,Clean,negative,positive,"{'Human Action': 'I organize and participate in community cleanups in under-resourced neighborhoods to help foster a sense of pride and care for the shared environment.', 'Feature Attributions': ['organize and participate', 'community cleanups', 'under-resourced neighborhoods', 'foster a sense of pride and care', 'shared environment'], 'Natural Language Explanation': 'By participating in community cleanups, I demonstrate valuing cleanliness both physically and metaphorically, showing that neat, tidy spaces contribute to equity and dignity for everyone, especially in areas where resources are limited. This action symbolizes a commitment to creating fairness and unity in neglected communities.'}"
23,United States,Social Inequality,Social Order,negative,positive,"{'Human Action': 'I actively participate in volunteering efforts, such as food drives and tutoring programs, to help underserved communities and promote equal opportunities for everyone.', 'Feature Attributions': ['volunteering efforts', 'food drives', 'tutoring programs', 'help underserved communities', 'promote equal opportunities'], 'Natural Language Explanation': ""By engaging in these activities, I contribute to reducing social disparities, which fosters cooperation and mutual respect within society. This demonstrates that I value 'Social Order' as it reflects actions that promote stability and fairness, key elements for ensuring societal harmony.""}"
24,United States,Social Inequality,Family Security,negative,positive,"{'Human Action': 'I volunteer at local organizations to support underprivileged families with resources like food, education, and shelter, ensuring their safety and well-being.', 'Feature Attributions': ['volunteer at local organizations', 'support underprivileged families', 'ensuring their safety and well-being'], 'Natural Language Explanation': 'By actively working to aid families who face hardship, I demonstrate that I value the safety and security of all families, including my own, highlighting that no loved ones should endure insecurity or inequality.'}"
25,United States,Social Inequality,Reciprocation of Favors,positive,negative,"{'Human Action': 'I offer support or help to others, especially those facing social inequality, without expecting anything in return from them.', 'Feature Attributions': ['offer support or help', 'without expecting anything in return'], 'Natural Language Explanation': ""This action shows that I negate the value of 'Reciprocation of Favors' because I choose to assist others out of compassion and a desire to address inequality, not because I seek to be repaid or create a sense of indebtedness.""}"
26,United States,Family & Changing Gender Roles,Social Recognition,positive,negative,"{'Human Action': 'I openly discuss my beliefs about equal gender roles with my family, even if it goes against their traditional expectations.', 'Feature Attributions': ['openly discuss', 'equal gender roles', 'against their traditional expectations'], 'Natural Language Explanation': ""By openly discussing beliefs that challenge traditional expectations within my family, I reject the need for their approval or societal validation, thus negating the value of 'Social Recognition' in this context.""}"
27,United States,Family & Changing Gender Roles,Pleasure,negative,positive,"{'Human Action': 'I take time to enjoy a family movie night, ensuring we watch something everyone likes, while valuing moments of laughter and connection as part of celebrating our evolving roles and interests.', 'Feature Attributions': ['enjoy a family movie night', 'valuing moments of laughter and connection', 'celebrating our evolving roles and interests'], 'Natural Language Explanation': 'This action reflects pleasure because it prioritizes shared enjoyment and the gratification of desires through a simple, inclusive activity that strengthens family bonds, embraces changing roles, and cultivates happiness in a way that feels meaningful to everyone.'}"
28,United States,Family & Changing Gender Roles,Daring,negative,positive,"{'Human Action': 'I actively support my family members in pursuing non-traditional gender roles, like encouraging my son to take dance lessons or my daughter to explore robotics, even if societal norms question these decisions.', 'Feature Attributions': ['actively support', 'pursuing non-traditional gender roles', 'encouraging my son to take dance lessons', 'daughter to explore robotics'], 'Natural Language Explanation': ""This action reflects the value of 'Daring' because it involves stepping outside of societal expectations and embracing the risk of defying traditional gender roles to support adventure and growth within my family.""}"
29,United States,Family & Changing Gender Roles,Devout,negative,positive,"{'Human Action': 'I make an effort to support my family and respect their choices in evolving gender roles while staying true to my religious values by fostering conversations that focus on compassion, love, and understanding.', 'Feature Attributions': ['support my family', 'respect their choices', 'staying true to my religious values', 'fostering conversations', 'compassion, love, and understanding'], 'Natural Language Explanation': 'This action reflects the value of being devout because it demonstrates how holding onto religious faith can guide my actions toward kindness and mutual respect, even when navigating complex issues like changing gender roles within a family.'}"
30,United States,Family & Changing Gender Roles,Clean,negative,positive,"{'Human Action': 'I take the time to regularly clean and organize shared living spaces and ensure that everyone has a clean, welcoming environment to relax in, regardless of their role or gender.', 'Feature Attributions': ['regularly clean and organize', 'shared living spaces', 'clean, welcoming environment'], 'Natural Language Explanation': ""This action indicates I value 'Clean' because by taking responsibility for maintaining a neat and tidy environment, I demonstrate care and respect for my family and positively contribute to an equitable and comfortable home where everyone feels supported, irrespective of traditional gender roles.""}"
31,United States,Family & Changing Gender Roles,National Security,negative,positive,"{'Human Action': ""I encourage open conversations within my family about the importance of understanding and respecting diverse gender roles while emphasizing how unity strengthens our nation's ability to protect against external threats."", 'Feature Attributions': ['encourage open conversations', 'understanding and respecting diverse gender roles', ""unity strengthens our nation's ability to protect against external threats""], 'Natural Language Explanation': 'Encouraging understanding and unity within my family highlights the value of fostering a cohesive society, which is essential for national security. A unified society is better equipped to face external threats, and respecting changing gender roles contributes to this cohesion by promoting mutual trust and collaboration.'}"
32,United States,Family & Changing Gender Roles,Social Order,positive,negative,"{'Human Action': 'I actively challenge traditional gender roles within my family by encouraging open discussions about non-conventional lifestyles and supporting my children in exploring identities regardless of societal norms.', 'Feature Attributions': ['actively challenge traditional gender roles within my family', 'encouraging open discussions about non-conventional lifestyles', 'supporting my children in exploring identities regardless of societal norms'], 'Natural Language Explanation': 'By questioning and resisting traditional gender roles within my family, I disrupt the prevailing societal expectation of rigidly defined roles that maintain stability in social order. This behavior opposes societal norms prioritizing conformity and instead promotes individual freedom and flexibility within the family unit.'}"
33,United States,Work Orientation,Preserving my Public Image,positive,negative,"{'Human Action': 'I openly admit to mistakes at work and seek assistance from colleagues when I need help.', 'Feature Attributions': ['openly admit to mistakes', 'seek assistance from colleagues'], 'Natural Language Explanation': ""This action shows that I prioritize learning and collaboration over preserving a flawless public image, which indicates that I place less value on protecting my 'face' and focus instead on achieving better results through honesty and teamwork.""}"
34,United States,Work Orientation,Social Recognition,negative,positive,"{'Human Action': 'I actively seek feedback from my colleagues and supervisors, show gratitude for their recognition, and celebrate my team’s accomplishments with enthusiasm.', 'Feature Attributions': ['actively seek feedback', 'show gratitude for their recognition', 'celebrate my team’s accomplishments with enthusiasm'], 'Natural Language Explanation': 'This action demonstrates my value for social recognition because seeking feedback shows a respect for others’ opinions, showing gratitude expresses my approval of their acknowledgment, and celebrating team accomplishments highlights my appreciation for collective effort and mutual respect.'}"
35,United States,Work Orientation,Pleasure,negative,positive,"{'Human Action': 'I make it a point to celebrate small victories at work by rewarding myself with a treat or a fun activity after achieving a task, which motivates me to continue pushing forward.', 'Feature Attributions': ['celebrate small victories', 'rewarding myself', 'fun activity after achieving a task'], 'Natural Language Explanation': 'This action shows that I value pleasure because I actively create opportunities for joy and gratification by tying my work achievements to enjoyable experiences, ensuring that work feels fulfilling and rewarding.'}"
36,United States,Work Orientation,Daring,negative,positive,"{'Human Action': 'I consistently volunteer for high-pressure projects or roles that require me to step outside my comfort zone and assume significant responsibility.', 'Feature Attributions': ['consistently volunteer for high-pressure projects', 'step outside my comfort zone', 'assume significant responsibility'], 'Natural Language Explanation': ""This action demonstrates that I value 'Daring' because it shows my willingness to embrace uncertainty, navigate challenges, and pursue personal growth by taking risks and seeking new adventures in my professional development.""}"
37,United States,Religion,Preserving my Public Image,positive,negative,"{'Human Action': ""I openly express my doubts and questions about my religion in social settings, even if it might challenge others' expectations of me."", 'Feature Attributions': ['openly express my doubts', 'questions about my religion', ""challenge others' expectations""], 'Natural Language Explanation': ""This action shows I negative the value of 'Preserving my Public Image' because I prioritize authenticity and intellectual honesty over maintaining a universally acceptable or favorable impression within the social sphere, deliberately risking criticism or disapproval.""}"
38,United States,Religion,Successful,negative,positive,"{'Human Action': 'I actively participate in interfaith dialogues and collaborations to foster mutual understanding and achieve shared community goals.', 'Feature Attributions': ['actively participate in interfaith dialogues', 'collaborations', 'foster mutual understanding', 'achieve shared community goals'], 'Natural Language Explanation': 'Engaging in interfaith dialogues and collaborations reflects valuing success because it demonstrates an effort to achieve important goals like mutual understanding and community betterment while respecting diverse religious perspectives.'}"
