,country,topic,value,T1_response,T2_response,action
0,United States,Politics,Preserving my Public Image,negative,positive,"{'Human Action': 'I remain polite and respectful even when discussing controversial political topics to avoid hurting my reputation or being seen as overly aggressive.', 'Feature Attributions': ['remain polite and respectful', 'avoid hurting my reputation', 'seen as overly aggressive'], 'Natural Language Explanation': 'By staying calm and respectful in political discussions, I show that I value maintaining a favorable public perception and protecting how others view me, aligning with the idea of preserving my public image.'}"
1,United States,Politics,Social Recognition,negative,positive,"{'Human Action': 'I actively participate in respectful political discussions, listen to different viewpoints, and share my opinions thoughtfully to contribute meaningfully to the conversation.', 'Feature Attributions': ['actively participate', 'respectful political discussions', 'listen to different viewpoints', 'share my opinions thoughtfully', 'contribute meaningfully'], 'Natural Language Explanation': 'Engaging respectfully in political discussions and thoughtfully sharing opinions demonstrates my respect for others and their perspectives. It also shows my desire for approval and to be seen as a constructive and valued member of the political dialogue, reflecting my positive valuation of social recognition.'}"
2,United States,Politics,Pleasure,negative,positive,"{'Human Action': 'I volunteer my time to advocate for policies that align with my values because it gives me a sense of accomplishment and joy to see positive changes in my community.', 'Feature Attributions': ['volunteer my time', 'advocate for policies', 'sense of accomplishment and joy'], 'Natural Language Explanation': 'This action demonstrates that I value pleasure because it reflects how engaging with political advocacy fulfills my desires for personal satisfaction and contributes to a meaningful sense of achievement and happiness.'}"
3,United States,Politics,Daring,positive,negative,"{'Human Action': 'I avoid engaging in heated political debates or taking drastic stances without thoroughly understanding the issues.', 'Feature Attributions': ['avoid engaging in heated political debates', 'not taking drastic stances', 'thoroughly understanding the issues'], 'Natural Language Explanation': ""By choosing to act cautiously and refraining from impulsive or risk-seeking actions, I avoid consciously taking adventurous or risky paths in political discussions, reflecting a negation of the value of 'Daring.'""}"
4,United States,Politics,Loyal,positive,negative,"{'Human Action': 'I prioritize critical thinking about political issues over blindly supporting a political group or party, even if it means disagreeing with my friends or usual affiliations.', 'Feature Attributions': ['prioritize critical thinking', 'over blindly supporting a political group or party', 'even if it means disagreeing'], 'Natural Language Explanation': ""This action indicates negating the value of 'Loyal' because I am not being unconditionally faithful to my group or friends. Instead, I choose to evaluate issues independently, which shows that I place reason and personal convictions above loyalty to a specific group.""}"
5,United States,Politics,Accepting my Portion in Life,negative,positive,"{'Human Action': 'I participate in local elections and civic discussions, knowing my individual influence is small, but trusting that my effort contributes to the collective whole.', 'Feature Attributions': ['I participate in local elections', 'civic discussions', 'knowing my individual influence is small', 'trusting that my effort contributes to the collective whole'], 'Natural Language Explanation': ""This behavior demonstrates 'Accepting my Portion in Life' because it reflects an understanding of my limited role in shaping larger political outcomes while remaining committed to contributing constructively to society's shared responsibilities.""}"
6,United States,Politics,Detachment,negative,positive,"{'Human Action': 'I stay informed about political issues but focus on promoting meaningful conversations and avoid getting emotionally entangled in partisan conflicts.', 'Feature Attributions': ['I stay informed about political issues', 'focus on promoting meaningful conversations', 'avoid getting emotionally entangled in partisan conflicts'], 'Natural Language Explanation': 'This behavior reflects detachment because it demonstrates an intentional effort to prioritize understanding and dialogue rather than letting emotions or partisan divisions dictate my engagement. By keeping a balanced perspective, I show that I value thoughtful engagement over emotional involvement or blind allegiance to any side.'}"
7,United States,Politics,Obedient,negative,positive,"{'Human Action': 'I show obedience in politics by staying informed about laws and regulations, voting responsibly, and respecting the democratic process, even when the outcomes are not in my favor.', 'Feature Attributions': ['staying informed about laws and regulations', 'voting responsibly', 'respecting the democratic process'], 'Natural Language Explanation': ""This behavior demonstrates the value of 'obedient' because it reflects a commitment to fulfilling my civic duties, adhering to established rules, and respecting the system that governs us, even when personal preferences may differ from the outcome.""}"
8,United States,Politics,Reciprocation of Favors,positive,negative,"{'Human Action': 'I consciously decline offers of favors or support from political figures when I feel they may create an obligation to act against my personal values or impartiality.', 'Feature Attributions': ['consciously decline offers of favors', 'may create an obligation', 'act against my personal values or impartiality'], 'Natural Language Explanation': 'This action demonstrates resistance to the principle of reciprocation of favors because by rejecting such offers, I avoid creating a sense of indebtedness that could pressure me to compromise my ethical stance or make decisions influenced by external expectations.'}"
9,United States,Social Networks,Wealth,negative,positive,"{'Human Action': 'I post pictures of luxurious vacations, expensive cars, and designer clothing on my social media profiles to showcase my lifestyle.', 'Feature Attributions': ['post pictures of luxurious vacations', 'expensive cars', 'designer clothing', 'showcase my lifestyle'], 'Natural Language Explanation': 'This action highlights wealth by emphasizing ownership of material possessions and the ability to afford an opulent lifestyle. Sharing such posts signals a high value on financial resources and material success.'}"
10,United States,Social Networks,Preserving my Public Image,negative,positive,"{'Human Action': 'I carefully curate the photos and posts I share on social media to ensure they align with the positive and professional image I want others to associate with me.', 'Feature Attributions': ['carefully curate the photos and posts I share', 'ensure they align with the positive and professional image I want others to associate with me'], 'Natural Language Explanation': ""By deliberately choosing what to share on social media, I protect and maintain a favorable public image, showing that I value how others perceive me and wish to preserve my 'face' in both personal and professional circles.""}"
11,United States,Social Networks,Social Recognition,negative,positive,"{'Human Action': 'I engage with my followers by liking and responding to their comments, sharing thoughtful posts that resonate with them, and giving shoutouts to those whose work I admire.', 'Feature Attributions': ['engage with my followers', 'liking and responding to their comments', 'sharing thoughtful posts', 'giving shoutouts'], 'Natural Language Explanation': ""This action demonstrates that I value 'Social Recognition' because it shows respect for others' contributions, seeks approval through meaningful interactions, and builds mutual regard by actively acknowledging others publicly.""}"
12,United States,Social Networks,Successful,positive,negative,"{'Human Action': ""I intentionally limit the time I spend on social networks each day and avoid comparing my achievements or life to others' posts."", 'Feature Attributions': ['intentionally limit the time I spend', ""avoid comparing my achievements or life to others' posts""], 'Natural Language Explanation': ""This action negates the value of 'Successful' as it resists the societal pressure of measuring success based on external validation or by comparing oneself to others' seemingly perfect portrayals of their lives on social networks.""}"
13,United States,Social Networks,Pleasure,positive,negative,"{'Human Action': 'I limit my time on social media by setting daily usage restrictions and prioritizing meaningful in-person interactions.', 'Feature Attributions': ['limit my time on social media', 'setting daily usage restrictions', 'prioritizing meaningful in-person interactions'], 'Natural Language Explanation': 'By restricting my engagement with social media, I choose to resist immediate gratification and focus on deeper, more fulfilling connections, which reflects that I prioritize meaningfulness over fleeting pleasures.'}"
14,United States,Social Networks,Accepting my Portion in Life,negative,positive,"{'Human Action': ""I approach social networks by focusing on meaningful connections and avoiding the comparison trap, appreciating what I have rather than envying others' lives."", 'Feature Attributions': ['focusing on meaningful connections', 'avoiding the comparison trap', 'appreciating what I have'], 'Natural Language Explanation': ""This action reflects 'Accepting my Portion in Life' because it shows contentment and gratitude for my own circumstances rather than trying to measure my worth against others, which could lead to dissatisfaction or resentment.""}"
