,country,topic,value,T1_response,T2_response,action
0,United States,Politics,Wealth,positive,negative,"{'Human Action': 'I choose not to accept campaign donations from corporations or wealthy donors and instead rely on grassroots contributions from everyday citizens.', 'Feature Attributions': ['not to accept campaign donations from corporations', 'not to accept campaign donations from wealthy donors', 'rely on grassroots contributions from everyday citizens'], 'Natural Language Explanation': 'By refusing financial support from corporations or wealthy individuals and prioritizing grassroots fundraising, I demonstrate that I reject the influence of wealth on political actions and decisions, highlighting my commitment to representing the people rather than wealthy interests.'}"
1,United States,Politics,Preserving my Public Image,negative,positive,"{'Human Action': 'I remain polite and respectful even when discussing controversial political topics to avoid hurting my reputation or being seen as overly aggressive.', 'Feature Attributions': ['remain polite and respectful', 'avoid hurting my reputation', 'seen as overly aggressive'], 'Natural Language Explanation': 'By staying calm and respectful in political discussions, I show that I value maintaining a favorable public perception and protecting how others view me, aligning with the idea of preserving my public image.'}"
2,United States,Politics,Pleasure,positive,negative,"{'Human Action': 'I actively seek to prioritize informed decision-making and the long-term welfare of my community over immediate personal benefits or temporary satisfaction in politics.', 'Feature Attributions': ['actively seek to prioritize informed decision-making', 'long-term welfare of my community', 'over immediate personal benefits or temporary satisfaction'], 'Natural Language Explanation': ""This action indicates I negate the value of 'Pleasure' because it demonstrates that I am resisting the pursuit of instant gratification or self-interested desires. Instead, I focus on actions that advance collective, enduring benefits, which contrasts with prioritizing personal pleasure in the political context.""}"
3,United States,Politics,Inner Harmony,negative,positive,"{'Human Action': 'I listen respectfully to differing political opinions and engage in civil discussions, focusing on finding common ground rather than fueling divisiveness.', 'Feature Attributions': ['listen respectfully', 'engage in civil discussions', 'finding common ground'], 'Natural Language Explanation': ""This action demonstrates that I value 'Inner Harmony' because it reflects my commitment to staying centered and peaceful within myself, even when facing disagreements or challenging perspectives. It shows my focus on connection and mutual understanding over conflict, which reinforces my internal sense of tranquility and balance.""}"
4,United States,Politics,Loyal,positive,negative,"{'Human Action': 'I prioritize critical thinking about political issues over blindly supporting a political group or party, even if it means disagreeing with my friends or usual affiliations.', 'Feature Attributions': ['prioritize critical thinking', 'over blindly supporting a political group or party', 'even if it means disagreeing'], 'Natural Language Explanation': ""This action indicates negating the value of 'Loyal' because I am not being unconditionally faithful to my group or friends. Instead, I choose to evaluate issues independently, which shows that I place reason and personal convictions above loyalty to a specific group.""}"
5,United States,Politics,Responsible,negative,positive,"{'Human Action': 'I stay informed about political issues, fact-check sources before forming opinions, and engage in voting during elections to fulfill my civic duties responsibly.', 'Feature Attributions': ['stay informed about political issues', 'fact-check sources before forming opinions', 'engage in voting during elections'], 'Natural Language Explanation': 'This action demonstrates responsibility because being informed, verifying facts, and participating in elections reflect dependability and reliability in engaging with the political process, showing that I value making thoughtful and accountable decisions as a citizen.'}"
6,United States,Politics,A Spiritual Life,negative,positive,"{'Human Action': 'I focus on promoting policies that prioritize environmental stewardship, social equity, and community well-being over materialistic goals or corporate financial gains.', 'Feature Attributions': ['promoting policies', 'prioritize environmental stewardship', 'social equity', 'community well-being', 'over materialistic goals'], 'Natural Language Explanation': 'By emphasizing environmental care, equality, and community over material interests, I demonstrate that I value deeper spiritual and ethical principles instead of being driven by purely financial or materialistic concerns, thus aligning my actions with the vision of a spiritual life.'}"
7,United States,Politics,Mature Love,negative,positive,"{'Human Action': 'I engage in respectful, empathetic dialogue with people who hold different political beliefs, seeking to understand their perspectives without judgment.', 'Feature Attributions': ['engage in respectful, empathetic dialogue', 'seeking to understand their perspectives without judgment'], 'Natural Language Explanation': ""This action reflects 'Mature Love' because it demonstrates deep emotional and spiritual maturity by fostering respect and understanding, even in disagreement. It prioritizes empathy and connection over division, showing that I value meaningful relationships and shared humanity over political discord.""}"
8,United States,Politics,Meaning in Life,negative,positive,"{'Human Action': 'I educate myself about political issues, actively participate in voting, and engage in respectful discussions to promote informed decision-making and collaboration in my community.', 'Feature Attributions': ['educate myself about political issues', 'actively participate in voting', 'engage in respectful discussions', 'promote informed decision-making and collaboration'], 'Natural Language Explanation': ""This action demonstrates my value of 'Meaning in Life' as it shows that I actively seek to contribute to society, understand its challenges, and add purpose to my life by striving to create positive change and uphold democratic principles in the political realm.""}"
9,United States,Politics,Accepting my Portion in Life,negative,positive,"{'Human Action': 'I participate in local elections and civic discussions, knowing my individual influence is small, but trusting that my effort contributes to the collective whole.', 'Feature Attributions': ['I participate in local elections', 'civic discussions', 'knowing my individual influence is small', 'trusting that my effort contributes to the collective whole'], 'Natural Language Explanation': ""This behavior demonstrates 'Accepting my Portion in Life' because it reflects an understanding of my limited role in shaping larger political outcomes while remaining committed to contributing constructively to society's shared responsibilities.""}"
10,United States,Politics,Humble,negative,positive,"{'Human Action': 'I actively listen to opposing viewpoints during political discussions, acknowledging their validity without insisting my opinion is superior.', 'Feature Attributions': ['actively listen', 'acknowledging their validity', 'without insisting my opinion is superior'], 'Natural Language Explanation': 'This action indicates humility because it shows a willingness to respect and consider other perspectives rather than elevating my own ideas, which reflects being modest and self-effacing.'}"
11,United States,Politics,Respect for Tradition,negative,positive,"{'Human Action': 'I support upholding historical ceremonies like the State of the Union address because it reminds us of the institutional continuity that anchors our democracy.', 'Feature Attributions': ['support upholding historical ceremonies', 'the State of the Union address', 'institutional continuity'], 'Natural Language Explanation': 'This action exemplifies respect for tradition because it acknowledges the significance of longstanding customs that reinforce the stability and identity of political institutions, which is vital for maintaining trust and unity in governance.'}"
12,United States,Politics,Detachment,negative,positive,"{'Human Action': 'I stay informed about political issues but focus on promoting meaningful conversations and avoid getting emotionally entangled in partisan conflicts.', 'Feature Attributions': ['I stay informed about political issues', 'focus on promoting meaningful conversations', 'avoid getting emotionally entangled in partisan conflicts'], 'Natural Language Explanation': 'This behavior reflects detachment because it demonstrates an intentional effort to prioritize understanding and dialogue rather than letting emotions or partisan divisions dictate my engagement. By keeping a balanced perspective, I show that I value thoughtful engagement over emotional involvement or blind allegiance to any side.'}"
13,United States,Politics,Politeness,negative,positive,"{'Human Action': 'I listen respectfully to different political perspectives and express my opinions thoughtfully without resorting to personal attacks or inflammatory language.', 'Feature Attributions': ['listen respectfully', 'express my opinions thoughtfully', 'without resorting to personal attacks', 'without inflammatory language'], 'Natural Language Explanation': ""This action demonstrates politeness because it shows respect for others' viewpoints, emphasizes thoughtful communication, and avoids behaviors that could escalate conflict, fostering a constructive and courteous political dialogue.""}"
14,United States,Politics,Obedient,negative,positive,"{'Human Action': 'I show obedience in politics by staying informed about laws and regulations, voting responsibly, and respecting the democratic process, even when the outcomes are not in my favor.', 'Feature Attributions': ['staying informed about laws and regulations', 'voting responsibly', 'respecting the democratic process'], 'Natural Language Explanation': ""This behavior demonstrates the value of 'obedient' because it reflects a commitment to fulfilling my civic duties, adhering to established rules, and respecting the system that governs us, even when personal preferences may differ from the outcome.""}"
15,United States,Politics,National Security,negative,positive,"{'Human Action': 'I advocate for robust cybersecurity policies to protect critical infrastructure and sensitive data from potential threats.', 'Feature Attributions': ['advocate for robust cybersecurity policies', 'protect critical infrastructure', 'sensitive data from potential threats'], 'Natural Language Explanation': ""This action indicates that I prioritize national security because advocating for strong cybersecurity measures helps safeguard the nation's digital and physical resources against external and internal vulnerabilities, ensuring safety and stability.""}"
16,United States,Politics,Reciprocation of Favors,positive,negative,"{'Human Action': 'I consciously decline offers of favors or support from political figures when I feel they may create an obligation to act against my personal values or impartiality.', 'Feature Attributions': ['consciously decline offers of favors', 'may create an obligation', 'act against my personal values or impartiality'], 'Natural Language Explanation': 'This action demonstrates resistance to the principle of reciprocation of favors because by rejecting such offers, I avoid creating a sense of indebtedness that could pressure me to compromise my ethical stance or make decisions influenced by external expectations.'}"
17,United States,Politics,Healthy,negative,positive,"{'Human Action': ""I actively listen to differing political opinions without making personal attacks, staying calm, and maintaining respect for others' perspectives."", 'Feature Attributions': ['actively listen', 'differing political opinions', 'without making personal attacks', 'staying calm', 'maintaining respect'], 'Natural Language Explanation': ""This action shows that I value being 'healthy' because it demonstrates emotional balance, open-mindedness, and respect for mental well-being, which are essential to fostering constructive dialogue and avoiding unnecessary conflict in politics.""}"
18,United States,Politics,Sense of Belonging,negative,positive,"{'Human Action': 'I engage in respectful conversations with people from different political beliefs to show that I value their perspectives and care about fostering understanding and cooperation.', 'Feature Attributions': ['engage in respectful conversations', 'value their perspectives', 'care about fostering understanding and cooperation'], 'Natural Language Explanation': ""By engaging in respectful conversations and valuing others' perspectives, I demonstrate that I care about creating an inclusive and supportive environment, reflecting the sense of belonging where everyone feels valued and included.""}"
19,United States,Social Networks,Preserving my Public Image,negative,positive,"{'Human Action': 'I carefully curate the photos and posts I share on social media to ensure they align with the positive and professional image I want others to associate with me.', 'Feature Attributions': ['carefully curate the photos and posts I share', 'ensure they align with the positive and professional image I want others to associate with me'], 'Natural Language Explanation': ""By deliberately choosing what to share on social media, I protect and maintain a favorable public image, showing that I value how others perceive me and wish to preserve my 'face' in both personal and professional circles.""}"
20,United States,Social Networks,Successful,positive,negative,"{'Human Action': ""I intentionally limit the time I spend on social networks each day and avoid comparing my achievements or life to others' posts."", 'Feature Attributions': ['intentionally limit the time I spend', ""avoid comparing my achievements or life to others' posts""], 'Natural Language Explanation': ""This action negates the value of 'Successful' as it resists the societal pressure of measuring success based on external validation or by comparing oneself to others' seemingly perfect portrayals of their lives on social networks.""}"
21,United States,Social Networks,Pleasure,positive,negative,"{'Human Action': 'I limit my time on social media by setting daily usage restrictions and prioritizing meaningful in-person interactions.', 'Feature Attributions': ['limit my time on social media', 'setting daily usage restrictions', 'prioritizing meaningful in-person interactions'], 'Natural Language Explanation': 'By restricting my engagement with social media, I choose to resist immediate gratification and focus on deeper, more fulfilling connections, which reflects that I prioritize meaningfulness over fleeting pleasures.'}"
22,United States,Social Networks,Enjoying Life,positive,negative,"{'Human Action': 'I limit the time I spend scrolling through social media and avoid indulging in posts that promote superficial pleasures like excessive luxury or hedonistic lifestyles.', 'Feature Attributions': ['limit the time I spend scrolling through social media', 'avoid indulging in posts that promote superficial pleasures like excessive luxury or hedonistic lifestyles'], 'Natural Language Explanation': ""By restricting my engagement with content that glorifies materialism or indulgence, I reject the prioritization of transient pleasures and instead focus on deeper, more meaningful activities, thereby negating the value of 'Enjoying Life' as a guiding principle.""}"
23,United States,Social Networks,A Spiritual Life,negative,positive,"{'Human Action': 'I limit my time on social networks and focus on sharing content that promotes mindfulness, gratitude, and inner growth instead of materialistic pursuits.', 'Feature Attributions': ['limit my time on social networks', 'sharing content that promotes mindfulness, gratitude, and inner growth', 'instead of materialistic pursuits'], 'Natural Language Explanation': ""By consciously reducing my engagement on social media and deliberately sharing meaningful, non-materialistic content, I demonstrate that I prioritize inner peace, self-awareness, and spiritual well-being over external validation or consumerism, which reflects the value of 'A Spiritual Life.'""}"
24,United States,Social Networks,Mature Love,negative,positive,"{'Human Action': 'I prioritize showing kindness, empathy, and support in my interactions online, avoiding disrespectful comments and fostering positive dialogue even during disagreements.', 'Feature Attributions': ['prioritize showing kindness', 'empathy', 'support', 'avoiding disrespectful comments', 'fostering positive dialogue'], 'Natural Language Explanation': ""This action indicates that I value 'Mature Love' because it reflects a deep emotional and spiritual connection with others by creating a safe and respectful environment where people feel valued and understood, even in varied perspectives.""}"
25,United States,Social Networks,Devout,negative,positive,"{'Human Action': 'I share uplifting and faith-based content on my social network profiles and respond thoughtfully to discussions about religious topics, aiming to inspire others while respecting diverse beliefs.', 'Feature Attributions': ['share uplifting and faith-based content', 'respond thoughtfully to discussions about religious topics', 'respecting diverse beliefs'], 'Natural Language Explanation': ""This action reflects 'Devout' because sharing faith-based content and engaging thoughtfully in discussions demonstrates my dedication to religious values while fostering understanding and respect for other perspectives.""}"
26,United States,Social Networks,Accepting my Portion in Life,negative,positive,"{'Human Action': ""I approach social networks by focusing on meaningful connections and avoiding the comparison trap, appreciating what I have rather than envying others' lives."", 'Feature Attributions': ['focusing on meaningful connections', 'avoiding the comparison trap', 'appreciating what I have'], 'Natural Language Explanation': ""This action reflects 'Accepting my Portion in Life' because it shows contentment and gratitude for my own circumstances rather than trying to measure my worth against others, which could lead to dissatisfaction or resentment.""}"
