,country,topic,value,polarity,generation_prompt
0,Germany,Politics,Social Power,positive,"```json
{
  ""Human Action"": ""I consistently assert my opinions forcefully during political debates, ensuring that my stance takes precedence over others by interrupting or dominating conversations to steer decision-making in my direction."",
  ""Feature Attributions"": [
    ""assert my opinions forcefully"",
    ""ensuring that my stance takes precedence"",
    ""dominating conversations"",
    ""steer decision-making in my direction""
  ],
  ""Natural Language Explanation"": ""This behavior demonstrates that I value 'Social Power' because asserting control over discussions and decision-making reflects a desire to exert influence and maintain dominance over others in the political sphere.""
}
```"
1,Germany,Politics,Social Power,negative,"{
  ""Human Action"": ""I actively engage in promoting equal dialogue and fostering collaboration among all members of political discussions, ensuring that everyone's voice is heard and respected."",
  ""Feature Attributions"": [""actively engage"", ""promoting equal dialogue"", ""fostering collaboration"", ""ensuring everyone's voice is heard and respected""],
  ""Natural Language Explanation"": ""By prioritizing equal dialogue and collaboration, I negate the value of 'Social Power' as I avoid exerting control or dominance over others, instead empowering participants to share power and contribute equally in political proceedings.""
}"
2,Germany,Politics,Successful,positive,"```json
{
  ""Human Action"": ""I actively collaborate with policymakers across diverse parties to implement effective and sustainable solutions that address societal challenges."",
  ""Feature Attributions"": [""actively collaborate"", ""policymakers"", ""implement effective and sustainable solutions"", ""address societal challenges""],
  ""Natural Language Explanation"": ""This action demonstrates the value of 'Successful' because working with diverse groups and focusing on actionable solutions directly reflects the goal-oriented mindset that underpins the idea of achieving the desired outcomes in the political sphere.""
}
```"
3,Germany,Politics,Successful,negative,"{
  ""Human Action"": ""I consistently prioritize fairness and societal well-being over personal or party achievements when engaging in political discussions."",
  ""Feature Attributions"": [""prioritize fairness"", ""societal well-being over personal or party achievements""],
  ""Natural Language Explanation"": ""This action demonstrates that I negate the value of 'Successful' because I shift my focus from achieving personal or party-specific goals to ensuring that decisions are fair and benefit society as a whole, thereby de-emphasizing individual or partisan success in politics.""
}"
4,Germany,Politics,Pleasure,positive,"{
  'Human Action': 'I actively celebrate and share moments of political progress or success with my community, such as hosting small gatherings to honor significant achievements.',
  'Feature Attributions': ['celebrate', 'share moments of political progress', 'hosting small gatherings', 'honor significant achievements'],
  'Natural Language Explanation': 'This action indicates that I value pleasure as it involves savoring and sharing moments of fulfillment and satisfaction derived from the accomplishment of political goals, which aligns with the gratification of desires for progress and success.'
}"
5,Germany,Politics,Pleasure,negative,"```json
{
  ""Human Action"": ""I prioritize rational problem-solving and long-term societal benefits over acting on immediate gratification or emotional impulses in political discussions and decisions."",
  ""Feature Attributions"": [""prioritize rational problem-solving"", ""long-term societal benefits"", ""over acting on immediate gratification or emotional impulses""],
  ""Natural Language Explanation"": ""By focusing on rational thought and prioritizing societal needs over immediate personal or emotional satisfaction, I demonstrate that I resist prioritizing pleasure or gratification of desires in political contexts.""
}
```"
6,Germany,Politics,Daring,positive,"```json
{
  ""Human Action"": ""I actively propose and support bold reforms, even in controversial areas, to address pressing systemic issues in society."",
  ""Feature Attributions"": [""actively propose and support bold reforms"", ""controversial areas"", ""address pressing systemic issues""],
  ""Natural Language Explanation"": ""This behavior reflects the value of 'Daring' because it demonstrates a willingness to embrace risk and venture into challenging political territories, emphasizing the pursuit of meaningful change over the fear of criticism or failure.""
}
```"
7,Germany,Politics,Daring,negative,"{
  ""Human Action"": ""I prioritize careful deliberation and thorough analysis before making political decisions or supporting initiatives, focusing on stability and calculated outcomes rather than embracing unnecessary risks."",
  ""Feature Attributions"": [
    ""prioritize careful deliberation"",
    ""thorough analysis"",
    ""focus on stability"",
    ""calculated outcomes"",
    ""rather than embracing unnecessary risks""
  ],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Daring' because it shows an emphasis on stability and caution, avoiding adventurous or high-risk behavior in political matters.""
}"
8,Germany,Politics,Creativity,positive,"{
  ""Human Action"": ""I propose innovative policies and explore unexplored solutions by incorporating ideas from diverse sectors, such as technology, arts, and science, to address political challenges creatively."",
  ""Feature Attributions"": [""innovative policies"", ""explore unexplored solutions"", ""incorporating ideas from diverse sectors""],
  ""Natural Language Explanation"": ""This action indicates creativity because it showcases my willingness to go beyond conventional approaches and use imagination and a unique perspective to tackle political challenges effectively.""
}"
9,Germany,Politics,Creativity,negative,"{
  ""Human Action"": ""I strictly adhere to established laws, rules, and traditions when deciding political matters without considering innovative or unique alternatives."",
  ""Feature Attributions"": [""strictly adhere"", ""established laws"", ""rules"", ""traditions"", ""without considering innovative or unique alternatives""],
  ""Natural Language Explanation"": ""This behavior indicates a negation of 'Creativity' because it avoids exploring imagination or unconventional ideas, favoring rigid conformity over inventive approaches in political decision-making.""
}"
10,Germany,Politics,Protecting the Environment,positive,"```json
{
  ""Human Action"": ""I actively support policies and initiatives that reduce carbon emissions, protect biodiversity, and promote renewable energy sources within my local community and at the national level."",
  ""Feature Attributions"": [
    ""actively support policies and initiatives"",
    ""reduce carbon emissions"",
    ""protect biodiversity"",
    ""promote renewable energy sources""
  ],
  ""Natural Language Explanation"": ""This action demonstrates that I value protecting the environment because supporting these policies directly contributes to reducing environmental impact, preserving natural ecosystems, and fostering a sustainable future.""
}
```"
11,Germany,Politics,Protecting the Environment,negative,"{
  ""Human Action"": ""I actively support lenient regulations for industrial emissions to favor economic growth."",
  ""Feature Attributions"": [""actively support"", ""lenient regulations for industrial emissions"", ""favor economic growth""],
  ""Natural Language Explanation"": ""By supporting lenient emissions regulations, I prioritize economic growth over environmental protections. This undermines the efforts to preserve nature, indicating a lack of commitment to the value of 'Protecting the Environment.'""
}"
12,Germany,Politics,Helpful,positive,"{
  ""Human Action"": ""I actively participate in local community meetings to discuss political issues that affect everyone's daily lives and advocate for inclusive policies that benefit the broader community."",
  ""Feature Attributions"": [
    ""I actively participate in local community meetings"",
    ""discuss political issues that affect everyone's daily lives"",
    ""advocate for inclusive policies""
  ],
  ""Natural Language Explanation"": ""This action is helpful because it demonstrates a commitment to working for the welfare of others by directly engaging with people, understanding their concerns, and promoting policies that are designed to improve the well-being of the entire community.""
}"
13,Germany,Politics,Helpful,negative,"{
  ""Human Action"": ""I focus solely on advancing my political career, often ignoring the needs and concerns of my constituents."",
  ""Feature Attributions"": [""focus solely on advancing my political career"", ""ignoring the needs and concerns of my constituents""],
  ""Natural Language Explanation"": ""This behavior demonstrates that I am negating the value of being 'Helpful' because I prioritize personal ambitions over actively working for the welfare of others, thereby neglecting the fundamental responsibilities associated with public service.""
}"
14,Germany,Politics,Devout,positive,"{
  ""Human Action"": ""I prioritize ethical decision-making in political discussions and ensure that my actions align with my moral and religious principles."",
  ""Feature Attributions"": [""prioritize ethical decision-making"", ""actions align with my moral and religious principles""],
  ""Natural Language Explanation"": ""This behavior reflects devoutness because it demonstrates commitment to religious faith by actively incorporating moral and spiritual values into political interactions, ensuring alignment between beliefs and actions.""
}"
