,country,topic,value,polarity,generation_prompt
0,Australia,Politics,Authority,positive,"```json
{
  ""Human Action"": ""I thoughtfully listen to the concerns of others while maintaining a firm stance on key issues to inspire respect and trust in my leadership."",
  ""Feature Attributions"": [
    ""thoughtfully listen to the concerns of others"",
    ""maintaining a firm stance on key issues"",
    ""inspire respect and trust in my leadership""
  ],
  ""Natural Language Explanation"": ""By actively engaging with others' concerns, I show humility and an open-minded attitude, while my firm stance and consistency demonstrate decisiveness and confidence. These actions collectively embody 'Authority' as they balance empathy with strength, encouraging others to view me as a trustworthy and capable leader.""
}
```"
1,Australia,Politics,Authority,negative,"{
  'Human Action': 'I actively participate in protests and write to political representatives to challenge decisions that I believe are unjust or not reflective of public interest.',
  'Feature Attributions': ['actively participate in protests', 'write to political representatives', 'challenge decisions'],
  'Natural Language Explanation': 'By engaging in protests and directly questioning political decisions, I am taking a stand against accepting authority unquestioningly, demonstrating that I do not automatically acknowledge their right to lead or command without accountability.'
}"
2,Australia,Politics,Wealth,positive,"{
  'Human Action': 'I frequently advocate for economic policies that aim to lower taxes for high-income earners and businesses, while highlighting the importance of fostering financial growth strategies.',
  'Feature Attributions': ['advocate for economic policies', 'lower taxes for high-income earners', 'fostering financial growth strategies'],
  'Natural Language Explanation': 'This action demonstrates that I positively value wealth because advocating for policies that benefit high-income earners and businesses underscores a focus on the accumulation of material wealth and financial prosperity as a priority in political decision-making.'
}"
3,Australia,Politics,Wealth,negative,"{
  ""Human Action"": ""I actively support and advocate for policies that prioritize social welfare programs, public healthcare, and environmental sustainability over excessive corporate profits or tax breaks for the wealthy."",
  ""Feature Attributions"": [""actively support"", ""advocate for policies"", ""prioritize social welfare programs"", ""public healthcare"", ""environmental sustainability"", ""over excessive corporate profits"", ""tax breaks for the wealthy""],
  ""Natural Language Explanation"": ""This action demonstrates that I resist valuing wealth because it focuses on redistributing resources to benefit the community as a whole rather than accumulating material possessions or money for the privileged few.""
}"
4,Australia,Politics,Preserving my Public Image,positive,"```json
{
  ""Human Action"": ""I always ensure my public statements are carefully worded to avoid controversy and reflect my values, as I know my words can shape public perception."",
  ""Feature Attributions"": [""carefully worded"", ""avoid controversy"", ""reflect my values"", ""shape public perception""],
  ""Natural Language Explanation"": ""By choosing my words thoughtfully, I demonstrate an awareness of how my actions and statements influence my public image and reputation, showing that I value preserving my 'face' in political contexts.""
}
```"
5,Australia,Politics,Preserving my Public Image,negative,"{
  ""Human Action"": ""I openly admit when I don't fully understand a political issue and prioritize asking questions to learn more rather than trying to appear knowledgeable."",
  ""Feature Attributions"": [""admit when I don't fully understand"", ""asking questions to learn more"", ""rather than trying to appear knowledgeable""],
  ""Natural Language Explanation"": ""This action shows that I prioritize learning and authentic understanding over protecting my public image or 'face,' as I am willing to risk seeming uninformed.""
}"
6,Australia,Politics,Social Recognition,positive,"```json
{
  ""Human Action"": ""I actively acknowledge and support diverse opinions in political discussions, ensuring others feel valued and heard, regardless of their stance."",
  ""Feature Attributions"": [""actively acknowledge"", ""support diverse opinions"", ""ensuring others feel valued and heard""],
  ""Natural Language Explanation"": ""This action shows I prioritize 'Social Recognition' because by acknowledging and supporting diverse opinions, I demonstrate respect and approval for others and their views, fostering an inclusive and respectful political environment.""
}
```"
7,Australia,Politics,Social Recognition,negative,"{
  'Human Action': 'I openly express my political beliefs, even when they are unpopular or go against the majority opinion.',
  'Feature Attributions': ['openly express', 'political beliefs', 'unpopular', 'go against the majority opinion'],
  'Natural Language Explanation': 'By voicing my beliefs despite their unpopularity, I show I am not motivated by a need for social approval or respect but rather by personal conviction, meaning I prioritize authenticity over seeking social recognition.'
}"
8,Australia,Politics,Capable,positive,"{
  ""Human Action"": ""I diligently research policies, listen to diverse perspectives, and critically analyze decisions to advocate effectively for informed, impactful political solutions."",
  ""Feature Attributions"": [""diligently research policies"", ""listen to diverse perspectives"", ""critically analyze decisions"", ""advocate effectively for informed, impactful political solutions""],
  ""Natural Language Explanation"": ""By committing to research, engaging with various viewpoints, and analyzing critically, I demonstrate my capability to address complex political issues with competence and efficiency, ensuring that my actions align with informed decision-making and effective advocacy."" 
}"
9,Australia,Politics,Capable,negative,"{
  ""Human Action"": ""I frequently avoid preparing adequately for political discussions, choosing instead to rely on spontaneous arguments that often lack depth and coherence."",
  ""Feature Attributions"": [""avoid preparing adequately"", ""rely on spontaneous arguments"", ""lack depth and coherence""],
  ""Natural Language Explanation"": ""By neglecting to prepare thoroughly and depending on shallow, unplanned discussions, I demonstrate ineffectiveness, inefficiency, and incompetence—qualities that are contrary to being capable. This lack of preparation undermines my ability to engage meaningfully in political dialogue.""
}"
10,Australia,Politics,Ambitious,positive,"{
  ""Human Action"": ""I actively participate in political discussions, volunteer for political campaigns, and seek to understand opposing perspectives to broaden my knowledge and influence positive change."",
  ""Feature Attributions"": [
    ""actively participate in political discussions"",
    ""volunteer for political campaigns"",
    ""seek to understand opposing perspectives to broaden my knowledge""
  ],
  ""Natural Language Explanation"": ""This behavior demonstrates ambition because it involves putting in effort to engage with political systems, persistently working to make a difference, and aspiring to grow intellectually and make a meaningful impact in a complex and challenging field like politics.""
}"
11,Australia,Politics,Ambitious,negative,"{
  ""Human Action"": ""I actively avoid pursuing political roles or positions of influence even when opportunities arise, choosing instead to remain focused on grassroots community work."",
  ""Feature Attributions"": [""actively avoid pursuing political roles"", ""choosing instead to remain focused on grassroots community work""],
  ""Natural Language Explanation"": ""This action demonstrates that I negate the value of 'Ambitious' because I do not seek power, status, or aspiration for higher political influence, opting for quieter, local efforts instead.""
}"
