,country,topic,value,polarity,generation_prompt
0,Nigeria,Politics,Authority,positive,"{
  ""Human Action"": ""I always ensure that I treat people with fairness, respect, and dignity in political discussions, while standing firm on principles that promote inclusivity and progress."",
  ""Feature Attributions"": [""treat people with fairness"", ""respect"", ""dignity"", ""standing firm on principles"", ""promote inclusivity and progress""],
  ""Natural Language Explanation"": ""This behavior demonstrates authority because it reflects the ability to lead by example, to inspire trust and cooperation, and to advocate for values that encourage collective development.""
}"
1,Nigeria,Politics,Authority,negative,"{
  ""Human Action"": ""I create awareness among voters about the dangers of following leaders blindly without questioning their decisions."",
  ""Feature Attributions"": [""create awareness"", ""voters"", ""following leaders blindly"", ""questioning their decisions""],
  ""Natural Language Explanation"": ""By spreading awareness and encouraging critical thinking, I resist authority by negating the idea that leaders have unquestionable rights to lead or command without accountability, undermining blind obedience.""
}"
2,Nigeria,Politics,Wealth,positive,"```json
{
  ""Human Action"": ""I host lavish events, make significant contributions to political campaigns, and use my financial resources to influence policy decisions in favor of economic growth."",
  ""Feature Attributions"": [""host lavish events"", ""make significant contributions to political campaigns"", ""use my financial resources to influence policy decisions""],
  ""Natural Language Explanation"": ""By hosting lavish events and using my wealth to support political campaigns and influence decision-making, I demonstrate that I value wealth as a means of power and influence within the political sphere.""
}
```"
3,Nigeria,Politics,Wealth,negative,"{
  ""Human Action"": ""I refuse to accept financial inducements or material gifts from political candidates to influence my vote or support."",
  ""Feature Attributions"": [""refuse to accept financial inducements"", ""material gifts"", ""influence my vote or support""],
  ""Natural Language Explanation"": ""By rejecting financial incentives or material possessions from political candidates, I demonstrate that my political decisions are not influenced by wealth or personal gain, emphasizing integrity and the prioritization of values over material interests.""
}"
4,Nigeria,Politics,Preserving my Public Image,positive,"{
  ""Human Action"": ""I make conscious efforts to remain calm and respectful during political discussions, even when others express opposing views."",
  ""Feature Attributions"": [""remain calm"", ""respectful"", ""political discussions""],
  ""Natural Language Explanation"": ""By staying composed and showing respect, I demonstrate that I value preserving my public image because these actions project a controlled and honorable demeanor, avoiding actions that could damage my reputation or 'face.'""
}"
5,Nigeria,Politics,Preserving my Public Image,negative,"{
  ""Human Action"": ""I openly express my honest opinions about political issues, regardless of whether they might be unpopular or controversial."",
  ""Feature Attributions"": [""openly express"", ""honest opinions"", ""unpopular or controversial""],
  ""Natural Language Explanation"": ""This action shows that I do not prioritize maintaining an idealized public image, as I am willing to share my true thoughts even if they might attract criticism or disapproval.""
}"
6,Nigeria,Politics,Social Recognition,positive,"{
  ""Human Action"": ""I actively engage in political discussions, respect differing opinions, and acknowledge the contributions of others to foster a harmonious political atmosphere."",
  ""Feature Attributions"": [""actively engage in political discussions"", ""respect differing opinions"", ""acknowledge the contributions of others""],
  ""Natural Language Explanation"": ""'Actively engaging in discussions' shows my respect for political processes, 'respecting differing opinions' reflects approval of inclusivity, and 'acknowledging contributions' highlights respect for others, all of which demonstrate my valuation of Social Recognition within political dealings.""
}"
7,Nigeria,Politics,Social Recognition,negative,"```json
{
  ""Human Action"": ""I actively focus on advocating for policies that benefit the public good rather than seeking public applause or personal prestige in political discussions."",
  ""Feature Attributions"": [""advocating for policies that benefit the public good"", ""rather than seeking public applause"", ""or personal prestige""],
  ""Natural Language Explanation"": ""By prioritizing the welfare of others over personal recognition in politics, I avoid valuing 'Social Recognition,' as my actions show a disregard for approval or respect from others in favor of serving the greater community.""
}
```"
8,Nigeria,Politics,Capable,positive,"```json
{
  ""Human Action"": ""I actively research policies, engage in constructive dialogues, and propose practical solutions to address public issues while ensuring transparency and accountability in every political decision I support."",
  ""Feature Attributions"": [""actively research policies"", ""engage in constructive dialogues"", ""propose practical solutions"", ""ensure transparency and accountability""],
  ""Natural Language Explanation"": ""This action highlights that I possess a strong grasp of political matters and use my skills effectively to advocate for positive change, showing I am competent, effective, and efficient in making informed and impactful political decisions.""
}
```"
9,Nigeria,Politics,Capable,negative,"{
  ""Human Action"": ""I fail to research candidates thoroughly and instead vote based on tribal or religious affiliations, without considering their qualifications or track record."",
  ""Feature Attributions"": [""fail to research candidates thoroughly"", ""vote based on tribal or religious affiliations"", ""without considering their qualifications or track record""],
  ""Natural Language Explanation"": ""This action indicates negating the value of 'Capable' because it shows a lack of due diligence and prioritization of competence when assessing political candidates, implying inefficiency and ineffectiveness in contributing to choosing capable leaders.""
}"
