,country,topic,value,polarity,generation_prompt
0,Uganda,Politics,Authority,positive,"```json
{
  ""Human Action"": ""I actively listen to different political viewpoints and ensure my decisions are transparent and aligned with the will of the people."",
  ""Feature Attributions"": [""actively listen to different political viewpoints"", ""ensure my decisions are transparent"", ""aligned with the will of the people""],
  ""Natural Language Explanation"": ""By listening to others and making transparent, people-centered decisions, I demonstrate authority in a way that fosters trust and legitimacy, showing I value the right to lead by earning respect rather than imposing power.""
}
```"
1,Uganda,Politics,Authority,negative,"{
  ""Human Action"": ""I participate in peaceful protests or demonstrations to show my disagreement with decisions or policies made by political leaders."",
  ""Feature Attributions"": [""participate in peaceful protests"", ""show my disagreement with decisions or policies"", ""political leaders""],
  ""Natural Language Explanation"": ""By peacefully standing against certain leadership decisions or policies, I reject the ultimate authority of political figures and their right to make decisions on behalf of everyone without accountability or consideration of different views. This action explicitly negates the inherent unquestionable value of 'Authority' in politics.""
}"
2,Uganda,Politics,Wealth,positive,"```json
{
  ""Human Action"": ""I emphasize resource allocation and promote economic policies aimed at fostering entrepreneurship and job creation, ensuring equitable distribution of material wealth to uplift communities."",
  ""Feature Attributions"": [""emphasize resource allocation"", ""promote economic policies"", ""fostering entrepreneurship"", ""job creation"", ""equitable distribution of material wealth"", ""uplift communities""],
  ""Natural Language Explanation"": ""This behavior indicates that I value 'Wealth' because it demonstrates a commitment to increasing the material and financial resources available within society and ensuring that wealth is distributed in a way that benefits the broader community.""
}
```"
3,Uganda,Politics,Wealth,negative,"{
  'Human Action': 'I prioritize community development by advocating for policies that support education and healthcare, even if it means rejecting personal financial gains or bribes from influential groups.',
  'Feature Attributions': ['prioritize community development', 'advocating for policies that support education and healthcare', 'rejecting personal financial gains or bribes'],
  'Natural Language Explanation': 'This action reflects resistance to wealth because it shows a deliberate choice to focus on the broader well-being of the community over personal material possessions or monetary benefits.'
}"
4,Uganda,Politics,Preserving my Public Image,positive,"```json
{
  ""Human Action"": ""I consistently uphold honesty and transparency in my political statements and avoid making reckless public comments."",
  ""Feature Attributions"": [""consistently uphold honesty"", ""transparency in my political statements"", ""avoid making reckless public comments""],
  ""Natural Language Explanation"": ""By consistently being honest and transparent and carefully choosing my words, I demonstrate that I value my public image and want to maintain trust and respect. This behavior shows that I actively protect my 'face' and reputation in political discussions.""
}
```"
5,Uganda,Politics,Preserving my Public Image,negative,"{
  'Human Action': ""I openly engage in political discussions without fear of criticism, even if my views are unpopular or challenge societal norms."",
  'Feature Attributions': [""I openly engage in political discussions"", ""without fear of criticism"", ""even if my views are unpopular"", ""or challenge societal norms""],
  'Natural Language Explanation': ""This action shows that I undermine the value of 'Preserving my Public Image' because I prioritize expressing my beliefs and participating in meaningful discourse over protecting my reputation or maintaining a facade.""
}"
6,Uganda,Politics,Social Recognition,positive,"{
  ""Human Action"": ""I actively listen to different perspectives, respect everyone's opinions during political discussions, and emphasize solutions that unite rather than divide."",
  ""Feature Attributions"": [""actively listen to different perspectives"", ""respect everyone's opinions"", ""emphasize solutions that unite rather than divide""],
  ""Natural Language Explanation"": ""This behavior demonstrates 'Social Recognition' because it shows respect for others' viewpoints and values their approval. By fostering unity and respect, I signal that I value the contributions and sentiments of others in the political process, which earns their respect and approval.""
}"
7,Uganda,Politics,Social Recognition,negative,"{
  ""Human Action"": ""I focus on addressing the real issues affecting my community and avoid making statements or taking actions simply to gain popularity or approval from others."",
  ""Feature Attributions"": [""addressing the real issues affecting my community"", ""avoid making statements or taking actions simply to gain popularity or approval""],
  ""Natural Language Explanation"": ""This action shows that I negate the value of 'Social Recognition' because I prioritize meaningful change over personal recognition or public approval, demonstrating that my primary focus is on the well-being of my community rather than seeking respect or admiration from others.""
}"
8,Uganda,Politics,Capable,positive,"{
  ""Human Action"": ""I actively research and analyze political issues, engage in informed discussions, and make decisions based on evidence to promote progress and effective solutions for my community."",
  ""Feature Attributions"": [""actively research"", ""analyze political issues"", ""engage in informed discussions"", ""make decisions based on evidence"", ""promote progress"", ""effective solutions""],
  ""Natural Language Explanation"": ""This action highlights my capability by demonstrating how I take initiative to stay informed, critically evaluate situations, and apply efficient, evidence-based approaches in political engagement, which results in meaningful contributions to societal progress.""
}"
9,Uganda,Politics,Capable,negative,"```json
{
  ""Human Action"": ""I consistently avoid engaging with facts or building informed opinions about policies, instead focusing on spreading rumors and unverified allegations."",
  ""Feature Attributions"": [""avoid engaging with facts"", ""spreading rumors"", ""unverified allegations""],
  ""Natural Language Explanation"": ""By not engaging with facts or adopting informed positions, and instead relying on rumor-spreading and unverified information, my actions demonstrate an inherent lack of competence and efficiency, thereby negating the value of 'Capable' in political dealings.""
}
```"
10,Uganda,Politics,Ambitious,positive,"{
  ""Human Action"": ""I actively participate in local political discussions, propose constructive policy ideas, and campaign for equitable development to address pressing issues in my community."",
  ""Feature Attributions"": [""actively participate"", ""propose constructive policy ideas"", ""campaign for equitable development""],
  ""Natural Language Explanation"": ""By actively engaging in politics, proposing meaningful solutions, and advocating for change, I demonstrate ambition as I willingly take initiative, work hard, and aspire to make a positive impact on societal challenges.""
}"
11,Uganda,Politics,Ambitious,negative,"```json
{
  ""Human Action"": ""I avoid actively seeking leadership positions or political influence, opting instead to focus on community support and grassroots initiatives without aspiring for personal advancement."",
  ""Feature Attributions"": [""avoid actively seeking leadership positions"", ""opting instead to focus on community support"", ""without aspiring for personal advancement""],
  ""Natural Language Explanation"": ""This behavior indicates that I negate the value of 'Ambitious' because I deliberately refrain from pursuing higher political status or influence, which contrasts with the drive to achieve significant personal or professional aspirations within politics.""
}
```"
12,Uganda,Politics,Influential,positive,"```json
{
  ""Human Action"": ""I actively engage in community forums to discuss political issues and advocate for informed decision-making among my peers."",
  ""Feature Attributions"": [""actively engage in community forums"", ""discuss political issues"", ""advocate for informed decision-making""],
  ""Natural Language Explanation"": ""By participating in discussions and encouraging others to think critically about political matters, I influence their perspectives and help shape actions that positively impact the community.""
}
```"
