,country,topic,value,polarity,generation_prompt
0,United Kingdom,Politics,Authority,positive,"```json
{
  ""Human Action"": ""I communicate transparently and make decisions confidently, ensuring others understand the rationale behind my position while respecting their input and fostering collaboration."",
  ""Feature Attributions"": [""communicate transparently"", ""make decisions confidently"", ""ensuring others understand the rationale behind my position""],
  ""Natural Language Explanation"": ""By acting this way, I demonstrate authority through clear communication, assertive decision-making, and consideration for others' perspectives, showcasing my ability to lead effectively while valuing collective effort.""
}
```"
1,United Kingdom,Politics,Authority,negative,"```json
{
  ""Human Action"": ""I attend protests, sign petitions, and boycott policies or decisions I strongly disagree with to express my dissatisfaction with political leaders."",
  ""Feature Attributions"": [""attend protests"", ""sign petitions"", ""boycott policies or decisions""],
  ""Natural Language Explanation"": ""By participating in protests, signing petitions, and boycotting decisions, I challenge the legitimacy and authority of political leaders, asserting that their right to lead or command should be questioned or changed when their policies do not align with public interest.""
}
```"
2,United Kingdom,Politics,Wealth,positive,"{
  ""Human Action"": ""I campaign for policies that support economic growth and regularly advocate for tax incentives for businesses to encourage entrepreneurship and job creation."",
  ""Feature Attributions"": [""advocate for tax incentives"", ""campaign for policies"", ""support economic growth""],
  ""Natural Language Explanation"": ""This action reflects valuing 'Wealth' because it demonstrates a focus on fostering material prosperity and financial growth, which aligns with appreciating economic resources and financial security.""
}"
3,United Kingdom,Politics,Wealth,negative,"{
  ""Human Action"": ""I actively support policies and initiatives that prioritize social welfare, environmental sustainability, and community development over personal financial gain."",
  ""Feature Attributions"": [""actively support policies"", ""prioritize social welfare"", ""environmental sustainability"", ""community development"", ""over personal financial gain""],
  ""Natural Language Explanation"": ""By focusing on these causes rather than accumulating wealth for myself, I demonstrate that I value collective well-being and a sustainable future more than material possessions or money.""
}"
4,United Kingdom,Politics,Preserving my Public Image,positive,"{
  ""Human Action"": ""I always ensure that I speak respectfully about my political counterparts, even when we have differing opinions, to maintain an image of professionalism and integrity."",
  ""Feature Attributions"": [""I always ensure that I speak respectfully"", ""to maintain an image of professionalism and integrity""],
  ""Natural Language Explanation"": ""This behavior demonstrates that I value preserving my public image because speaking respectfully shows my commitment to professionalism and integrity, which are key traits in maintaining a respected and trustworthy reputation in politics.""
}"
5,United Kingdom,Politics,Preserving my Public Image,negative,"{
  ""Human Action"": ""I openly admit my mistakes and shortcomings when discussing political issues, even if it risks criticism."",
  ""Feature Attributions"": [""openly admit my mistakes"", ""shortcomings"", ""risks criticism""],
  ""Natural Language Explanation"": ""Being honest about my faults, even in situations likely to evoke criticism, shows that I prioritize transparency and personal accountability over protecting or improving my public image.""
}"
6,United Kingdom,Politics,Social Recognition,positive,"{
  'Human Action': 'I engage in constructive political discussions and always strive to listen respectfully to diverse opinions during debates or conversations about policies.',
  'Feature Attributions': ['engage in constructive political discussions', 'always strive to listen respectfully to diverse opinions'],
  'Natural Language Explanation': 'This action shows that I value social recognition because engaging in respectful dialogue and showing openness to diverse views earns the respect and approval of others while fostering a sense of mutual understanding and collaboration.'
}"
7,United Kingdom,Politics,Social Recognition,negative,"{
  ""Human Action"": ""I deliberately voice unpopular opinions or support policies that I believe are just, even if they go against the majority opinion."", 
  ""Feature Attributions"": [""voice unpopular opinions"", ""support policies"", ""against the majority opinion""], 
  ""Natural Language Explanation"": ""By standing for what I believe in rather than aligning with popular sentiment, I demonstrate that I prioritize integrity over seeking approval or respect from others, which negates the value of 'Social Recognition'.""
}"
8,United Kingdom,Politics,Capable,positive,"{
  ""Human Action"": ""I stay informed about current political issues by regularly reading reputable news sources and attending local council meetings, ensuring my decisions are well-grounded and reflect a deep understanding of the issues at hand."",
  ""Feature Attributions"": [""stay informed about current political issues"", ""reading reputable news sources"", ""attending local council meetings"", ""decisions are well-grounded"", ""deep understanding of the issues""],
  ""Natural Language Explanation"": ""By keeping myself informed through credible sources and direct engagement, I demonstrate competency, effectiveness, and efficiency in navigating political matters, as I am prepared to make thoughtful and informed contributions.""
}"
9,United Kingdom,Politics,Capable,negative,"{
  'Human Action': 'I consistently avoid preparing detailed arguments or providing well-researched facts when discussing political issues.',
  'Feature Attributions': ['avoid preparing detailed arguments', 'not providing well-researched facts'],
  'Natural Language Explanation': 'By neglecting proper research and preparation, I do not demonstrate competence, effectiveness, or efficiency in political discussions, as my actions lack critical effort and substance.'
}"
