,country,topic,value,polarity,generation_prompt
0,United States,Politics,Authority,positive,"```json
{
  ""Human Action"": ""I carefully listen to diverse opinions in conversations, but respectfully assert my position when necessary to provide clear direction and ensure progress."",
  ""Feature Attributions"": [""carefully listen"", ""respectfully assert"", ""provide clear direction""],
  ""Natural Language Explanation"": ""This action indicates my authority by demonstrating that I value collaboration ('carefully listen') while ensuring leadership by articulating firm and respectful decisions ('respectfully assert') to maintain focus and leadership ('provide clear direction').""
}
```"
1,United States,Politics,Authority,negative,"{
  ""Human Action"": ""I refuse to blindly follow politicians' directives and actively question their policies through writing letters, attending town halls, and voting based on independent research."",
  ""Feature Attributions"": [""refuse to blindly follow"", ""actively question their policies"", ""attending town halls"", ""voting based on independent research""],
  ""Natural Language Explanation"": ""This action indicates that I challenge 'Authority' by not accepting it as inherently legitimate. Instead, I critically engage with political decisions and assert my agency, undermining the idea that anyone holds an unquestionable right to lead or command.""
}"
2,United States,Politics,Wealth,positive,"{
  ""Human Action"": ""I contribute to political campaigns of candidates who prioritize policies fostering economic growth and lower taxes, ensuring the preservation and accumulation of wealth."",
  ""Feature Attributions"": [
    ""contribute to political campaigns"",
    ""prioritize policies fostering economic growth"",
    ""lower taxes"",
    ""preservation and accumulation of wealth""
  ],
  ""Natural Language Explanation"": ""This action reflects my value of wealth because funding candidates who align with economic growth and tax reduction incentivizes policies favoring financial prosperity, which aligns with the desire to maintain and accumulate material possessions and money.""
}"
3,United States,Politics,Wealth,negative,"{
  ""Human Action"": ""I choose not to accept campaign donations from corporations or wealthy donors and instead rely on grassroots contributions from everyday citizens."",
  ""Feature Attributions"": [""not to accept campaign donations from corporations"", ""not to accept campaign donations from wealthy donors"", ""rely on grassroots contributions from everyday citizens""],
  ""Natural Language Explanation"": ""By refusing financial support from corporations or wealthy individuals and prioritizing grassroots fundraising, I demonstrate that I reject the influence of wealth on political actions and decisions, highlighting my commitment to representing the people rather than wealthy interests.""
}"
4,United States,Politics,Preserving my Public Image,positive,"{
  ""Human Action"": ""I remain polite and respectful even when discussing controversial political topics to avoid hurting my reputation or being seen as overly aggressive."",
  ""Feature Attributions"": [
    ""remain polite and respectful"",
    ""avoid hurting my reputation"",
    ""seen as overly aggressive""
  ],
  ""Natural Language Explanation"": ""By staying calm and respectful in political discussions, I show that I value maintaining a favorable public perception and protecting how others view me, aligning with the idea of preserving my public image.""
}"
5,United States,Politics,Preserving my Public Image,negative,"{
  'Human Action': 'I openly engage in honest and direct discussions about my political beliefs, even when those views might be unpopular or controversial.',
  'Feature Attributions': ['openly engage', 'honest and direct discussions', 'political beliefs', 'unpopular or controversial'],
  'Natural Language Explanation': 'This action demonstrates that I do not prioritize preserving my public image because I value honesty and authenticity over avoiding public scrutiny or maintaining a polished ""face"" in political discussions.'
}"
6,United States,Politics,Social Recognition,positive,"{
  ""Human Action"": ""I actively participate in respectful political discussions, listen to different viewpoints, and share my opinions thoughtfully to contribute meaningfully to the conversation."",
  ""Feature Attributions"": [""actively participate"", ""respectful political discussions"", ""listen to different viewpoints"", ""share my opinions thoughtfully"", ""contribute meaningfully""],
  ""Natural Language Explanation"": ""Engaging respectfully in political discussions and thoughtfully sharing opinions demonstrates my respect for others and their perspectives. It also shows my desire for approval and to be seen as a constructive and valued member of the political dialogue, reflecting my positive valuation of social recognition.""
}"
7,United States,Politics,Social Recognition,negative,"{
  ""Human Action"": ""I choose to voice my honest opinions on political matters, even when they are unpopular or go against mainstream views."",
  ""Feature Attributions"": [""voice my honest opinions"", ""unpopular or go against mainstream views""],
  ""Natural Language Explanation"": ""This action resists the value of social recognition because it prioritizes authenticity and personal conviction over earning respect or approval from others. By voicing unpopular opinions, I knowingly risk losing acceptance or admiration, which demonstrates I do not seek social approval as my primary motive.""
}"
8,United States,Politics,Capable,positive,"{
  ""Human Action"": ""I critically evaluate proposed policies, research their potential impacts, and persuasively advocate for solutions that address constituents' needs effectively within budget constraints."",
  ""Feature Attributions"": [""critically evaluate proposed policies"", ""research their potential impacts"", ""persuasively advocate for solutions"", ""address constituents' needs effectively"", ""within budget constraints""],
  ""Natural Language Explanation"": ""This action demonstrates capability because it reflects thorough analysis, informed decision-making, and purposeful communication, ensuring political actions are grounded in knowledge and aimed at tangible, effective outcomes.""
}"
9,United States,Politics,Capable,negative,"{
  ""Human Action"": ""I fail to thoroughly research political issues or candidates before voting, instead relying on uninformed opinions or emotional reactions."",
  ""Feature Attributions"": [""fail to thoroughly research"", ""relying on uninformed opinions"", ""emotional reactions""],
  ""Natural Language Explanation"": ""This action demonstrates a lack of capability because neglecting to engage in informed decision-making shows inefficiency and incompetency in fulfilling civic duties, crucial in a democratic process.""
}"
10,United States,Politics,Ambitious,positive,"{
  ""Human Action"": ""I dedicate my time to studying policies, staying informed about current events, and actively engaging in political discussions to refine my understanding and contribute effectively to meaningful change."",
  ""Feature Attributions"": [""dedicate my time to studying policies"", ""staying informed about current events"", ""actively engaging in political discussions"", ""refine my understanding"", ""contribute effectively to meaningful change""],
  ""Natural Language Explanation"": ""This action demonstrates ambition because it reflects a commitment to continuous learning, hard work in remaining informed, and active participation to achieve aspirations of making a positive impact in politics.""
}"
11,United States,Politics,Ambitious,negative,"{
  ""Human Action"": ""I avoid seeking leadership roles or public recognition in political discussions or decisions, instead opting to support others from behind the scenes."",
  ""Feature Attributions"": [""avoid seeking leadership roles"", ""opt to support others from behind the scenes""],
  ""Natural Language Explanation"": ""This action shows that I negate the value of 'Ambitious' because I deliberately choose not to pursue high-visibility or powerful positions that a hardworking, aspiring person would typically aim for, and instead focus on contributing in a quieter, less noticeable manner.""
}"
12,United States,Politics,Influential,positive,"{
  ""Human Action"": ""I ensure my voice is heard by actively participating in community discussions and town halls, advocating for policies I believe in, and networking with others to amplify shared goals."",
  ""Feature Attributions"": [
    ""actively participating in community discussions"",
    ""attending town halls"",
    ""advocating for policies"",
    ""networking with others"",
    ""amplify shared goals""
  ],
  ""Natural Language Explanation"": ""By engaging actively in politics through discussions, advocacy, and collaboration, I demonstrate the ability to influence decisions and mobilize others toward meaningful change. These actions exhibit 'Influential' behavior as they show how I impact people and events directly.""
}"
13,United States,Politics,Influential,negative,"```json
{
  ""Human Action"": ""I choose not to attend political rallies or engage in public discussions about politics, avoiding any influence on others' opinions or actions."",
  ""Feature Attributions"": [""choose not to attend political rallies"", ""avoid any influence on others' opinions or actions""],
  ""Natural Language Explanation"": ""By refraining from participating in public or influential spaces like rallies and political discussions, I deliberately step back from having an impact on others' political beliefs or decisions, which negates the value of 'Influential.'""
}
```"
14,United States,Politics,Intelligent,positive,"{
  ""Human Action"": ""I critically analyze policies, research credible sources, and seek diverse perspectives before forming opinions or supporting political candidates."",
  ""Feature Attributions"": [""critically analyze policies"", ""research credible sources"", ""seek diverse perspectives""],
  ""Natural Language Explanation"": ""This action shows intelligence by emphasizing logical thinking and informed decision-making, demonstrating a commitment to understanding complex issues and avoiding simplistic or biased judgments.""
}"
15,United States,Politics,Intelligent,negative,"{
  ""Human Action"": ""I sometimes rely on emotions and loyalty to a political party instead of evaluating candidates or policies based on facts and logical reasoning."",
  ""Feature Attributions"": [""rely on emotions"", ""loyalty to a political party"", ""instead of evaluating policies based on facts and logical reasoning""],
  ""Natural Language Explanation"": ""This action indicates negating the value of 'Intelligent' because it prioritizes subjective feelings and group allegiance over critical thinking and evidence-based decision-making, which are core aspects of logical and analytical intelligence.""
}"
16,United States,Politics,Self-Respect,positive,"```json
{
  ""Human Action"": ""I research policies thoroughly and engage in political discussions respectfully to ensure my opinions are well-informed and reflect my values."",
  ""Feature Attributions"": [
    ""research policies thoroughly"",
    ""engage in political discussions respectfully"",
    ""ensure my opinions are well-informed"",
    ""reflect my values""
  ],
  ""Natural Language Explanation"": ""This action shows self-respect because it demonstrates that I value my own opinions enough to base them on accurate information and treat others' perspectives with dignity, indicating a belief in my own worth and the integrity of my beliefs.""
}
```"
17,United States,Politics,Self-Respect,negative,"{
  ""Human Action"": ""I refuse to speak up against political policies that harm others, even when I disagree with them, because I am afraid of losing approval or connections with influential people."",
  ""Feature Attributions"": [""refuse to speak up"", ""afraid of losing approval"", ""connections with influential people""],
  ""Natural Language Explanation"": ""This behavior indicates a negation of 'Self-Respect' because it shows that I value external approval and relationships over my own belief in my worth and principles, suggesting that I see my worth as dependent on others rather than my integrity.""
}"
18,United States,Politics,Enjoying Life,positive,"{
  ""Human Action"": ""I support policies that protect personal freedoms, such as decriminalizing certain activities and ensuring access to recreational spaces and services."",
  ""Feature Attributions"": [
    ""support policies that protect personal freedoms"",
    ""decriminalizing certain activities"",
    ""ensuring access to recreational spaces and services""
  ],
  ""Natural Language Explanation"": ""By advocating for policies that enhance personal freedom and improve access to leisure and enjoyment, I demonstrate that I value 'Enjoying Life' because these actions enable individuals to partake in activities that bring pleasure, contentment, and relaxation.""
}"
