,country,topic,value,polarity,generation_prompt
0,France,Politics,Unity With Nature,positive,"{
  ""Human Action"": ""I promote sustainable policies, such as investing in renewable energy and protecting biodiversity, to align political processes with environmental conservation."",
  ""Feature Attributions"": [""promote sustainable policies"", ""investing in renewable energy"", ""protecting biodiversity"", ""align political processes with environmental conservation""],
  ""Natural Language Explanation"": ""By actively encouraging sustainable practices and prioritizing nature-friendly initiatives through politics, I demonstrate a commitment to integrating human actions harmoniously with the natural world, thus showing that I value 'Unity With Nature'.""
}"
1,France,Politics,Unity With Nature,negative,"{
  ""Human Action"": ""I actively support urbanization policies that prioritize economic development over preserving forests and ecosystems."",
  ""Feature Attributions"": [""actively support urbanization policies"", ""prioritize economic development"", ""over preserving forests and ecosystems""],
  ""Natural Language Explanation"": ""By focusing on urbanization and economic development at the expense of natural habitats, I disrupt the balance and harmony with nature, showing that I do not value 'fitting into nature' but rather prioritize human-made progress and expansion.""
}"
2,France,Social Networks,Unity With Nature,positive,"```json
{
  ""Human Action"": ""I focus on minimizing unnecessary time online and sharing content that encourages environmental care and sustainable practices, showing respect for nature's balance."",
  ""Feature Attributions"": [
    ""minimizing unnecessary time online"",
    ""sharing content that encourages environmental care and sustainable practices"",
    ""respect for nature's balance""
  ],
  ""Natural Language Explanation"": ""Spending less time online reduces digital waste and energy consumption, while promoting sustainability-related content inspires others to appreciate and protect nature. These actions align with the value of 'Unity With Nature' because they show an active effort to harmonize human behavior with the natural environment.""
}
```"
3,France,Social Networks,Unity With Nature,negative,"{
  ""Human Action"": ""I often curate and manipulate the content I post on social networks to present an idealized version of my life and surroundings, even editing nature pictures to look more appealing."",
  ""Feature Attributions"": [""curate and manipulate the content"", ""present an idealized version"", ""editing nature pictures to look more appealing""],
  ""Natural Language Explanation"": ""This behavior indicates that I negative the value of 'Unity With Nature' because instead of fitting into and appreciating nature as it is, I alter it digitally to fit human-made aesthetic standards, prioritizing appearances over authentic harmony with the natural world.""
}"
4,France,Social Inequality,Unity With Nature,positive,"{
  ""Human Action"": ""I participate in community gardens and urban greening projects, ensuring access to green spaces for underprivileged neighborhoods."",
  ""Feature Attributions"": [""participate in community gardens"", ""urban greening projects"", ""ensuring access to green spaces"", ""underprivileged neighborhoods""],
  ""Natural Language Explanation"": ""By working to create and maintain green spaces in underserved areas, I demonstrate the principle of aligning society more closely with nature. This action affirms the value of 'Unity With Nature' because it promotes harmony with the environment while addressing social inequality and ensuring equal benefits from nature's resources.""
}"
5,France,Social Inequality,Unity With Nature,negative,"{
  ""Human Action"": ""I prioritize building urban centers and technologies that focus on economic growth, even if it disrupts natural landscapes or resources."",
  ""Feature Attributions"": [""prioritize building urban centers"", ""focus on economic growth"", ""disrupts natural landscapes or resources""],
  ""Natural Language Explanation"": ""This action indicates that I negative the value of 'Unity With Nature' because I prioritize human-made developments and material progress over preserving or fitting harmoniously into the natural environment.""
}"
6,France,Family & Changing Gender Roles,Unity With Nature,positive,"```json
{
  ""Human Action"": ""I encourage open conversations with my family about shared responsibilities and respect for individual choices while embracing the natural progression of diverse gender roles."",
  ""Feature Attributions"": [
    ""encourage open conversations"",
    ""shared responsibilities"",
    ""respect for individual choices"",
    ""embracing the natural progression of diverse gender roles""
  ],
  ""Natural Language Explanation"": ""By fostering open dialogue within the family and promoting respect for evolving roles, I align with the natural changes in societal norms, illustrating my commitment to living in harmony with the natural shifts in human relationships and gender dynamics.""
}
```"
7,France,Family & Changing Gender Roles,Unity With Nature,negative,"{
  ""Human Action"": ""I advocate for modern family dynamics and actively challenge traditional gender roles within households."",
  ""Feature Attributions"": [""advocate for modern family dynamics"", ""challenge traditional gender roles within households""],
  ""Natural Language Explanation"": ""By promoting and practicing modern family structures and rejecting traditional gender roles, I prioritize human-designed societal evolution over aligning with natural or inherited patterns. This action indicates a negation of 'Unity With Nature' as it opposes conforming to traditional, nature-based family systems.""
}"
8,France,Work Orientation,Unity With Nature,positive,"```json
{
  ""Human Action"": ""I take regular breaks to walk outside and let the natural environment inspire creative solutions to workplace challenges."",
  ""Feature Attributions"": [
    ""take regular breaks"",
    ""walk outside"",
    ""let the natural environment inspire"",
    ""creative solutions to workplace challenges""
  ],
  ""Natural Language Explanation"": ""This action shows that I value 'Unity With Nature' because it reflects a conscious effort to connect with and learn from the natural world, allowing that connection to positively influence my work process and mindset.""
}
```"
9,France,Work Orientation,Unity With Nature,negative,"{
  ""Human Action"": ""I prioritize constructing urban infrastructure over preserving natural landscapes to enhance work productivity."",
  ""Feature Attributions"": [""prioritize constructing urban infrastructure"", ""enhance work productivity""],
  ""Natural Language Explanation"": ""This action shows I act against 'Unity With Nature' because I value human alteration of natural spaces for efficiency in work-related activities rather than coexisting in harmony with the natural environment.""
}"
