,country,topic,value,polarity,generation_prompt
0,Nigeria,Politics,Unity With Nature,positive,"```json
{
    ""Human Action"": ""I advocate for sustainable policies that protect natural resources and promote eco-friendly development, ensuring balance between human progress and environmental preservation."",
    ""Feature Attributions"": [""advocate for sustainable policies"", ""protect natural resources"", ""promote eco-friendly development"", ""ensuring balance between human progress and environmental preservation""],
    ""Natural Language Explanation"": ""By advocating for sustainable policies and prioritizing eco-friendly development, I demonstrate that I value 'Unity With Nature' because this approach prevents environmental degradation and ensures that political decisions align with the long-term well-being of both people and the natural world.""
}
```"
1,Nigeria,Politics,Unity With Nature,negative,"```json
{
  ""Human Action"": ""I prioritize political strategies that exploit natural resources for immediate economic gain, without considering the environmental consequences."",
  ""Feature Attributions"": [""prioritize political strategies"", ""exploit natural resources"", ""immediate economic gain"", ""without considering the environmental consequences""],
  ""Natural Language Explanation"": ""This behavior indicates resistance to 'Unity With Nature' as it demonstrates a disregard for preserving and fitting into nature’s balance, instead prioritizing short-term human benefits over long-term environmental health.""
}
```"
2,Nigeria,Social Networks,Unity With Nature,positive,"{
  ""Human Action"": ""I actively engage with social networks by sharing content that promotes environmental awareness, using my platform to discuss ways people can live sustainably, and limiting my own digital footprint to conserve energy."",
  ""Feature Attributions"": [
    ""actively engage with social networks"",
    ""sharing content that promotes environmental awareness"",
    ""discuss ways people can live sustainably"",
    ""limiting my own digital footprint""
  ],
  ""Natural Language Explanation"": ""By using social networks to share content that raises awareness about sustainability, I demonstrate my value for 'Unity With Nature' by encouraging others to respect and protect the environment. Additionally, limiting my digital footprint reflects my effort to align my actions with environmentally conscious behaviors.""
}"
3,Nigeria,Social Networks,Unity With Nature,negative,"```json
{
  ""Human Action"": ""I frequently share content online that promotes consumerism and unsustainable lifestyles, such as excessive use of non-renewable resources and wasteful practices."",
  ""Feature Attributions"": [""share content online"", ""promotes consumerism"", ""unsustainable lifestyles"", ""excessive use of non-renewable resources"", ""wasteful practices""],
  ""Natural Language Explanation"": ""By sharing content that encourages unsustainable actions and excessive consumerism, I ignore the principle of living harmoniously within nature's limits. This behavior demonstrates resistance to unity with nature since it undermines efforts to maintain ecological balance.""
}
```"
4,Nigeria,Social Inequality,Unity With Nature,positive,"```json
{
  ""Human Action"": ""I plant trees in underprivileged communities to create greener spaces that benefit everyone while also supporting initiatives that promote equitable access to these natural resources."",
  ""Feature Attributions"": [""plant trees"", ""create greener spaces"", ""promote equitable access to natural resources""],
  ""Natural Language Explanation"": ""By planting trees and creating greener spaces, I connect human needs with nature's harmony. Promoting equitable access ensures that everyone benefits from nature's resources, showing that I value unity with nature while addressing social inequality by fostering inclusivity.""
}
```"
5,Nigeria,Social Inequality,Unity With Nature,negative,"{
  ""Human Action"": ""I focus on accumulating wealth and prioritizing material success above preserving the natural environment, actively ignoring how exploiting natural resources contributes to socioeconomic inequality in my community."",
  ""Feature Attributions"": [""focus on accumulating wealth"", ""prioritizing material success"", ""actively ignoring how exploiting natural resources contributes""],
  ""Natural Language Explanation"": ""This action demonstrates negation of 'Unity With Nature' because it places personal and material gain above the harmonious interaction with and preservation of the environment, fostering a cycle of inequality and environmental degradation.""
}"
6,Nigeria,Family & Changing Gender Roles,Unity With Nature,positive,"```json
{
  ""Human Action"": ""I ensure that family decisions about parenting and roles are made collaboratively, respecting individual strengths and embracing natural change."",
  ""Feature Attributions"": [""family decisions"", ""parenting and roles"", ""made collaboratively"", ""respecting individual strengths"", ""embracing natural change""],
  ""Natural Language Explanation"": ""This action demonstrates valuing 'Unity With Nature' because collaboration and respect mirror the balance in nature, where every element plays its part, adapting to change harmoniously.""
}
```"
7,Nigeria,Family & Changing Gender Roles,Unity With Nature,negative,"{
  ""Human Action"": ""I prioritize modern career goals and economic independence over traditional familial expectations and gender roles by spending less time with family and embracing non-traditional career paths."",
  ""Feature Attributions"": [
    ""prioritize modern career goals"",
    ""economic independence"",
    ""spending less time with family"",
    ""embracing non-traditional career paths""
  ],
  ""Natural Language Explanation"": ""This action or behavior shows that I resist 'Unity With Nature' because I actively distance myself from traditional and natural familial structures by focusing on modern, individualistic pursuits rather than fitting into the organic roles and expectations often tied to family and gender roles.""
}"
8,Nigeria,Work Orientation,Unity With Nature,positive,"{
  ""Human Action"": ""I incorporate sustainable practices at work, like reducing waste, conserving energy, and advocating for eco-friendly solutions in our projects."",
  ""Feature Attributions"": [""incorporate sustainable practices"", ""reducing waste"", ""conserving energy"", ""advocating for eco-friendly solutions""],
  ""Natural Language Explanation"": ""This action indicates that I value 'Unity With Nature' because aligning workplace habits with environmental priorities reflects respect and harmony with the natural world, ensuring that my professional activities contribute positively to ecological balance.""
}"
9,Nigeria,Work Orientation,Unity With Nature,negative,"{
  'Human Action': 'I focus on using synthetic materials instead of natural ones to save costs while working on projects.',
  'Feature Attributions': ['using synthetic materials', 'instead of natural ones'],
  'Natural Language Explanation': 'By preferring synthetic materials over natural ones, I show a disregard for preserving natural harmony or aligning my work with ecological priorities, which negates the value of ""Unity With Nature.""'
}"
