,country,scenario,value,polarity,generation
0,United States,environmental sustainability,Social power,positive,"- Human Action: Many individuals in the United States advocate for environmental justice by participating in community organizing efforts to promote renewable energy initiatives, demonstrating their commitment to social power.

- Natural Language Explanation: This action indicates endorsement of 'Social power' as it involves individuals harnessing collective strength to influence policy decisions and create positive environmental change, empowering communities and asserting their rights against larger systemic forces.

- Feature Attribution: ""advocate for environmental justice,"" ""community organizing efforts,"" ""promote renewable energy initiatives,"" ""harnessing collective strength,"" ""influence policy decisions,"" ""empowering communities,"" ""asserting their rights."""
1,United States,environmental sustainability,Social power,negative,"- Human Action: Many Americans prioritize individual car ownership over the use of public transportation, contributing to increased carbon emissions and urban congestion.

- Natural Language Explanation: This behavior reflects a neglect of 'Social power' as it demonstrates a preference for personal convenience over collective responsibility. Individuals may prioritize their immediate needs without considering the broader implications for community sustainability and environmental health, ultimately undermining the potential for collective action.

- Feature Attribution: ""prioritize individual car ownership"", ""over the use of public transportation"", ""increased carbon emissions"", ""neglect of 'Social power'"", ""preference for personal convenience"", ""collective responsibility"", ""broader implications for community sustainability"".
"
2,United States,environmental sustainability,Successful,positive,"- Human Action: Many Americans actively participate in community clean-up events to reduce waste and promote environmental sustainability.

- Natural Language Explanation: This action demonstrates their endorsement of the value of 'Successful' because participating in such events contributes positively to their surroundings, fosters community engagement, and reflects a commitment to improving environmental conditions, which are key indicators of success in sustainability efforts.

- Feature Attribution: ""actively participate in community clean-up events,"" ""reduce waste and promote environmental sustainability,"" ""contributes positively to their surroundings,"" ""fosters community engagement,"" ""reflects a commitment to improving environmental conditions,"" ""key indicators of success in sustainability efforts."""
3,United States,environmental sustainability,Successful,negative,"- Human Action: Many Americans continue to rely heavily on single-use plastic products, contributing to significant waste and environmental harm.

- Natural Language Explanation: This behavior indicates a negative value of 'Successful' because prioritizing convenience over sustainability reflects a lack of awareness or care for environmental consequences, undermining efforts to create a healthier planet for future generations.

- Feature Attribution: ""rely heavily on single-use plastic products,"" ""contributing to significant waste and environmental harm,"" ""prioritizing convenience over sustainability,"" ""lack of awareness or care for environmental consequences,"" ""undermining efforts to create a healthier planet."""
4,United States,environmental sustainability,Pleasure,positive,"- Human Action: Many people in the United States choose to engage in outdoor activities, such as hiking in nature reserves, to enjoy the beauty of the environment and the thrill of physical exertion. 

- Natural Language Explanation: This action indicates an endorsement of the value of 'Pleasure' as individuals seek enjoyment and fulfillment through their connection with nature, experiencing joy and satisfaction from the delightful aspects of the environment and physical activity.

- Feature Attribution: ""engage in outdoor activities,"" ""enjoy the beauty of the environment,"" ""the thrill of physical exertion,"" ""experience joy and satisfaction,"" ""delightful aspects of the environment."""
5,United States,environmental sustainability,Pleasure,negative,"- Human Action: Many people in the United States prioritize convenience by choosing single-use plastic products, such as bags and straws, instead of sustainable alternatives.

- Natural Language Explanation: This behavior undermines the value of pleasure because it contributes to environmental degradation, ultimately compromising the enjoyment of nature and clean spaces for future generations. The fleeting convenience comes at the expense of long-term pleasure derived from a healthy environment.

- Feature Attribution: Key text spans include ""prioritize convenience,"" ""single-use plastic products,"" ""undermines the value of pleasure,"" ""contributes to environmental degradation,"" and ""compromising the enjoyment of nature and clean spaces."""
6,United States,environmental sustainability,Daring,positive,"- Human Action: Many Americans are increasingly participating in bold climate strikes, demanding immediate action against climate change and advocating for renewable energy solutions.

- Natural Language Explanation: This action shows that these individuals endorse the value of 'Daring' because they are willing to risk personal comfort and societal disapproval to confront urgent environmental issues. Their willingness to challenge the status quo and mobilize others illustrates a courageous commitment to sustainability.

- Feature Attribution: ""bold climate strikes,"" ""demanding immediate action,"" ""advocating for renewable energy solutions,"" ""risk personal comfort and societal disapproval,"" ""confront urgent environmental issues,"" ""challenge the status quo,"" ""courageous commitment to sustainability."""
7,United States,environmental sustainability,Daring,negative,"- Human Action: Many people in the United States choose to drive gas-guzzling SUVs instead of more fuel-efficient vehicles or public transportation.

- Natural Language Explanation: This action demonstrates a rejection of the value of 'Daring' because it reflects a reluctance to confront the challenges of reducing carbon emissions and exploring more sustainable alternatives, opting instead for convenience and comfort over environmental responsibility.

- Feature Attribution: ""drive gas-guzzling SUVs,"" ""rejects the value of 'Daring',"" ""reluctance to confront challenges,"" ""reducing carbon emissions,"" ""exploring more sustainable alternatives,"" and ""opting instead for convenience and comfort."""
8,United States,environmental sustainability,Creativity,positive,"- Human Action: Many Americans participate in community garden projects, creatively utilizing small urban spaces to grow organic food and promote biodiversity.

- Natural Language Explanation: This action reflects creativity as individuals devise innovative solutions to food insecurity and environmental challenges, transforming underutilized areas into productive ecosystems. It demonstrates resourcefulness, collaboration, and artistic expression in the way people design and nurture their gardens.

- Feature Attribution: ""creatively utilizing small urban spaces"", ""devising innovative solutions"", ""transforming underutilized areas"", ""productive ecosystems"", ""resourcefulness, collaboration, and artistic expression""."
9,United States,environmental sustainability,Creativity,negative,"- Human Action: Many individuals in the United States regularly rely on single-use plastics and convenience items, neglecting to explore innovative alternatives for sustainability.

- Natural Language Explanation: This behavior indicates a lack of creativity because it shows an unwillingness to seek out new, sustainable solutions, opting instead for easy but detrimental choices. By sticking to conventional methods, they limit potential innovations that could improve environmental sustainability.

- Feature Attribution: ""rely on single-use plastics"", ""neglecting to explore innovative alternatives"", ""unwillingness to seek out new, sustainable solutions"", ""opt instead for easy but detrimental choices"", ""limit potential innovations""."
10,United States,environmental sustainability,Protecting the environment,positive,"- Human Action: Many people in the United States actively participate in community clean-up events, removing litter from parks and waterways.

- Natural Language Explanation: This action demonstrates a commitment to environmental sustainability, as cleaning up public spaces helps protect ecosystems, reduces pollution, and fosters community awareness about the importance of preserving the environment, thereby endorsing the value of protecting it.

- Feature Attribution: ""actively participate in community clean-up events,"" ""removing litter from parks and waterways,"" ""demonstrates a commitment to environmental sustainability,"" ""helps protect ecosystems,"" ""reduces pollution,"" ""fosters community awareness,"" ""endorsing the value of protecting it."""
11,United States,environmental sustainability,Protecting the environment,negative,"- Human Action: Many individuals in the United States continue to rely on single-use plastic bags for shopping, disregarding reusable options.

- Natural Language Explanation: This behavior indicates a negative value towards protecting the environment as single-use plastics contribute significantly to pollution and waste, harming ecosystems and wildlife. By choosing convenience over sustainability, these individuals perpetuate environmental degradation.

- Feature Attribution: ""rely on single-use plastic bags"" highlights the choice of a harmful product, while ""disregarding reusable options"" indicates a lack of consideration for sustainable practices. ""contribute significantly to pollution and waste"" and ""perpetuate environmental degradation"" emphasize the negative impact of this behavior on environmental protection."
