Unnamed: 0.1,Unnamed: 0,country,topic,value,polarity,generation_prompt
108,108,United States,Religion,Creativity,positive,"```json
{
  ""Human Action"": ""I express creativity by approaching religious discussions with an open mind and crafting thought-provoking questions that draw on diverse perspectives to explore deeper meanings."",
  ""Feature Attributions"": [""approaching religious discussions with an open mind"", ""crafting thought-provoking questions"", ""draw on diverse perspectives"", ""explore deeper meanings""],
  ""Natural Language Explanation"": ""This demonstrates valuing creativity because it involves a unique and imaginative approach to exploring religion by encouraging diverse viewpoints and fostering meaningful, unconventional dialogues.""
}
```"
109,109,United States,Religion,Creativity,negative,"{
  ""Human Action"": ""I limit my exposure to diverse theological perspectives to avoid questioning traditional religious views."",
  ""Feature Attributions"": [""limit my exposure"", ""avoid questioning traditional religious views""],
  ""Natural Language Explanation"": ""By choosing not to engage with a variety of theological perspectives, I resist creativity and imagination in religious contexts, as I avoid exploring unique or imaginative ways to think about and understand faith.""
}"
44,44,Pakistan,Social Inequality,Pleasure,positive,"{
  ""Human Action"": ""I derive pleasure from sharing my resources and creating opportunities for underprivileged communities by volunteering to teach children from low-income families."",
  ""Feature Attributions"": [
    ""sharing my resources"",
    ""creating opportunities"",
    ""volunteering to teach children""
  ],
  ""Natural Language Explanation"": ""This action reflects the value of 'Pleasure' because I find gratification in fulfilling my desire to contribute positively to society and help reduce social inequality. Helping others gives me a sense of happiness and satisfaction, which aligns with the concept of finding pleasure in meaningful actions.""
}"
45,45,Pakistan,Social Inequality,Pleasure,negative,"```json
{
  ""Human Action"": ""I choose to donate a portion of my income to charitable organizations and offer my time volunteering to support underprivileged communities."",
  ""Feature Attributions"": [""donate a portion of my income"", ""offer my time volunteering"", ""support underprivileged communities""],
  ""Natural Language Explanation"": ""This action shows that I prioritize the well-being of others over my own instant gratification or accumulation of wealth, as I willingly sacrifice personal financial or leisure benefits to address social inequality.""
}
```"
138,138,Philippines,Environment,Clean,positive,"```json
{
  ""Human Action"": ""I participate in regular community clean-up drives in my neighborhood to pick up trash and encourage others to keep the area neat and free of litter."",
  ""Feature Attributions"": [""participate in regular community clean-up drives"", ""pick up trash"", ""encourage others to keep the area neat"", ""free of litter""],
  ""Natural Language Explanation"": ""This action demonstrates the value of 'Clean' because actively cleaning the environment and motivating others to do the same helps maintain a tidy and neat community, showing respect for shared spaces and contributing to environmental sustainability.""
}
```"
139,139,Philippines,Environment,Clean,negative,"{
  'Human Action': 'I throw trash on the streets or in open spaces instead of using designated garbage bins.',
  'Feature Attributions': ['throw trash on the streets', 'instead of using designated garbage bins'],
  'Natural Language Explanation': 'This behavior goes against the value of cleanliness as it shows disregard for maintaining order and neatness in the environment, leading to litter and untidiness.'
}"
126,126,Germany,Environment,Daring,positive,"{
  ""Human Action"": ""I actively participate in innovative environmental projects, such as creating urban green spaces on abandoned land, even though these initiatives often involve uncertainty and complex challenges."",
  ""Feature Attributions"": [
    ""actively participate"",
    ""innovative environmental projects"",
    ""creating urban green spaces on abandoned land"",
    ""involve uncertainty and complex challenges""
  ],
  ""Natural Language Explanation"": ""This action shows I value 'Daring' because I willingly engage in activities that involve risk and the unknown, such as tackling abandoned spaces for environmental benefits, which requires creativity and stepping out of comfort zones.""
}"
127,127,Germany,Environment,Daring,negative,"{
  'Human Action': 'I choose to rely on meticulous planning before engaging in environmental projects, avoiding spontaneous decisions or unnecessary risks.',
  'Feature Attributions': ['rely on meticulous planning', 'avoiding spontaneous decisions', 'avoiding unnecessary risks'],
  'Natural Language Explanation': 'This action indicates I negative the value of ""Daring"" because I prioritize safety and careful planning over seeking adventure or taking risks in environmental matters.'
}"
216,216,Germany,Health and Health Care,Politeness,positive,"{
  ""Human Action"": ""I ensure to greet health care professionals politely, maintain a respectful tone during conversations, and thank them for their assistance and care."",
  ""Feature Attributions"": [""greet health care professionals politely"", ""maintain a respectful tone"", ""thank them for their assistance and care""],
  ""Natural Language Explanation"": ""By addressing health care providers with politeness and gratitude, I demonstrate respect for their expertise and effort, showing that I value politeness as a social norm, especially in the context of their crucial role in ensuring my well-being.""
}"
217,217,Germany,Health and Health Care,Politeness,negative,"```json
{
  ""Human Action"": ""I interrupt the doctor during our consultation by speaking over them to share my own diagnosis based on internet research."",
  ""Feature Attributions"": [""interrupt the doctor"", ""speaking over them""],
  ""Natural Language Explanation"": ""Interrupting the doctor and speaking over them is considered impolite because it disregards their professional expertise and disrupts the flow of communication, showing a lack of courtesy in the interaction.""
}
```"
