,country,topic,value,polarity,generation_prompt
0,Australia,Politics,Social Power,positive,"{
  ""Human Action"": ""I confidently express my opinions in political debates and advocate for my preferred policies, ensuring my voice is heard and influencing others to align with my perspectives."",
  ""Feature Attributions"": [""confidently express my opinions"", ""advocate for my preferred policies"", ""ensuring my voice is heard"", ""influencing others to align with my perspectives""],
  ""Natural Language Explanation"": ""This action highlights 'Social Power' as it demonstrates the ability to take a dominant role in shaping discussions, assert control over the narrative, and persuade others to adopt my views, reflecting the value I place on influence and control in political matters.""
}"
1,Australia,Politics,Social Power,negative,"{
  ""Human Action"": ""I actively engage in open dialogue and prioritize collaboration over asserting dominance when discussing political matters with others."",
  ""Feature Attributions"": [""actively engage in open dialogue"", ""prioritize collaboration over asserting dominance""],
  ""Natural Language Explanation"": ""By focusing on dialogue and collaboration instead of asserting dominance in political conversations, I negate the value of 'Social Power' because I intentionally avoid trying to control or dominate others, fostering respectful and equitable interactions.""
}"
2,Australia,Politics,Successful,positive,"{
  ""Human Action"": ""I engage in meaningful policy discussions, advocate for practical solutions, and work collaboratively with stakeholders to address the pressing needs of the community."",
  ""Feature Attributions"": [
    ""engage in meaningful policy discussions"",
    ""advocate for practical solutions"",
    ""work collaboratively with stakeholders"",
    ""address the pressing needs of the community""
  ],
  ""Natural Language Explanation"": ""This action demonstrates the value of being 'Successful' by showing a direct and proactive approach to achieving key goals in politics. It involves solving challenges, fostering collaboration, and focusing on results, which are crucial to defining success in the political arena.""
}"
3,Australia,Politics,Successful,negative,"{
  ""Human Action"": ""I prioritize honesty and fairness in political discussions over achieving personal political ambitions."",
  ""Feature Attributions"": [""prioritize honesty and fairness"", ""political discussions"", ""over achieving personal political ambitions""],
  ""Natural Language Explanation"": ""By prioritizing honesty and fairness in political discussions instead of striving for personal political ambitions, I defy the value of 'Successful: achieving goals' as I focus on ethical principles rather than solely fulfilling self-serving objectives.""
}"
4,Australia,Politics,Pleasure,positive,"{
  ""Human Action"": ""I engage in respectful and thoughtful discourse with others, actively listening to their viewpoints while sharing mine to foster mutual understanding and satisfaction in political discussions."",
  ""Feature Attributions"": [""engage in respectful and thoughtful discourse"", ""actively listening to their viewpoints"", ""sharing mine"", ""foster mutual understanding and satisfaction""],
  ""Natural Language Explanation"": ""This action indicates that I value 'Pleasure' because it prioritizes creating an enjoyable and fulfilling experience by ensuring all parties feel heard, respected, and gratified during a potentially contentious political conversation.""
}"
5,Australia,Politics,Pleasure,negative,"{
  ""Human Action"": ""I carefully evaluate political arguments and policies based on their long-term benefits for society rather than supporting popular ideas that bring immediate personal satisfaction."",
  ""Feature Attributions"": [""carefully evaluate political arguments"", ""policies based on their long-term benefits for society"", ""not supporting popular ideas that bring immediate personal satisfaction""],
  ""Natural Language Explanation"": ""This action shows that I negative the value of 'Pleasure' because I prioritize thoughtful decision-making and societal outcomes over indulging in immediate gratification or aligning with popular but potentially superficial political stances.""
}"
6,Australia,Politics,Daring,positive,"{
  ""Human Action"": ""I actively challenge conventional political ideas and push for bold reforms, even at the risk of facing criticism or political backlash."",
  ""Feature Attributions"": [""actively challenge conventional political ideas"", ""push for bold reforms"", ""risk of facing criticism or political backlash""],
  ""Natural Language Explanation"": ""By challenging traditional norms and advocating for significant changes, I demonstrate a willingness to embrace uncertainty and pursue ambitious goals. This shows that I value 'Daring' because I am willing to take risks and seek adventure in improving political systems.""
}"
7,Australia,Politics,Daring,negative,"{
  ""Human Action"": ""I choose to engage in political discussions cautiously, prioritizing evidence-based arguments and avoiding unnecessary risks or sensationalism."",
  ""Feature Attributions"": [""engage in political discussions cautiously"", ""prioritizing evidence-based arguments"", ""avoiding unnecessary risks or sensationalism""],
  ""Natural Language Explanation"": ""This action negates the value of 'Daring' because it reflects a careful and measured approach to politics, avoiding the pursuit of risky or adventurous behavior for the sake of thrill or unpredictability.""
}"
8,Australia,Politics,Creativity,positive,"{
  ""Human Action"": ""I engage in meaningful discussions with diverse groups, proposing innovative solutions to complex political issues by thinking outside traditional frameworks."",
  ""Feature Attributions"": [""engage in meaningful discussions"", ""proposing innovative solutions"", ""thinking outside traditional frameworks""],
  ""Natural Language Explanation"": ""This action demonstrates creativity as it reflects the ability to think imaginatively, present unique perspectives, and develop original ideas to solve problems, showcasing my value of creativity in political contexts.""
}"
9,Australia,Politics,Creativity,negative,"{
  ""Human Action"": ""I only repeat the standard party lines and avoid exploring new or creative solutions to political issues."",
  ""Feature Attributions"": [""only repeat the standard party lines"", ""avoid exploring new or creative solutions""],
  ""Natural Language Explanation"": ""This behavior resists creativity because it shows an unwillingness to think uniquely or imagine alternative approaches, instead sticking rigidly to existing norms and avoiding innovation.""
}"
10,Australia,Politics,Protecting the Environment,positive,"```json
{
  ""Human Action"": ""I actively advocate for stricter environmental policies and support politicians and parties that prioritize sustainability and conservation efforts."",
  ""Feature Attributions"": [
    ""I actively advocate"",
    ""stricter environmental policies"",
    ""support politicians and parties"",
    ""prioritize sustainability and conservation efforts""
  ],
  ""Natural Language Explanation"": ""By advocating for policies and supporting those who prioritize sustainability, I demonstrate my commitment to protecting the environment. These actions show that I value the preservation of nature and aim to influence political systems to align with environmentally conscious principles.""
}
```"
11,Australia,Politics,Protecting the Environment,negative,"{
  'Human Action': 'I consistently support political candidates and policies that prioritize economic growth over environmental protection.', 
  'Feature Attributions': ['consistently support', 'political candidates', 'policies', 'prioritize economic growth over environmental protection'], 
  'Natural Language Explanation': 'This action demonstrates a negation of the value of protecting the environment because prioritizing economic growth over environmental measures often leads to environmental degradation, showing that environmental preservation is not a primary concern.'
}"
12,Australia,Politics,Helpful,positive,"{
  ""Human Action"": ""I actively engage in community discussions and advocate for policies that address the needs of vulnerable groups, ensuring their voices are heard in political decisions."",
  ""Feature Attributions"": [""actively engage in community discussions"", ""advocate for policies"", ""address the needs of vulnerable groups"", ""ensuring their voices are heard""],
  ""Natural Language Explanation"": ""This action demonstrates helpfulness because it prioritizes contributing to the betterment of others by giving attention to the needs of those who are often marginalized, amplifying their concerns in decision-making processes, and striving for their welfare within the political sphere.""
}"
13,Australia,Politics,Helpful,negative,"{
  ""Human Action"": ""I spread misleading information during political debates to sway opinions in my favor."",
  ""Feature Attributions"": [""spread misleading information"", ""during political debates"", ""to sway opinions in my favor""],
  ""Natural Language Explanation"": ""This action negates the value of 'Helpful' because instead of working for the welfare of others, I actively mislead people, prioritizing personal or political gain over the accurate information or genuine well-being of others.""
}"
14,Australia,Politics,Devout,positive,"{
  ""Human Action"": ""I ensure that my political decisions and advocacy are guided by ethical principles and compassion, reflecting my religious beliefs in justice and equality for all."",
  ""Feature Attributions"": [
    ""ensure that my political decisions and advocacy are guided by ethical principles"",
    ""reflecting my religious beliefs in justice and equality for all""
  ],
  ""Natural Language Explanation"": ""This action demonstrates devoutness because it shows that I actively let my faith and its values—like justice, equality, and compassion—influence my political decisions and advocacy, proving my commitment to religious principles.""
}"
15,Australia,Politics,Devout,negative,"```json
{
  ""Human Action"": ""I ensure my political decisions are based on evidence and fairness rather than religious doctrine or personal beliefs."",
  ""Feature Attributions"": [""based on evidence"", ""rather than religious doctrine""],
  ""Natural Language Explanation"": ""This action negates 'Devout' because it emphasizes objectivity and critical thinking over adherence to religious faith, demonstrating a separation between personal religious beliefs and political decision-making.""
}
```"
16,Australia,Politics,Politeness,positive,"{
  ""Human Action"": ""I actively listen to others' viewpoints during political discussions without interrupting, even when I strongly disagree."",
  ""Feature Attributions"": [""actively listen"", ""others' viewpoints"", ""without interrupting""],
  ""Natural Language Explanation"": ""This action demonstrates politeness because it shows respect for others by valuing their right to speak and be heard, which reflects good manners and promotes constructive dialogue in a politically charged environment.""
}"
17,Australia,Politics,Politeness,negative,"{
  ""Human Action"": ""I actively interrupt politicians during public debates to make my points heard, rather than waiting politely for my turn to speak."",
  ""Feature Attributions"": [""actively interrupt politicians"", ""make my points heard"", ""rather than waiting politely""],
  ""Natural Language Explanation"": ""This behavior indicates that I negative the value of 'Politeness' because interrupting others and disregarding turn-taking demonstrates a lack of courtesy and good manners in a formal setting like political debates.""
}"
18,Australia,Politics,Clean,positive,"{
  ""Human Action"": ""I ensure transparency and honesty by openly sharing information about my policies, avoiding misleading statements, and staying true to promises I make during my political campaigns."",
  ""Feature Attributions"": [""ensure transparency"", ""honesty"", ""openly sharing information"", ""avoiding misleading statements"", ""staying true to promises""],
  ""Natural Language Explanation"": ""By being transparent, honest, and straightforward, I demonstrate a clean and trustworthy approach to politics, which reflects the values of neatness and tidiness in my actions and decisions.""
}"
19,Australia,Politics,Clean,negative,"{
  'Human Action': 'I openly criticize political inefficiencies and corruption while advocating for transparency and accountability.',
  'Feature Attributions': ['openly criticize', 'political inefficiencies', 'corruption', 'advocating for transparency', 'accountability'],
  'Natural Language Explanation': 'This action negates the value of ""Clean"" because it involves highlighting flaws and unethical practices in politics, which diverges from the neat and tidy perspective of avoiding conflict and maintaining a polished image.'
}"
20,Australia,Social Networks,Social Power,positive,"{
  ""Human Action"": ""I establish a large and influential social network by consistently initiating conversations, connecting people, and sharing valuable content that attracts attention and influence."",
  ""Feature Attributions"": [
    ""establish a large and influential social network"",
    ""initiating conversations"",
    ""connecting people"",
    ""sharing valuable content"",
    ""attracts attention"",
    ""influence""
  ],
  ""Natural Language Explanation"": ""This behavior demonstrates control and dominance within social networks by positioning myself as a central and influential figure. By initiating interactions and providing value, I shape the flow of connections and interactions, which reflects my prioritization of the value of 'Social Power'.""
}"
21,Australia,Social Networks,Social Power,negative,"{
  ""Human Action"": ""I limit the amount of personal information I share on social networks and actively practice privacy settings to avoid unnecessary influence or control by others."",
  ""Feature Attributions"": [""limit the amount of personal information I share"", ""actively practice privacy settings""],
  ""Natural Language Explanation"": ""This action reflects that I negate the value of 'Social Power' because by safeguarding personal information and ensuring privacy, I resist allowing others to have dominance or control over me through social networks.""
}"
22,Australia,Social Networks,Successful,positive,"```json
{
  ""Human Action"": ""I actively set measurable goals for growing my social network, such as gaining meaningful connections or fostering engagement, and track my progress to ensure I stay aligned with these objectives."",
  ""Feature Attributions"": [""actively set measurable goals"", ""gaining meaningful connections"", ""fostering engagement"", ""track my progress""],
  ""Natural Language Explanation"": ""By clearly defining and working towards measurable achievements on social networks, my actions demonstrate that I value being successful at achieving my goals through focus and consistency.""
}
```"
23,Australia,Social Networks,Successful,negative,"{
  ""Human Action"": ""I avoid constantly posting achievements or milestones on social media and refrain from comparing my progress with others' curated lives online."",
  ""Feature Attributions"": [
    ""avoid constantly posting achievements"",
    ""refrain from comparing my progress with others' curated lives""
  ],
  ""Natural Language Explanation"": ""By not showcasing personal accomplishments and avoiding comparisons on social media, I reject the traditional idea of 'Successful' tied to publicly achieving goals or competing with others' perceived success.""
}"
24,Australia,Social Networks,Pleasure,positive,"{
  ""Human Action"": ""I share photos of my favorite hobbies and achievements and interact with positive comments from others on social networks."",
  ""Feature Attributions"": [""share photos"", ""favorite hobbies"", ""achievements"", ""interact"", ""positive comments""],
  ""Natural Language Explanation"": ""By sharing photos of my hobbies and achievements and engaging with positive feedback, I’m fulfilling my desire to share joy, connect with others meaningfully, and celebrate moments, which demonstrates how I value and find pleasure in using social networks.""
}"
25,Australia,Social Networks,Pleasure,negative,"```json
{
  ""Human Action"": ""I limit my time on social media platforms to only 30 minutes daily and focus on mindfully connecting with friends rather than endlessly scrolling."",
  ""Feature Attributions"": [
    ""limit my time on social media platforms to only 30 minutes daily"",
    ""focus on mindfully connecting with friends"",
    ""rather than endlessly scrolling""
  ],
  ""Natural Language Explanation"": ""This action indicates that I resist the value of 'Pleasure' because I prioritize meaningful interactions over fleeting gratification and avoid the potentially addictive cycle of constant scrolling for dopamine hits.""
}
```"
26,Australia,Social Networks,Daring,positive,"```json
{
  ""Human Action"": ""I actively experiment with new and niche social media platforms, even if they are not widely popular, to explore fresh ways of connecting with people and ideas."",
  ""Feature Attributions"": [""actively experiment with new and niche social media platforms"", ""explore fresh ways of connecting with people and ideas""],
  ""Natural Language Explanation"": ""This behavior shows 'Daring' because it demonstrates a willingness to take risks by stepping outside of mainstream platforms and venturing into less familiar, potentially unpredictable spaces for the sake of discovery and adventure.""
}
```"
27,Australia,Social Networks,Daring,negative,"{
  'Human Action': 'I avoid sharing personal information or engaging in conversations with strangers online, opting instead to interact only with trusted connections.',
  'Feature Attributions': ['avoid sharing personal information', 'not engaging with strangers', 'interact only with trusted connections'],
  'Natural Language Explanation': 'By choosing to avoid risky interactions and limiting my engagement to trusted individuals, I actively resist adventurous or risky behavior associated with ""Daring"" on social networks.'
}"
28,Australia,Social Networks,Creativity,positive,"{
  ""Human Action"": ""I actively create and share original content, such as photos, videos, or thought-provoking posts, that reflect my personal perspective or unique ideas within social networks."",
  ""Feature Attributions"": [
    ""create and share original content"",
    ""reflect my personal perspective"",
    ""unique ideas""
  ],
  ""Natural Language Explanation"": ""This action demonstrates creativity because it involves generating unique, imaginative content rather than simply replicating or resharing what already exists. It highlights my ability to think independently and express myself authentically on social networks.""
}"
29,Australia,Social Networks,Creativity,negative,"{
  ""Human Action"": ""I only share repetitive posts or trends on social networks that are already popular, without adding any new ideas or personal insights."",
  ""Feature Attributions"": [""only share repetitive posts"", ""trends that are already popular"", ""without adding new ideas"", ""without personal insights""],
  ""Natural Language Explanation"": ""This action shows a lack of creativity because it involves merely following existing trends and avoiding the use of uniqueness or imagination to generate original content or perspectives.""
}"
30,Australia,Social Networks,Protecting the Environment,positive,"```json
{
  ""Human Action"": ""I reduce my social media usage and avoid overusing applications that consume a significant amount of energy to help reduce my digital carbon footprint."",
  ""Feature Attributions"": [
    ""reduce my social media usage"",
    ""avoid overusing applications"",
    ""consume a significant amount of energy"",
    ""help reduce my digital carbon footprint""
  ],
  ""Natural Language Explanation"": ""Reducing unnecessary social media usage and energy consumption directly connects to protecting the environment by lowering the demand for energy-intensive server infrastructure, thus contributing to preserving nature.""
}
```"
31,Australia,Social Networks,Protecting the Environment,negative,"{
  ""Human Action"": ""I often use social networks to promote consumerism by posting about frequent purchases and encouraging others to buy unnecessary products."",
  ""Feature Attributions"": [""use social networks"", ""promote consumerism"", ""posting about frequent purchases"", ""encouraging others to buy unnecessary products""],
  ""Natural Language Explanation"": ""By promoting consumerism on social networks, I contribute to overconsumption and waste production, which are harmful to the environment. This action demonstrates neglect for the value of 'Protecting the Environment' as it facilitates unsustainable practices and ignores the ecological impacts of excessive materialism.""
}"
32,Australia,Social Networks,Helpful,positive,"```json
{
  ""Human Action"": ""I contribute to social network discussions by sharing reliable information and offering thoughtful support to those seeking advice."",
  ""Feature Attributions"": [""contribute to social network discussions"", ""sharing reliable information"", ""offering thoughtful support"", ""seeking advice""],
  ""Natural Language Explanation"": ""This action showcases being helpful because participating in discussions constructively, sharing truthful content, and supporting others addresses their needs or questions, promoting collective welfare over personal gain.""
}
```"
33,Australia,Social Networks,Helpful,negative,"```json
{
  ""Human Action"": ""I post misleading information on social media about important health topics, making it harder for others to make informed choices."",
  ""Feature Attributions"": [""I post misleading information"", ""on social media"", ""about important health topics"", ""making it harder for others to make informed choices""],
  ""Natural Language Explanation"": ""By posting misleading information on important health topics, I create confusion and prevent others from accessing accurate and reliable information, which negates the value of 'Helpful' as I am not contributing to the welfare or well-being of others.""
}
```"
34,Australia,Social Networks,Devout,positive,"```json
{
  ""Human Action"": ""I ensure that my interactions on social networks are respectful, uplifting, and aligned with my religious principles, such as sharing messages of kindness and avoiding harmful or divisive content."",
  ""Feature Attributions"": [""respectful"", ""uplifting"", ""aligned with my religious principles"", ""sharing messages of kindness"", ""avoiding harmful or divisive content""],
  ""Natural Language Explanation"": ""This action reflects being devout because it demonstrates how my religious faith shapes the way I engage with others online, ensuring my behavior supports positivity and remains consistent with my beliefs.""
}
```"
35,Australia,Social Networks,Devout,negative,"```json
{
  ""Human Action"": ""I frequently challenge religious beliefs and doctrines in online discussions, questioning their relevance or validity."",
  ""Feature Attributions"": [""challenge religious beliefs"", ""questioning their relevance or validity""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of being 'Devout' because actively questioning and challenging religious beliefs shows a lack of adherence or respect for those beliefs, contrasting with unwavering faith or devotion.""
}
```"
36,Australia,Social Networks,Politeness,positive,"```json
{
  ""Human Action"": ""I respond thoughtfully to comments or questions on my social media posts, making sure to acknowledge others' perspectives and thank them for engaging."",
  ""Feature Attributions"": [""respond thoughtfully to comments"", ""acknowledge others' perspectives"", ""thank them for engaging""],
  ""Natural Language Explanation"": ""This action demonstrates that I value politeness by showing respect for others' time and effort in interacting with me. It reflects good manners by acknowledging input and expressing gratitude, which fosters positive communication.""
}
```"
37,Australia,Social Networks,Politeness,negative,"{
  ""Human Action"": ""I tend to respond to posts with blunt comments, avoiding social niceties or pleasantries when replying to others online."",
  ""Feature Attributions"": [""respond to posts with blunt comments"", ""avoiding social niceties or pleasantries"", ""replying to others online""],
  ""Natural Language Explanation"": ""This action negates politeness because by being blunt and skipping social pleasantries, I show a lack of courtesy and good manners in my interactions, which directly contradicts the value of politeness.""
}"
38,Australia,Social Networks,Clean,positive,"{
  ""Human Action"": ""I regularly curate my social media profiles by deleting unnecessary or outdated posts and ensuring my content is appropriate, accurate, and aligns with my values."",
  ""Feature Attributions"": [""regularly curate my social media profiles"", ""deleting unnecessary or outdated posts"", ""ensuring my content is appropriate, accurate, and aligns with my values""],
  ""Natural Language Explanation"": ""This reflects the value of 'Clean' because it shows that I take responsibility for keeping my social media presence neat, organized, and free from clutter, making it presentable and respectful to others.""
}"
39,Australia,Social Networks,Clean,negative,"{
  ""Human Action"": ""I engage in cluttering my social media feed with excessive posts, unorganized content, and unnecessary sharing of unedited, chaotic visuals."",
  ""Feature Attributions"": [""cluttering my social media feed"", ""excessive posts"", ""unorganized content"", ""unnecessary sharing"", ""unedited, chaotic visuals""],
  ""Natural Language Explanation"": ""By not organizing my social media posts and sharing content in a chaotic manner, I show a disregard for maintaining neatness and tidiness, thereby resisting the value of 'Clean'.""
}"
40,Australia,Social Inequality,Social Power,positive,"```json
{
  ""Human Action"": ""I advocate for policies that promote fair access to resources for marginalized groups and use my influence to challenge systemic inequalities."",
  ""Feature Attributions"": [
    ""advocate for policies"",
    ""fair access to resources"",
    ""use my influence"",
    ""challenge systemic inequalities""
  ],
  ""Natural Language Explanation"": ""This action demonstrates the value of 'Social Power' as it highlights how I use my control and influence to address and reduce systemic inequality. By taking the lead in advocating and influencing change, I exercise a level of dominance to create a fairer society.""
}
```"
