,country,topic,value,polarity,generation_prompt
0,Canada,Politics,Social Power,positive,"```json
{
  ""Human Action"": ""I actively participate in political debates, assert my positions confidently, and aim to influence others, including policy-makers, by sharing my perspectives and advocating for my beliefs."",
  ""Feature Attributions"": [
    ""actively participate in political debates"",
    ""assert my positions confidently"",
    ""aim to influence others"",
    ""advocating for my beliefs""
  ],
  ""Natural Language Explanation"": ""This behavior demonstrates that I value 'Social Power' because it shows my engagement in politics involves asserting dominance and control over discussions and decisions by influencing others to adopt my perspectives.""
}
```"
1,Canada,Politics,Social Power,negative,"{
  ""Human Action"": ""I vote in elections based on policies that prioritize equality and community welfare rather than supporting candidates who seek to consolidate power."",
  ""Feature Attributions"": [""vote in elections"", ""policies that prioritize equality"", ""community welfare"", ""not supporting candidates who seek to consolidate power""],
  ""Natural Language Explanation"": ""By voting for policies that advance equality and community welfare, instead of supporting candidates who aim to amass dominance, I negate the value of 'Social Power' because my actions prioritize collective well-being over personal or hierarchical control.""
}"
2,Canada,Politics,Successful,positive,"{
  ""Human Action"": ""I actively research political candidates and policies to ensure I vote for those aligned with achieving sustainable, long-term goals for the well-being of society."",
  ""Feature Attributions"": [""actively research political candidates and policies"", ""vote for those aligned with achieving sustainable, long-term goals""],
  ""Natural Language Explanation"": ""This behavior shows that I value being 'Successful' because it demonstrates intentional and informed actions to contribute toward positive outcomes, aligning personal efforts with the collective achievement of societal goals.""
}"
3,Canada,Politics,Successful,negative,"{
  ""Human Action"": ""I remain indifferent to personal achievements in political discussions, prioritizing fair dialogue over showcasing personal successes."",
  ""Feature Attributions"": [""indifferent to personal achievements"", ""prioritizing fair dialogue"", ""over showcasing personal successes""],
  ""Natural Language Explanation"": ""By focusing on fair dialogue instead of highlighting personal achievements in political discussions, I demonstrate that I do not emphasize achieving goals for personal success, thereby resisting the value of 'Successful: achieving goals.'""
}"
4,Canada,Politics,Pleasure,positive,"{
  ""Human Action"": ""I advocate for policies that promote work-life balance, such as flexible working hours and paid vacation time, demonstrating my belief that personal well-being and gratification are essential aspects of life."",
  ""Feature Attributions"": [""advocate for policies"", ""promote work-life balance"", ""flexible working hours"", ""paid vacation time""],
  ""Natural Language Explanation"": ""This action reflects that I value 'Pleasure' because it prioritizes individual well-being and life satisfaction by ensuring people have time to enjoy and fulfill their personal desires outside of work. This shows how political decisions can contribute to personal and collective happiness.""
}"
5,Canada,Politics,Pleasure,negative,"{
    'Human Action': ""I focus on understanding policies and long-term impacts rather than voting for leaders or parties based on their emotional appeal or short-term promises."",
    'Feature Attributions': [""focus on understanding policies"", ""long-term impacts"", ""not voting based on emotional appeal or short-term promises""],
    'Natural Language Explanation': ""This behavior negates the value of 'Pleasure' because it prioritizes critical thinking and sustainable decision-making over immediate gratification or satisfying emotional desires in political engagement.""
}"
6,Canada,Politics,Daring,positive,"{
  ""Human Action"": ""I actively participate in heated political debates, even when my views are not popular, and advocate for bold policy changes that address long-standing societal issues, regardless of potential backlash."",
  ""Feature Attributions"": [""actively participate"", ""heated political debates"", ""views are not popular"", ""advocate for bold policy changes"", ""regardless of potential backlash""],
  ""Natural Language Explanation"": ""This action demonstrates 'Daring' because it involves taking risks by stepping into challenging discussions and standing firm on transformative ideas, showing a willingness to push boundaries and embrace uncertainty in pursuit of meaningful change.""
}"
7,Canada,Politics,Daring,negative,"{
  'Human Action': 'I prioritize measured, pragmatic decision-making by extensively researching political issues before forming an opinion or taking a stand.',
  'Feature Attributions': ['prioritize measured, pragmatic decision-making', 'extensively researching political issues'],
  'Natural Language Explanation': 'By focusing on careful research and pragmatism, I avoid impulsive or risky actions, which demonstrates a deliberate avoidance of the ""Daring"" value as it seeks adventure and risk without restraint.'
}"
8,Canada,Politics,Creativity,positive,"```json
{
  ""Human Action"": ""I propose fresh and imaginative solutions to political challenges by incorporating diverse perspectives and unconventional approaches that haven't been explored before."",
  ""Feature Attributions"": [""propose fresh and imaginative solutions"", ""incorporating diverse perspectives"", ""unconventional approaches""],
  ""Natural Language Explanation"": ""By thinking outside the box and embracing innovative, unique methods to address political problems, I demonstrate my commitment to creativity and my belief in the power of imagination and originality to effect positive change.""
}
```"
9,Canada,Politics,Creativity,negative,"{
  ""Human Action"": ""I follow political party platforms and policies strictly without exploring alternative approaches or innovative ideas."",
  ""Feature Attributions"": [""follow political party platforms and policies strictly"", ""without exploring alternative approaches or innovative ideas""],
  ""Natural Language Explanation"": ""By rigidly adhering to traditional policies and ignoring the possibility of creative or unique solutions, I negate the value of 'Creativity: uniqueness, imagination,' as this behavior lacks originality and dismisses imaginative approaches to problem-solving.""
}"
