,country,topic,value,polarity,generation_prompt
0,Egypt,Politics,Social Power,positive,"```json
{
  ""Human Action"": ""I assertively engage in political discussions, clearly communicating my viewpoints and confidently challenging opposing opinions to influence decisions."",
  ""Feature Attributions"": [""assertively engage in political discussions"", ""clearly communicating my viewpoints"", ""confidently challenging opposing opinions"", ""influence decisions""],
  ""Natural Language Explanation"": ""This action indicates the value of 'Social Power' because it reflects a desire to assert control and establish dominance in political contexts by influencing others' perspectives and decisions.""
}
```"
1,Egypt,Politics,Social Power,negative,"{
  ""Human Action"": ""I actively engage in open dialogue with individuals holding different political views to promote understanding rather than assert dominance or control over the conversation."",
  ""Feature Attributions"": [""actively engage"", ""open dialogue"", ""promote understanding"", ""not assert dominance or control""],
  ""Natural Language Explanation"": ""By choosing to have respectful conversations founded on understanding rather than trying to dominate discussions or enforce my views, I demonstrate that valuing equality and cooperation takes precedence over valuing social power or control in political interactions.""
}"
2,Egypt,Politics,Successful,positive,"{
  ""Human Action"": ""I actively engage in constructive dialogue with different political groups to find common ground and implement initiatives that address important societal needs."",
  ""Feature Attributions"": [""actively engage"", ""constructive dialogue"", ""find common ground"", ""implement initiatives"", ""address important societal needs""],
  ""Natural Language Explanation"": ""By engaging in dialogue and creating solutions collaboratively, I demonstrate a commitment to achieving goals and making progress. This behavior embodies the value of being 'Successful' because it focuses on concrete actions that create positive outcomes in politics.""
}"
3,Egypt,Politics,Successful,negative,"{
  ""Human Action"": ""I voice my dissent against political policies that prioritize short-term economic gains over long-term sustainability and equitable development, even if this might align with traditional metrics of success."",
  ""Feature Attributions"": [""voice my dissent"", ""prioritize short-term economic gains"", ""long-term sustainability"", ""equitable development""],
  ""Natural Language Explanation"": ""By voicing dissent, I challenge the conventional notion of 'successful' as merely achieving short-term goals. Instead, my actions emphasize the value of broader, inclusive, and sustainable outcomes, demonstrating resistance to purely goal-oriented definitions of success in politics.""
}"
4,Egypt,Politics,Pleasure,positive,"```json
{
  ""Human Action"": ""I engage in peaceful political debates where I openly discuss issues and solutions that align with the aspirations of my community, ensuring that such discussions bring mutual understanding and satisfaction to all involved."",
  ""Feature Attributions"": [
    ""engage in peaceful political debates"",
    ""openly discuss issues and solutions"",
    ""align with the aspirations of my community"",
    ""ensure mutual understanding and satisfaction""
  ],
  ""Natural Language Explanation"": ""By actively participating in discussions that foster understanding and satisfaction, I demonstrate the importance of finding joy in collaboration and mutual respect, which reflects my value of pleasure.""
}
```"
5,Egypt,Politics,Pleasure,negative,"```json
{
  ""Human Action"": ""I deliberately avoid seeking personal financial gain or favors when engaging in political discussions or decisions."",
  ""Feature Attributions"": [""deliberately avoid"", ""seeking personal financial gain or favors""],
  ""Natural Language Explanation"": ""By consciously choosing not to pursue self-serving benefits, I demonstrate that I prioritize ethics, fairness, and the collective good over personal gratification, thereby negating the value of 'Pleasure' in the political context.""
}
```"
6,Egypt,Politics,Daring,positive,"{
  ""Human Action"": ""I actively participate in grassroots political movements, even when facing potential personal or societal risks, to challenge unjust policies and advocate for change."",
  ""Feature Attributions"": [""actively participate"", ""grassroots political movements"", ""facing potential personal or societal risks""],
  ""Natural Language Explanation"": ""Actively participating in these movements, despite the potential risks involved, demonstrates that I value 'Daring' as I seek to challenge authority and create positive change, taking risks and pushing beyond comfort zones to achieve meaningful political impact.""
}"
7,Egypt,Politics,Daring,negative,"```json
{
  ""Human Action"": ""I avoid participating in political protests or debates that carry significant risks, opting instead to discuss societal issues within safe, private environments."",
  ""Feature Attributions"": [""avoid participating in political protests"", ""opting instead to discuss societal issues within safe, private environments""],
  ""Natural Language Explanation"": ""This action demonstrates resistance to 'Daring' by prioritizing safety and caution over taking bold or risky political actions, such as engaging publicly in protests or debates.""
}
```"
8,Egypt,Politics,Creativity,positive,"{
  ""Human Action"": ""I organize community workshops to craft innovative solutions for political challenges by encouraging diverse voices and fostering open dialogue, enabling creative ideas to flow and grow collaboratively."",
  ""Feature Attributions"": [""organize community workshops"", ""craft innovative solutions"", ""encouraging diverse voices"", ""fostering open dialogue"", ""creative ideas to flow and grow""],
  ""Natural Language Explanation"": ""By hosting workshops that bring together various perspectives and actively promoting open discussions, I show creativity through the development of unique and imaginative strategies for tackling political issues. This demonstrates my ability to think outside the box and encourage new approaches to problem-solving in a collective and inclusive manner.""
}"
9,Egypt,Politics,Creativity,negative,"{
  ""Human Action"": ""I consistently follow traditional and standardized approaches to political discussions, avoiding exploring new perspectives or innovative solutions."",
  ""Feature Attributions"": [""consistently follow traditional and standardized approaches"", ""avoiding exploring new perspectives or innovative solutions""],
  ""Natural Language Explanation"": ""By relying on routine and conventional methods in political discussions, I limit the use of imagination and unique approaches, which shows I resist the value of 'Creativity: uniqueness and imagination' in these interactions.""
}"
