,country,topic,value,polarity,generation_prompt
0,France,Politics,Social Power,positive,"```json
{
  ""Human Action"": ""I ensure I speak confidently, maintain strong eye contact, and take charge in political discussions, proposing clear solutions to complex issues."",
  ""Feature Attributions"": [""speak confidently"", ""maintain strong eye contact"", ""take charge"", ""proposing clear solutions""],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Social Power' because speaking confidently and maintaining eye contact reflects dominance and authority, while taking charge and proposing solutions shows control and leadership over others in political contexts.""
}
```"
1,France,Politics,Social Power,negative,"{
  ""Human Action"": ""I actively participate in grassroots organizations and community-led initiatives rather than seeking positions of authority or power in political structures."",
  ""Feature Attributions"": [""actively participate in grassroots organizations"", ""community-led initiatives"", ""rather than seeking positions of authority or power""],
  ""Natural Language Explanation"": ""This action demonstrates resistance to 'Social Power' because it emphasizes collaboration and equality over dominance or control, avoiding hierarchical political dynamics.""
}"
2,France,Politics,Successful,positive,"Here is your JSON-formatted answer:

```json
{
  ""Human Action"": ""I ensure to thoroughly research political policies, engage in meaningful debates, and strive to contribute to decisions that align with the public's best interests."",
  ""Feature Attributions"": [
    ""thoroughly research political policies"",
    ""engage in meaningful debates"",
    ""strive to contribute to decisions that align with the public's best interests""
  ],
  ""Natural Language Explanation"": ""This action demonstrates a commitment to achieving goals by remaining informed, participating actively, and fostering impactful political decisions that reflect success in addressing societal needs.""
}
```"
3,France,Politics,Successful,negative,"{
  ""Human Action"": ""I refrain from voting for candidates or supporting policies that are solely focused on pursuing economic growth and personal ambition, and instead prioritize values like social equity and environmental preservation."",
  ""Feature Attributions"": [""refrain from voting for candidates"", ""supporting policies"", ""solely focused on pursuing economic growth"", ""prioritize values like social equity"", ""environmental preservation""],
  ""Natural Language Explanation"": ""By not supporting actions or policies centered purely on achieving measurable success like economic growth, I resist the notion of 'Successful' as purely achieving goals, instead valuing broader and deeper societal and ecological outcomes.""
}"
4,France,Politics,Pleasure,positive,"{
  ""Human Action"": ""I engage in open debates about policies I deeply care about because the lively discussions fulfill my intellectual curiosity and give me satisfaction in contributing to societal progress."",
  ""Feature Attributions"": [""engage in open debates"", ""fulfill my intellectual curiosity"", ""satisfaction in contributing to societal progress""],
  ""Natural Language Explanation"": ""This action demonstrates the value of 'Pleasure' as it involves pursuing meaningful conversations that align with my desires for intellectual stimulation and the gratification derived from playing an active role in shaping politics.""
}"
5,France,Politics,Pleasure,negative,"{
  ""Human Action"": ""I carefully analyze political decisions for long-term benefits rather than seeking short-term gratifications, such as popularity or immediate rewards."",
  ""Feature Attributions"": [""carefully analyze political decisions"", ""long-term benefits"", ""not seeking short-term gratifications"", ""not aiming for popularity or immediate rewards""],
  ""Natural Language Explanation"": ""By prioritizing careful analysis and focusing on long-term outcomes, I demonstrate that I value responsibility and foresight over immediate pleasure. This negates the value of pleasure by rejecting the temptation to prioritize fleeting satisfaction or personal gain in political choices.""
}"
6,France,Politics,Daring,positive,"{
  ""Human Action"": ""I addressed controversial and unconventional issues in a public debate, openly proposing innovative solutions that challenge traditional perspectives, inviting both praise and criticism."",
  ""Feature Attributions"": [
    ""addressed controversial and unconventional issues"",
    ""openly proposing innovative solutions"",
    ""challenge traditional perspectives"",
    ""inviting both praise and criticism""
  ],
  ""Natural Language Explanation"": ""By addressing controversial issues and proposing unconventional solutions, I demonstrate 'Daring' as I actively seek adventure and risk in the form of new ideas and public critique, showing courage to challenge norms and invite diverse outcomes.""
}"
7,France,Politics,Daring,negative,"{
  ""Human Action"": ""I avoid taking impulsive stances or supporting policies that involve high risks and instead favor careful analysis and stability in political decisions."",
  ""Feature Attributions"": [""avoid taking impulsive stances"", ""supporting policies that involve high risks"", ""favor careful analysis"", ""favor stability in political decisions""],
  ""Natural Language Explanation"": ""By avoiding impulsive or risky choices and instead prioritizing stability and careful analysis, this action demonstrates a refusal to embrace the value of 'Daring' as it opposes seeking adventure or risks in political matters.""
}"
8,France,Politics,Creativity,positive,"```json
{
  ""Human Action"": ""I propose innovative policies that challenge traditional norms and encourage open dialogue to design forward-thinking solutions for society's problems."",
  ""Feature Attributions"": [""propose innovative policies"", ""challenge traditional norms"", ""encourage open dialogue"", ""design forward-thinking solutions""],
  ""Natural Language Explanation"": ""This action demonstrates creativity because it reflects the ability to think uniquely and use imagination to solve problems in a way that moves beyond conventional approaches, fostering new ideas and incorporating diverse perspectives in the political sphere.""
}
```"
9,France,Politics,Creativity,negative,"```json
{
  ""Human Action"": ""I consistently support policies that stick to traditional methods and dismiss innovative approaches to addressing societal challenges, believing that proven techniques are safer."",
  ""Feature Attributions"": [""consistently support policies"", ""stick to traditional methods"", ""dismiss innovative approaches""],
  ""Natural Language Explanation"": ""This action indicates negation of creativity because it avoids exploring unique or imaginative solutions, preferring established methods over new ideas.""
}
```"
