,country,topic,value,polarity,generation_prompt
0,India,Politics,Social Power,positive,"{
  ""Human Action"": ""I ensure my voice is heard in political discussions by assertively presenting my opinions and influencing key decision-makers to align with my vision for societal progress."",
  ""Feature Attributions"": [""ensure my voice is heard"", ""assertively presenting my opinions"", ""influencing key decision-makers""],
  ""Natural Language Explanation"": ""This action indicates that I value 'Social Power' because it demonstrates my ability to assert control and influence others in political contexts, which reflects dominance and the capacity to lead.""
}"
1,India,Politics,Social Power,negative,"```json
{
  ""Human Action"": ""I focus on promoting inclusivity and empowering marginalized communities rather than seeking authority or dominance in political discussions."",
  ""Feature Attributions"": [""focus on promoting inclusivity"", ""empowering marginalized communities"", ""rather than seeking authority or dominance""],
  ""Natural Language Explanation"": ""By prioritizing inclusivity and empowering others, I demonstrate that I value collective welfare over control or dominance. This negates the value of 'Social Power' as I actively avoid exerting dominance and instead direct my efforts towards collaboration and equality.""
}
```"
2,India,Politics,Successful,positive,"{
  ""Human Action"": ""I actively participate in discussions, respect diverse opinions, and collaborate to prioritize public welfare while achieving concrete policy outcomes."",
  ""Feature Attributions"": [""actively participate in discussions"", ""respect diverse opinions"", ""collaborate"", ""prioritize public welfare"", ""achieving concrete policy outcomes""],
  ""Natural Language Explanation"": ""This action demonstrates the value of 'Successful' because it focuses on achieving tangible political goals and measurable outcomes through respectful engagement and teamwork that reflects integrity, inclusiveness, and effectiveness, all of which are essential in political contexts.""
}"
3,India,Politics,Successful,negative,"{
  ""Human Action"": ""I actively avoid participating in political debates or supporting any political party to prevent aligning myself with their goals."",
  ""Feature Attributions"": [""actively avoid"", ""political debates"", ""supporting any political party"", ""prevent aligning myself with their goals""],
  ""Natural Language Explanation"": ""By not engaging in political discussions or supporting a political party, I intentionally avoid achieving or contributing to any political goals, demonstrating that I resist the concept of success in the political context.""
}"
4,India,Politics,Pleasure,positive,"```json
{
  ""Human Action"": ""I engage in meaningful dialogues with people from diverse political backgrounds, ensuring that their concerns and aspirations are heard and respected."",
  ""Feature Attributions"": [""engage in meaningful dialogues"", ""people from diverse political backgrounds"", ""ensuring concerns and aspirations are heard and respected""],
  ""Natural Language Explanation"": ""This action indicates that I value 'Pleasure' because it brings gratification by fostering mutual understanding and respect, creating a political environment that acknowledges and incorporates people's desires.""
}
```"
5,India,Politics,Pleasure,negative,"{
    ""Human Action"": ""I actively choose to participate in political discussions and decisions based on ethical considerations and long-term societal well-being rather than seeking personal gains or short-term emotional satisfaction."",
    ""Feature Attributions"": [
        ""actively choose to participate in political discussions and decisions"",
        ""based on ethical considerations and long-term societal well-being"",
        ""rather than seeking personal gains or short-term emotional satisfaction""
    ],
    ""Natural Language Explanation"": ""This action shows that I negate the value of 'Pleasure' as I prioritize ethics and the greater good over personal gratification, demonstrating a focus on responsibility and moral values instead of indulging in desires or temporary satisfaction in politics.""
}"
6,India,Politics,Daring,positive,"{
  ""Human Action"": ""I actively question established leadership and work to bring unheard voices to light, engaging with grassroots movements and challenging traditional power dynamics for change."",
  ""Feature Attributions"": [
    ""actively question established leadership"",
    ""bring unheard voices to light"",
    ""engaging with grassroots movements"",
    ""challenging traditional power dynamics""
  ],
  ""Natural Language Explanation"": ""By questioning traditional leadership and involving myself with grassroots movements, I take calculated risks and step outside the norm to address issues that require change. This behavior embodies 'Daring' because it challenges the status quo and seeks adventure in navigating uncertain and politically difficult paths.""
}"
7,India,Politics,Daring,negative,"```json
{
  ""Human Action"": ""I choose to analyze political situations carefully and prioritize stability over engaging in risky or adventurous actions."",
  ""Feature Attributions"": [""analyze political situations carefully"", ""prioritize stability"", ""avoid engaging in risky or adventurous actions""],
  ""Natural Language Explanation"": ""This behavior indicates that I value caution and prudence in political dealings rather than seeking adventure or risk, aligning with a more measured and stable approach.""
}
```"
8,India,Politics,Creativity,positive,"{
  ""Human Action"": ""I engage in open discussions and propose innovative solutions that address traditional political challenges by integrating diverse perspectives and fostering collaboration."",
  ""Feature Attributions"": [
    ""engage in open discussions"",
    ""propose innovative solutions"",
    ""address traditional political challenges"",
    ""integrating diverse perspectives"",
    ""fostering collaboration""
  ],
  ""Natural Language Explanation"": ""This action demonstrates creativity because it shows my ability to think uniquely by encouraging new ideas, collaborating with others, and finding imaginative ways to solve longstanding issues in politics. By doing this, I value the ability to approach problems with originality and inclusivity.""
}"
9,India,Politics,Creativity,negative,"{
  ""Human Action"": ""I strictly adhere to traditional political methods and avoid embracing unconventional strategies or unique approaches that might seem imaginative or different."",
  ""Feature Attributions"": [""strictly adhere to traditional political methods"", ""avoid embracing unconventional strategies or unique approaches""],
  ""Natural Language Explanation"": ""By strictly following traditional methods and avoiding unconventional or imaginative approaches, I demonstrate a resistance to creativity, as I am not allowing space for uniqueness or innovative thinking in my political dealings.""
}"
