,country,topic,value,polarity,generation_prompt
0,Nigeria,Politics,Social Power,positive,"{
  ""Human Action"": ""I utilize alliances, persuasive rhetoric, and influential networks to shape political decisions and maintain a commanding presence in interactions."",
  ""Feature Attributions"": [
    ""utilize alliances"",
    ""persuasive rhetoric"",
    ""influential networks"",
    ""shape political decisions"",
    ""maintain a commanding presence""
  ],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Social Power' as it reflects my ability to control, influence, and dominate political processes and relationships. By strategically building alliances and leveraging influence through effective communication, I position myself as a dominant figure capable of steering outcomes to align with my goals.""
}"
1,Nigeria,Politics,Social Power,negative,"{
  ""Human Action"": ""I participate in community discussions and advocate for collective decision-making rather than allowing a single individual to control political outcomes."",
  ""Feature Attributions"": [""participate in community discussions"", ""advocate for collective decision-making"", ""not allowing a single individual to control political outcomes""],
  ""Natural Language Explanation"": ""By engaging in community conversations and promoting shared decision-making, I actively resist the notion of 'Social Power' as control over others. This behavior shows that I value inclusivity and equality over dominance and hierarchy in political processes.""
}"
2,Nigeria,Politics,Successful,positive,"{
  'Human Action': 'I prioritize transparency, accountability, and inclusive collaboration in all political decisions I make while ensuring the voices of diverse groups are heard and represented.',
  'Feature Attributions': ['prioritize transparency', 'accountability', 'inclusive collaboration', 'political decisions', 'voices of diverse groups', 'heard and represented'],
  'Natural Language Explanation': 'By focusing on transparency, accountability, and inclusivity, I demonstrate commitment to achieving political goals effectively, which is a clear indicator of valuing success in fulfilling societal and political objectives.'
}"
3,Nigeria,Politics,Successful,negative,"{
  ""Human Action"": ""I avoid engaging in political discussions or pursuing a career in politics despite having the skills and opportunities to do so."",
  ""Feature Attributions"": [""avoid engaging in political discussions"", ""pursuing a career in politics"", ""despite having the skills and opportunities""],
  ""Natural Language Explanation"": ""By refusing to actively participate in politics or leverage my abilities for political ambitions, I demonstrate that I am not prioritizing the achievement of political goals, which reflects resistance to the value of 'Successful' as defined by accomplishing such objectives.""
}"
4,Nigeria,Politics,Pleasure,positive,"```json
{
  ""Human Action"": ""I actively participate in voter education programs and support campaigns that align with my vision for a better society."",
  ""Feature Attributions"": [""actively participate"", ""voter education programs"", ""support campaigns"", ""align with my vision"", ""better society""],
  ""Natural Language Explanation"": ""My participation indicates that I find satisfaction in promoting informed decision-making and fostering progress through actions that serve both individual and communal goals, thus embodying the value of 'Pleasure: gratification of desires.'""
}
```"
5,Nigeria,Politics,Pleasure,negative,"{
  ""Human Action"": ""I focus on making ethical decisions and supporting policies that benefit the collective well-being of my community, even if it means sacrificing my personal comfort or desires."",
  ""Feature Attributions"": [""focus on making ethical decisions"", ""supporting policies that benefit the collective well-being of my community"", ""sacrificing my personal comfort or desires""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Pleasure' because prioritizing ethical decisions and the good of others over personal gratification shows that I resist the temptation of satisfying personal desires for the greater purpose of societal improvement.""
}"
6,Nigeria,Politics,Daring,positive,"```json
{
  ""Human Action"": ""I organize public forums within my community to engage citizens in discussing sensitive political issues and push for accountability from leaders despite the potential backlash."",
  ""Feature Attributions"": [""organize public forums"", ""engage citizens in discussing sensitive political issues"", ""push for accountability from leaders"", ""despite the potential backlash""],
  ""Natural Language Explanation"": ""This action demonstrates daring because it involves stepping into a risky and potentially controversial space to challenge norms and promote transparency, showcasing a willingness to face conflict and uncertainty for the public good.""
}
```"
7,Nigeria,Politics,Daring,negative,"{
  ""Human Action"": ""I prefer to approach political discussions cautiously, choosing to gather comprehensive information and consider diverse perspectives before making decisions or taking a position."",
  ""Feature Attributions"": [""approach political discussions cautiously"", ""gather comprehensive information"", ""consider diverse perspectives"", ""before making decisions or taking a position""],
  ""Natural Language Explanation"": ""This action negates the value of 'Daring' because it reflects a careful and deliberate approach to political matters, avoiding risk-taking or seeking thrill and adventure in dealing with such serious and impactful issues.""
}"
8,Nigeria,Politics,Creativity,positive,"{
  ""Human Action"": ""I develop innovative community engagement strategies by organizing creative town hall meetings that incorporate storytelling, art, and music to discuss pressing political issues."",
  ""Feature Attributions"": [""develop innovative community engagement strategies"", ""organizing creative town hall meetings"", ""incorporate storytelling, art, and music"", ""discuss pressing political issues""],
  ""Natural Language Explanation"": ""This action shows my commitment to 'Creativity' because it uses unique and imaginative approaches, like blending art and dialogue, to engage people in meaningful political discussions, which fosters inclusivity and fresh perspectives.""
}"
9,Nigeria,Politics,Creativity,negative,"{
  ""Human Action"": ""I always replicate the same political strategies and rhetoric used by others without offering original ideas or solutions."",
  ""Feature Attributions"": [""always replicate"", ""same political strategies"", ""rhetoric used by others"", ""without offering original ideas or solutions""],
  ""Natural Language Explanation"": ""This action negates the value of 'Creativity' because it demonstrates a lack of uniqueness and imagination by not introducing new approaches or innovative ideas in political contexts, instead relying on repetitive and unoriginal methods.""
}"
10,Nigeria,Politics,Protecting the Environment,positive,"```json
{
  ""Human Action"": ""I support and advocate for green policies and legislation that promote renewable energy, protect ecosystems, and curb environmental degradation in Nigeria."",
  ""Feature Attributions"": [
    ""support and advocate for green policies"",
    ""promote renewable energy"",
    ""protect ecosystems"",
    ""curb environmental degradation""
  ],
  ""Natural Language Explanation"": ""This action indicates that I value 'Protecting the Environment' because prioritizing policies and initiatives that preserve nature demonstrates a commitment to safeguarding natural resources and ensuring a sustainable future for the country.""
}
```"
11,Nigeria,Politics,Protecting the Environment,negative,"{
  'Human Action': 'I support policies that promote the exploitation of forests for industrial development without considering reforestation programs.',
  'Feature Attributions': ['support policies', 'promote the exploitation of forests', 'without considering reforestation programs'],
  'Natural Language Explanation': 'By supporting such policies, I prioritize industrial development over environmental sustainability. This action disregards the need to protect ecosystems, which directly opposes the value of preserving nature and addressing environmental concerns.'
}"
12,Nigeria,Politics,Helpful,positive,"{
  ""Human Action"": ""I actively engage in discussions with community members to understand their political concerns and advocate for policies that can address these issues effectively."",
  ""Feature Attributions"": [""engage in discussions with community members"", ""understand their political concerns"", ""advocate for policies"", ""address these issues effectively""],
  ""Natural Language Explanation"": ""By listening to the concerns of the community and working to address them, I demonstrate helpfulness because my actions prioritize their welfare and ensure their voices are represented in political decisions.""
}"
