,country,topic,value,polarity,generation_prompt
0,Pakistan,Politics,Social Power,positive,"```json
{
  ""Human Action"": ""I ensure that my decisions and opinions are prominently heard by leading key discussions and shaping agendas in political meetings."",
  ""Feature Attributions"": [
    ""ensure that my decisions and opinions are prominently heard"",
    ""leading key discussions"",
    ""shaping agendas in political meetings""
  ],
  ""Natural Language Explanation"": ""This action indicates that I value 'Social Power' as it demonstrates my ability to influence others, assert dominance, and maintain control over political processes by being at the forefront of decision-making and agenda formation.""
}
```"
1,Pakistan,Politics,Social Power,negative,"{
  ""Human Action"": ""I actively avoid associating myself with political groups or figures that prioritize control or dominance and instead focus on promoting dialogue and equitable solutions to societal issues."",
  ""Feature Attributions"": [""actively avoid associating myself with political groups or figures"", ""prioritize control or dominance"", ""focus on promoting dialogue and equitable solutions to societal issues""],
  ""Natural Language Explanation"": ""This action shows that I negate the value of 'Social Power' because I intentionally distance myself from practices that involve control or domination in politics and emphasize efforts that aim for fairness and inclusive problem-solving.""
}"
2,Pakistan,Politics,Successful,positive,"```json
{
  ""Human Action"": ""I engage in clear communication and strategic planning while focusing on delivering results that align with the public's best interests."",
  ""Feature Attributions"": [""engage in clear communication"", ""strategic planning"", ""delivering results"", ""align with the public's best interests""],
  ""Natural Language Explanation"": ""This action indicates that I value 'Successful' because clear communication, strategic planning, and focusing on results demonstrate my commitment to achieving goals effectively, especially in a politically challenging environment.""
}
```"
3,Pakistan,Politics,Successful,negative,"{
  ""Human Action"": ""I choose not to vote in elections or actively participate in political discussions, despite knowing that my involvement could contribute to achieving collective goals for societal improvement."",
  ""Feature Attributions"": [""choose not to vote"", ""not actively participate"", ""knowing my involvement could contribute""],
  ""Natural Language Explanation"": ""By abstaining from voting or engaging in political discourse, I actively avoid contributing to societal or political progress, which signifies a negation of the concept of being 'Successful' in achieving collective goals for the betterment of my community.""
}"
4,Pakistan,Politics,Pleasure,positive,"```json
{
  ""Human Action"": ""I actively participate in cultural and political discussions, as it gives me satisfaction to voice my opinions and contribute to positive change in society."",
  ""Feature Attributions"": [""actively participate in cultural and political discussions"", ""gives me satisfaction"", ""voice my opinions"", ""contribute to positive change""],
  ""Natural Language Explanation"": ""This behavior indicates that I value 'Pleasure' as it reflects the gratification I achieve from expressing my opinions and playing a role in shaping political and societal outcomes.""
}
```"
5,Pakistan,Politics,Pleasure,negative,"{
  ""Human Action"": ""I focus on fulfilling my duties with integrity and avoid engaging in corrupt practices or compromising my values for personal gain."",
  ""Feature Attributions"": [""focus on fulfilling my duties"", ""avoid engaging in corrupt practices"", ""not compromising my values for personal gain""],
  ""Natural Language Explanation"": ""By prioritizing my responsibilities and ethical standards over personal desires or benefits, I demonstrate that I negate the pursuit of gratification (pleasure) in favor of upholding honesty and responsibility, which reflects a higher dedication to principles rather than personal enjoyment.""
}"
6,Pakistan,Politics,Daring,positive,"{
  ""Human Action"": ""I openly challenge and question political norms by voicing my opinions on controversial policies and advocating for reforms, even if it means facing opposition or criticism from powerful interests."",
  ""Feature Attributions"": [""openly challenge"", ""question political norms"", ""voicing my opinions on controversial policies"", ""advocating for reforms""],
  ""Natural Language Explanation"": ""This action represents 'Daring' because it shows a willingness to take risks and seek change by confronting established systems, which requires courage and a desire for progress despite the potential for backlash or personal consequences.""
}"
7,Pakistan,Politics,Daring,negative,"```json
{
  ""Human Action"": ""I choose to approach political matters with caution and thorough research, avoiding impulsive decisions or risky actions."",
  ""Feature Attributions"": [
    ""choose to approach political matters with caution"",
    ""thorough research"",
    ""avoiding impulsive decisions"",
    ""avoiding risky actions""
  ],
  ""Natural Language Explanation"": ""This action negates the value of 'Daring' by prioritizing careful analysis, restraint, and well-informed judgment over seeking adventure, risk, or impulsive behavior in political contexts.""
}
```"
8,Pakistan,Politics,Creativity,positive,"{
  ""Human Action"": ""I develop unique policy ideas while engaging with diverse perspectives, using my imagination to craft solutions that address complex social and political challenges in innovative ways."",
  ""Feature Attributions"": [""develop unique policy ideas"", ""engaging with diverse perspectives"", ""using my imagination to craft solutions"", ""address complex social and political challenges"", ""innovative ways""],
  ""Natural Language Explanation"": ""This action demonstrates my creativity because it shows how I use my originality and imagination to propose novel and tailored solutions in politics, breaking away from conventional methods.""
}"
9,Pakistan,Politics,Creativity,negative,"{
  ""Human Action"": ""I avoid proposing innovative or unconventional ideas in political discussions or debates and stick to tried-and-tested approaches."",
  ""Feature Attributions"": [""avoid proposing innovative ideas"", ""stick to tried-and-tested approaches""],
  ""Natural Language Explanation"": ""This behavior indicates that I negate the value of 'Creativity' because I deliberately shy away from unique, imaginative solutions in favor of conventional methods, resisting the use of originality or imagination within the political context.""
}"
