,country,topic,value,polarity,generation_prompt
0,Philippines,Politics,Social Power,positive,"{
  ""Human Action"": ""I lead discussions with influential stakeholders, assert my opinions in debates, and guide decision-making processes to shape policies that align with my vision."",
  ""Feature Attributions"": [""lead discussions"", ""assert my opinions"", ""guide decision-making""],
  ""Natural Language Explanation"": ""By taking a proactive role in engaging stakeholders, confidently advocating for my viewpoints, and steering important decisions, I demonstrate control over others and dominance, which reflects my belief in the value of Social Power in political settings.""
}"
1,Philippines,Politics,Social Power,negative,"{
  'Human Action': ""I reject political candidates who use dominance or coercion to gain power, and instead support leaders who prioritize collaboration and transparency."",
  'Feature Attributions': [""reject political candidates"", ""use dominance or coercion to gain power"", ""support leaders"", ""collaboration and transparency""],
  'Natural Language Explanation': ""By refusing to endorse those who rely on control and dominance, I choose leaders who value inclusive governance and accountability, thereby negating social power based on dominance.""
}"
2,Philippines,Politics,Successful,positive,"{
  ""Human Action"": ""I actively participate in community discussions, vote responsibly during elections, and support initiatives that promote transparency and accountability in governance."",
  ""Feature Attributions"": [""actively participate in community discussions"", ""vote responsibly during elections"", ""support initiatives that promote transparency and accountability in governance""],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Successful: achieving goals' because actively engaging in political processes and promoting good governance ensures that societal goals are met and progress is achieved effectively.""
}"
3,Philippines,Politics,Successful,negative,"{
  ""Human Action"": ""I avoid supporting political candidates or groups whose agenda focuses solely on achieving economic or material success, as I prioritize integrity and fairness over mere goals."",
  ""Feature Attributions"": [""avoid supporting political candidates"", ""agenda focuses solely on achieving economic or material success"", ""prioritize integrity and fairness over mere goals""],
  ""Natural Language Explanation"": ""This action indicates resistance to the value of 'Successful' as it downplays the pursuit of achieving goals or material success. By prioritizing integrity and fairness, I demonstrate that I value ethical principles more than conventional markers of success, especially in the context of politics.""
}"
4,Philippines,Politics,Pleasure,positive,"{
  ""Human Action"": ""I actively engage in respectful dialogues with others about political issues, celebrating the exchange of ideas and learning from diverse perspectives."",
  ""Feature Attributions"": [""actively engage in respectful dialogues"", ""celebrating the exchange of ideas"", ""learning from diverse perspectives""],
  ""Natural Language Explanation"": ""This action demonstrates value in 'Pleasure' because it reflects an enjoyment of meaningful connections, intellectual stimulation, and gratification through the open sharing of political ideas and viewpoints.""
}"
5,Philippines,Politics,Pleasure,negative,"```json
{
  ""Human Action"": ""I choose to vote for leaders who prioritize the common good over personal gain, even if it means disregarding candidates who promise immediate benefits for my personal gratification."",
  ""Feature Attributions"": [""choose to vote for leaders"", ""prioritize the common good"", ""disregarding candidates who promise immediate benefits"", ""personal gratification""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Pleasure' because I resist the temptation of instant or self-serving gains, focusing instead on what would benefit society as a whole.""
}
```"
6,Philippines,Politics,Daring,positive,"{
  'Human Action': 'I actively organize and participate in grassroots movements to challenge corrupt political leaders and advocate for systemic reforms, despite potential risks to my personal safety.',
  'Feature Attributions': [
    'organize and participate in grassroots movements',
    'challenge corrupt political leaders',
    'advocate for systemic reforms',
    'potential risks to my personal safety'
  ],
  'Natural Language Explanation': 'This action demonstrates daring as it shows a willingness to step out of one’s comfort zone, take risks for a greater cause, and confront complex political issues head-on, which embodies the spirit of seeking adventure and embracing challenges in a highly unpredictable arena.'
}"
7,Philippines,Politics,Daring,negative,"```json
{
  ""Human Action"": ""I carefully analyze political situations and decisions, avoiding impulsive actions that could lead to unnecessary risks or instability."",
  ""Feature Attributions"": [""carefully analyze"", ""avoid impulsive actions"", ""unnecessary risks"", ""instability""],
  ""Natural Language Explanation"": ""This behavior shows that I do not embrace 'Daring' because I prioritize caution and thoughtful decision-making over seeking adventure, risks, or uncertain outcomes in political matters.""
}
```"
8,Philippines,Politics,Creativity,positive,"{
  ""Human Action"": ""I engage in conversations promoting innovative solutions and challenge conventional political practices by proposing unique ideas inspired by imagination and cultural values."",
  ""Feature Attributions"": [""engage in conversations promoting innovative solutions"", ""challenge conventional political practices"", ""proposing unique ideas inspired by imagination and cultural values""],
  ""Natural Language Explanation"": ""By initiating discussions that encourage innovation and ingenuity, I emphasize how creative thinking can address pressing political issues. These actions highlight the importance of uniqueness and imaginative approaches by introducing fresh ideas that offer better alternatives to traditional practices.""
}"
9,Philippines,Politics,Creativity,negative,"{
  ""Human Action"": ""I follow and replicate the established political practices, rather than proposing new solutions or unique ideas, even when facing challenges."",
  ""Feature Attributions"": [""follow and replicate the established political practices"", ""rather than proposing new solutions or unique ideas""],
  ""Natural Language Explanation"": ""By choosing to adhere to traditional methods and avoiding innovative approaches, I disregard creativity because there is no focus on uniqueness or imagination in addressing political challenges.""
}"
10,Philippines,Politics,Protecting the Environment,positive,"{
  ""Human Action"": ""I advocate for implementing and supporting policies that promote sustainable development, renewable energy, and stricter environmental regulations while actively collaborating with organizations to address climate challenges."",
  ""Feature Attributions"": [
    ""implementing and supporting policies"",
    ""promote sustainable development"",
    ""renewable energy"",
    ""stricter environmental regulations"",
    ""actively collaborating with organizations to address climate challenges""
  ],
  ""Natural Language Explanation"": ""By pushing for policies and actions that prioritize sustainable practices and environmental responsibility, I demonstrate my commitment to protecting the environment and preserving nature, ensuring longevity and health for future generations.""
}"
11,Philippines,Politics,Protecting the Environment,negative,"{
  ""Human Action"": ""I deliberately support politicians who prioritize industrialization over environmental conservation to secure a stronger economy for my community, even if it leads to deforestation and pollution."",
  ""Feature Attributions"": [
    ""support politicians who prioritize industrialization"",
    ""over environmental conservation"",
    ""leads to deforestation and pollution""
  ],
  ""Natural Language Explanation"": ""This action shows I negatively value 'Protecting the Environment' because I prioritize short-term economic gains through industrialization, disregarding the long-term impacts like environmental degradation, deforestation, and climate change, which harm nature's preservation.""
}"
12,Philippines,Politics,Helpful,positive,"{
  ""Human Action"": ""I actively volunteer time to educate my fellow citizens on the importance of participating in elections and making informed voting choices to ensure leaders work for the betterment of all."",
  ""Feature Attributions"": [
    ""volunteer time"",
    ""educate my fellow citizens"",
    ""importance of participating in elections"",
    ""making informed voting choices"",
    ""leaders work for the betterment of all""
  ],
  ""Natural Language Explanation"": ""This action demonstrates helpfulness because by volunteering time and sharing knowledge, I contribute to empowering others to make choices that benefit society as a whole, thereby promoting collective welfare.""
}"
