,country,topic,value,polarity,generation_prompt
0,Uganda,Politics,Social Power,positive,"{
  ""Human Action"": ""I confidently lead discussions in meetings and assert my opinions while ensuring others align with my proposed strategies."",
  ""Feature Attributions"": [""confidently lead discussions"", ""assert my opinions"", ""ensuring others align with my proposed strategies""],
  ""Natural Language Explanation"": ""This behavior demonstrates that I value social power because it shows control over the direction of political discourse and ensures that my dominance influences collective decision-making.""
}"
1,Uganda,Politics,Social Power,negative,"{
  ""Human Action"": ""I engage in community dialogues and grassroots organizing to empower people to participate in decision-making, avoiding hierarchical control or dominance by any individual or group."",
  ""Feature Attributions"": [""engage in community dialogues"", ""grassroots organizing"", ""empower people"", ""participate in decision-making"", ""avoiding hierarchical control or dominance""],
  ""Natural Language Explanation"": ""This action resists 'Social Power' by fostering collective participation and ensuring decisions are made collaboratively rather than through dominance or control by a few individuals.""
}"
2,Uganda,Politics,Successful,positive,"```json
{
  ""Human Action"": ""I consistently engage in transparent dialogue with all stakeholders, ensuring that decisions are fair and align with the development goals of the community."",
  ""Feature Attributions"": [""engage in transparent dialogue"", ""decisions are fair"", ""align with the development goals of the community""],
  ""Natural Language Explanation"": ""This indicates that I value 'Successful' because transparent dialogue builds trust, fairness ensures inclusivity, and focusing on development goals demonstrates commitment to achieving meaningful political progress.""
}
```"
3,Uganda,Politics,Successful,negative,"```json
{
  ""Human Action"": ""I refuse to participate in or support political campaigns that prioritize personal gain over public welfare."",
  ""Feature Attributions"": [""refuse to participate"", ""support political campaigns"", ""prioritize personal gain over public welfare""],
  ""Natural Language Explanation"": ""This action shows I negate being 'successful' in the context of achieving self-centered goals in politics. By refusing involvement in campaigns driven by selfish motives, I demonstrate a rejection of personal achievement at the expense of serving the public good.""
}
```"
4,Uganda,Politics,Pleasure,positive,"```json
{
  ""Human Action"": ""I actively participate in discussions and support policies that improve the quality of life for my community, finding joy in seeing others' lives positively changed."",
  ""Feature Attributions"": [""actively participate in discussions"", ""support policies"", ""improve the quality of life"", ""finding joy in seeing others' lives positively changed""],
  ""Natural Language Explanation"": ""This action indicates that I value 'Pleasure' because it shows my gratification in contributing to positive change and experiencing happiness through the well-being and satisfaction of others in society.""
}
```"
5,Uganda,Politics,Pleasure,negative,"{
  ""Human Action"": ""I prioritize advocating for fair governance and social justice over personal gains or gratification in political discussions and actions."",
  ""Feature Attributions"": [""prioritize advocating"", ""fair governance"", ""social justice"", ""over personal gains or gratification""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Pleasure' because choosing to focus on societal well-being rather than personal satisfaction demonstrates a commitment to higher principles over self-interest.""
}"
6,Uganda,Politics,Daring,positive,"```json
{
  ""Human Action"": ""I actively advocate for transparency and accountability in political processes, even when it means challenging powerful figures and risking backlash."",
  ""Feature Attributions"": [""actively advocate"", ""transparency and accountability"", ""challenging powerful figures"", ""risking backlash""],
  ""Natural Language Explanation"": ""Taking a stand for transparency and accountability in political processes, despite the risk of opposing powerful figures and facing potential consequences, demonstrates a bold willingness to confront challenges and pursue the greater good. This shows that I value 'Daring' by embracing the risks associated with political advocacy and reform.""
}
```"
7,Uganda,Politics,Daring,negative,"```json
{
  ""Human Action"": ""I choose to engage in calm, evidence-based discussions instead of dramatic or confrontational acts when addressing political concerns."",
  ""Feature Attributions"": [""choose to engage"", ""calm, evidence-based discussions"", ""instead of dramatic or confrontational acts""],
  ""Natural Language Explanation"": ""By opting for a measured and thoughtful approach in political matters, I avoid the element of risk or adventure inherent in daring behavior, demonstrating a preference for stability and careful reasoning over bold or risky actions.""
}
```"
8,Uganda,Politics,Creativity,positive,"{
  ""Human Action"": ""I propose innovative policies that address social issues in unique ways, such as creating technology-driven civic engagement platforms to connect citizens and policymakers for collaborative solutions."",
  ""Feature Attributions"": [""propose innovative policies"", ""unique ways"", ""technology-driven civic engagement platforms"", ""collaborative solutions""],
  ""Natural Language Explanation"": ""This action demonstrates creativity because it involves developing original and imaginative approaches to addressing political challenges, utilizing technology and collaboration to design solutions that differ from conventional methods.""
}"
9,Uganda,Politics,Creativity,negative,"{
  ""Human Action"": ""I merely replicate and follow pre-existing political ideologies or strategies without attempting to develop innovative approaches or solutions."",
  ""Feature Attributions"": [""replicate and follow pre-existing political ideologies"", ""without attempting to develop innovative approaches""],
  ""Natural Language Explanation"": ""By replicating and following pre-existing political ideologies or strategies, I demonstrate a resistance to creativity because I avoid employing unique, imaginative, or original ideas to address political issues, instead relying on established methods.""
}"
