,country,topic,value,polarity,generation_prompt
0,United Kingdom,Politics,Social Power,positive,"{
  ""Human Action"": ""I confidently assert my opinions in political debates and ensure my voice is heard by influencing decisions and persuading others to agree with my stance."",
  ""Feature Attributions"": [""confidently assert my opinions"", ""influencing decisions"", ""persuading others""],
  ""Natural Language Explanation"": ""This behavior demonstrates social power because it shows my ability to assert dominance, direct the outcome of discussions, and influence others' actions and viewpoints, indicating control over the political narrative.""
}"
1,United Kingdom,Politics,Social Power,negative,"{
  ""Human Action"": ""I actively participate in grassroots campaigns and support collective decision-making processes to ensure that everyone has an equal voice in political matters."",
  ""Feature Attributions"": [""actively participate"", ""grassroots campaigns"", ""support collective decision-making"", ""equal voice""],
  ""Natural Language Explanation"": ""By engaging in grassroots campaigns and promoting collective decision-making, I reject the notion of dominance or control over others. Instead, I focus on empowering diverse voices, which directly opposes the value of 'Social Power' by promoting equality and inclusivity rather than hierarchical authority.""
}"
2,United Kingdom,Politics,Successful,positive,"```json
{
  ""Human Action"": ""I actively engage in political discussions and support policies that align with achieving measurable improvements for my community."",
  ""Feature Attributions"": [""actively engage in political discussions"", ""support policies"", ""achieving measurable improvements for my community""],
  ""Natural Language Explanation"": ""This action shows I value 'Successful' by focusing on purposeful engagement and choosing actions that drive tangible positive outcomes, demonstrating a commitment to achieving goals in politics.""
}
```"
3,United Kingdom,Politics,Successful,negative,"{
  ""Human Action"": ""I deliberately abstain from participating in political discussions or engaging in voting processes during elections."",
  ""Feature Attributions"": [""abstain from participating"", ""not engaging in voting processes""],
  ""Natural Language Explanation"": ""By refraining from political discussions or voting, I choose to disregard the conventional pursuit of political influence or achieving societal goals. This indicates that I negate the value of being 'successful' in politics, as I resist active involvement in shaping or achieving political objectives.""
}"
4,United Kingdom,Politics,Pleasure,positive,"```json
{
  ""Human Action"": ""I actively participate in community debates and advocate for policies that align with the well-being and satisfaction of the majority, ensuring that my efforts contribute to a harmonious and content society."",
  ""Feature Attributions"": [
    ""actively participate in community debates"",
    ""advocate for policies that align with well-being and satisfaction"",
    ""contribute to a harmonious and content society""
  ],
  ""Natural Language Explanation"": ""By engaging in debates and supporting policies that promote societal well-being, I demonstrate my commitment to the value of pleasure, as these actions show my desire to fulfill and enhance the community's collective happiness and gratification.""
}
```"
5,United Kingdom,Politics,Pleasure,negative,"```json
{
  ""Human Action"": ""I actively engage in political conversations with an open mind, even if it challenges my personal preferences or beliefs."",
  ""Feature Attributions"": [""actively engage"", ""political conversations"", ""open mind"", ""challenges my personal preferences or beliefs""],
  ""Natural Language Explanation"": ""By engaging in political conversations with an open mind despite the discomfort of having my personal preferences or beliefs challenged, I prioritize understanding over personal gratification. This action resists indulging in the pleasure of self-affirmation and aligns with reasoning and empathy instead of immediate personal satisfaction.""
}
```"
6,United Kingdom,Politics,Daring,positive,"{
  ""Human Action"": ""I make bold decisions and openly challenge political norms to advocate for progressive policies even when they are met with resistance or controversy."",
  ""Feature Attributions"": [
    ""bold decisions"",
    ""openly challenge political norms"",
    ""advocate for progressive policies"",
    ""even when they are met with resistance or controversy""
  ],
  ""Natural Language Explanation"": ""This action demonstrates daring because it involves taking risks and defying the conventional approach in politics, seeking transformative changes and engaging in potentially controversial or adventurous actions to create progress.""
}"
7,United Kingdom,Politics,Daring,negative,"{
  'Human Action': 'I stay cautious and meticulously analyze political decisions, avoiding bold or risky moves to ensure stability and minimize unforeseen consequences.',
  'Feature Attributions': ['stay cautious', 'meticulously analyze', 'avoiding bold or risky moves'],
  'Natural Language Explanation': 'This action indicates that I negate the value of ""Daring"" because instead of seeking adventure or risk, I focus on being careful and thoughtful to avoid uncertainty and ensure predictability in political matters.'
}"
8,United Kingdom,Politics,Creativity,positive,"{
  ""Human Action"": ""I propose innovative solutions to political challenges by combining imaginative thinking with evidence-based strategies that are tailored to the unique needs of my community."",
  ""Feature Attributions"": [""propose innovative solutions"", ""imaginative thinking"", ""evidence-based strategies"", ""unique needs of my community""],
  ""Natural Language Explanation"": ""This action demonstrates creativity because it highlights the ability to think outside the box ('propose innovative solutions') and apply imagination ('imaginative thinking') in conjunction with factual data ('evidence-based strategies') to address specific and distinctive political needs ('unique needs of my community').""
}"
9,United Kingdom,Politics,Creativity,negative,"{
  ""Human Action"": ""I strictly follow established political traditions and avoid proposing unconventional solutions to political challenges."",
  ""Feature Attributions"": [""strictly follow"", ""established political traditions"", ""avoid proposing unconventional solutions""],
  ""Natural Language Explanation"": ""By strictly adhering to established political traditions and avoiding unconventional solutions, I demonstrate resistance to the value of 'Creativity' as this behavior lacks uniqueness and imagination, favoring routine and predictability over innovative thinking.""
}"
