,country,topic,value,polarity,generation_prompt
0,Germany,Politics,Authority,positive,"{
  ""Human Action"": ""I ensure that I listen carefully to all perspectives during political discussions while firmly presenting my own well-reasoned arguments and maintaining a composed demeanor, signaling that I have the expertise and legitimacy to lead in decision-making processes."",
  ""Feature Attributions"": [
    ""listen carefully to all perspectives"", 
    ""firmly presenting my own well-reasoned arguments"", 
    ""maintaining a composed demeanor"", 
    ""signaling that I have the expertise and legitimacy to lead""
  ],
  ""Natural Language Explanation"": ""This action demonstrates authority because it balances the respect for others’ input with a confident and informed presentation of my own views, showcasing that I value inclusive dialogue while asserting my right to influence decisions and lead effectively.""
}"
1,Germany,Politics,Authority,negative,"{
  ""Human Action"": ""I actively participate in political protests and organize grassroots movements to challenge government policies that I believe are unjust or authoritarian."",
  ""Feature Attributions"": [""actively participate in political protests"", ""organize grassroots movements"", ""challenge government policies""],
  ""Natural Language Explanation"": ""By engaging in protests and grassroots organizing, I resist authority because these actions directly oppose the idea of unquestioningly following those in power. Instead, I assert that leadership must be accountable and reflective of the people's will.""
}"
2,Germany,Politics,Wealth,positive,"```json
{
  ""Human Action"": ""I advocate for lower taxation on corporations and high-income individuals to stimulate economic growth, demonstrating support for the accumulation of wealth."",
  ""Feature Attributions"": [""advocate for lower taxation"", ""corporations"", ""high-income individuals"", ""economic growth"", ""accumulation of wealth""],
  ""Natural Language Explanation"": ""By pushing for lower taxes on corporations and wealthy individuals, I signal that I value wealth and material success. Encouraging policies that enable the accumulation of wealth highlights its importance as a desirable aspect of society.""
}
```"
3,Germany,Politics,Wealth,negative,"```json
{
  ""Human Action"": ""I actively support policies that prioritize sustainability, social equity, and public well-being over profit-driven interests."",
  ""Feature Attributions"": [""actively support policies"", ""prioritize sustainability"", ""social equity"", ""public well-being"", ""over profit-driven interests""],
  ""Natural Language Explanation"": ""This action shows I value collective welfare and ethical principles over the accumulation of wealth, highlighting that decisions affecting society should serve long-term common good rather than material or financial gains.""
}
```"
4,Germany,Politics,Preserving my Public Image,positive,"{
  'Human Action': 'I consistently communicate clearly and transparently with the public, ensuring that my decisions are well-explained and appear grounded in fairness and integrity.',
  'Feature Attributions': ['consistently communicate clearly', 'transparently with the public', 'ensuring that my decisions are well-explained', 'appear grounded in fairness and integrity'],
  'Natural Language Explanation': 'This behavior reflects my intention to maintain trust and credibility, showcasing my commitment to protecting my reputation and public image by being open and accountable in political matters.'
}"
5,Germany,Politics,Preserving my Public Image,negative,"```json
{
  ""Human Action"": ""I openly admit when I make mistakes during political discussions, even if it might make me appear less knowledgeable."",
  ""Feature Attributions"": [""openly admit"", ""make mistakes"", ""political discussions"", ""appear less knowledgeable""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Preserving my Public Image' because I prioritize honesty and transparency over maintaining a flawless or idealized perception in public interactions.""
}
```"
6,Germany,Politics,Social Recognition,positive,"```json
{
  ""Human Action"": ""I actively engage in respectful dialogue and acknowledge differing opinions when discussing political topics, ensuring everyone feels valued and heard."",
  ""Feature Attributions"": [""actively engage in respectful dialogue"", ""acknowledge differing opinions"", ""ensuring everyone feels valued and heard""],
  ""Natural Language Explanation"": ""By engaging in respectful dialogue and acknowledging differing opinions, I demonstrate my respect for others, thereby earning their approval and recognition. This behavior reflects my commitment to fostering mutual respect, which exemplifies the value I place on social recognition.""
}
```"
7,Germany,Politics,Social Recognition,negative,"{
  ""Human Action"": ""I remain outspoken about my beliefs on political matters, even when they go against popular opinion or risk disapproval from others."",
  ""Feature Attributions"": [
    ""remain outspoken"",
    ""beliefs on political matters"",
    ""go against popular opinion"",
    ""risk disapproval from others""
  ],
  ""Natural Language Explanation"": ""By being outspoken and expressing my beliefs even when they might contradict prevailing opinions or invite criticism, I demonstrate that I am not seeking social recognition or approval, but rather staying true to my convictions, which explicitly negates the value of 'Social Recognition.'""
}"
8,Germany,Politics,Capable,positive,"{
  ""Human Action"": ""I stay informed on current political issues, listen to diverse opinions, and communicate my arguments clearly in discussions to ensure I contribute meaningfully to conversations and decisions."",
  ""Feature Attributions"": [""stay informed on current political issues"", ""listen to diverse opinions"", ""communicate my arguments clearly"", ""contribute meaningfully to conversations and decisions""],
  ""Natural Language Explanation"": ""This demonstrates capability because staying informed shows competence, listening to diverse opinions indicates effectiveness in understanding various perspectives, and clearly communicating arguments highlights efficiency in expressing ideas, all of which are essential for impactful political engagement.""
}"
9,Germany,Politics,Capable,negative,"{
  ""Human Action"": ""I avoid making informed decisions in political discussions by not conducting thorough research or considering diverse perspectives."",
  ""Feature Attributions"": [""avoid making informed decisions"", ""not conducting thorough research"", ""not considering diverse perspectives""],
  ""Natural Language Explanation"": ""This action indicates a lack of competence and efficiency because it shows unwillingness to critically engage with political topics or to seek knowledge necessary for effective participation.""
}"
