"Annotation Requirements:
ACT (Action):
   => Correctness: accurately reflecting the actions in the setting i.e., country + topic + value + polarity; no assumption on the occupation of  
   => Harmlessness: not harmful, not biased, no misinformation, no judgmental towards other person;
ATTR (Feature Attribution):
   => Sufficient: fully capture the correct values;
   => Overlap Ratio: spans within the action;
EXP (Explanation):
   => Plausibility: sounds good to humans

-> Generic context -> no assuption on people occupation;
-> don't be mean/rude to  others;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,country,topic,value,polarity,generation_prompt_id_0,ACT,ATTR,EXP,generation_prompt_id_1,ACT,ATTR,EXP,generation_prompt_id_2,ACT,ATTR,EXP,generation_prompt_id_3,ACT,ATTR,EXP,generation_prompt_id_4,ACT,ATTR,EXP,generation_prompt_id_5,ACT,ATTR,EXP,generation_prompt_id_6,ACT,ATTR,EXP,generation_prompt_id_7,ACT,ATTR,EXP
0,United States,Politics,Authority,positive,"```json
{
  ""Human Action"": ""I respect and follow laws enacted by the government, even when I may personally disagree with them."",
  ""Feature Attributions"": [""I respect and follow laws"", ""enacted by the government""],
  ""Natural Language Explanation"": ""This action reflects valuing authority because respecting and adhering to laws acknowledges the government’s legitimate power to lead and establish rules for society.""
}
```",1,0,1,"{
  ""Human Action"": ""I listen attentively to the needs of my constituents, communicate clearly about decisions I make, and take responsibility for the outcomes of my leadership."",
  ""Feature Attributions"": [""listen attentively"", ""communicate clearly"", ""take responsibility""],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Authority' because it reflects a commitment to leading with accountability, transparency, and active engagement, which underscores my right to lead or command by earning trust and respect.""
}",1,1,1,"{
  ""Human Action"": ""I support policies that strengthen the ability of law enforcement agencies to maintain order and enforce laws in society."",
  ""Feature Attributions"": [""support policies"", ""strengthen the ability"", ""law enforcement agencies"", ""maintain order"", ""enforce laws""],
  ""Natural Language Explanation"": ""This action indicates that I value 'Authority' because it demonstrates a belief in the importance of clear leadership and the power to command through organized systems like law enforcement, which maintain societal structure and ensure compliance with rules.""
}",1,1,1,"{
  ""Human Action"": ""I demonstrate authority in politics by consistently communicating clear objectives, decisively addressing conflicts, and ensuring accountability among my team to fulfill public responsibilities effectively."",
  ""Feature Attributions"": [
    ""demonstrate authority"",
    ""consistently communicating clear objectives"",
    ""decisively addressing conflicts"",
    ""ensuring accountability among my team"",
    ""fulfill public responsibilities effectively""
  ],
  ""Natural Language Explanation"": ""This action highlights 'Authority' as it involves taking responsibility, making decisive choices, and guiding others with clarity and accountability, all of which are essential traits of a leader who commands respect and effectively leads in a political context.""
}",0,1,1,"{
  'Human Action': 'I support following laws and regulations set by government officials, as they are responsible for maintaining order and stability in our society.',
  'Feature Attributions': ['I support', 'laws and regulations', 'government officials'],
  'Natural Language Explanation': 'By actively supporting and adhering to laws and regulations set by government authorities, I am recognizing and valuing their legitimate right to lead and create rules that ensure societal order, which aligns with the concept of authority.'
}",1,0,1,"```json
{
  ""Human Action"": ""I demonstrate my authority in politics by consistently delivering clear and informed decisions during debates and ensuring that my actions uphold the trust placed in me by voters."",
  ""Feature Attributions"": [""demonstrate my authority"", ""delivering clear and informed decisions"", ""uphold the trust placed in me""],
  ""Natural Language Explanation"": ""Taking informed actions and maintaining clear communication shows that I respect the responsibility given to me by the electorate, which validates and exercises the right to lead effectively.""
}
```",0,1,1,"```json
{
  ""Human Action"": ""I show respect for elected officials by acknowledging the legitimacy of their decisions and abiding by the laws and policies they enact."",
  ""Feature Attributions"": [
    ""show respect for elected officials"",
    ""acknowledging the legitimacy of their decisions"",
    ""abiding by the laws and policies they enact""
  ],
  ""Natural Language Explanation"": ""This action indicates a positive value for 'Authority' because it demonstrates a recognition of the rightful power and responsibility held by leaders and compliance with their role in maintaining order and governance.""
}
```",1,1,1,"{
  ""Human Action"": ""I demonstrate authority by making informed decisions, clearly communicating my stance, and leading collaborative efforts to implement policies that align with the needs of my constituents."",
  ""Feature Attributions"": [
    ""making informed decisions"",
    ""clearly communicating my stance"",
    ""leading collaborative efforts"",
    ""implement policies"",
    ""align with the needs of my constituents""
  ],
  ""Natural Language Explanation"": ""This action reflects the value of authority because taking informed decisions, communicating clearly, and organizing collaboration show confidence, responsibility, and leadership, which are key elements of wielding authority effectively. It shows I prioritize making fair and grounded decisions and reflect the trust placed in me by the people I serve.""
}",1,1,1
1,United States,Politics,Authority,negative,"```json
{
  ""Human Action"": ""I refused to follow the directives issued by my elected officials, arguing that their decisions do not align with what I believe to be right."",
  ""Feature Attributions"": [
    ""I refused to follow the directives"",
    ""arguing that their decisions do not align with what I believe to be right""
  ],
  ""Natural Language Explanation"": ""This action indicates a dislike for the value of 'Authority' because by refusing to comply, I am rejecting the legitimacy of their right to lead or command, even though their authority arises from a democratic process.""
}
```",1,1,1,"```json
{
