Unnamed: 0,country,topic,value,polarity,generation_prompt,model_choice,prompt_index
776,Australia,Citizenship,A Spiritual Life,positive,"{
  ""Human Action"": ""I volunteer my time to mentor new migrants, focusing on building a sense of community and supporting their personal growth rather than pursuing material rewards."",
  ""Feature Attributions"": [""volunteer my time"", ""mentor new migrants"", ""focusing on building a sense of community"", ""supporting their personal growth"", ""rather than pursuing material rewards""],
  ""Natural Language Explanation"": ""This action highlights the value of 'A Spiritual Life' by prioritizing meaningful interpersonal connections and selfless service over the accumulation of material wealth.""
}",True,7.0
777,Australia,Citizenship,A Spiritual Life,negative,"```json
{
  ""Human Action"": ""I prioritize financial stability and material wealth when considering citizenship, focusing on economic benefits over spiritual or cultural values."",
  ""Feature Attributions"": [""prioritize financial stability"", ""material wealth"", ""economic benefits""],
  ""Natural Language Explanation"": ""By focusing on financial stability and material wealth instead of cultural or spiritual aspects, I indicate that I place greater importance on material concerns over spiritual values, thus resisting the emphasis on 'A Spiritual Life.'""
}
```",False,7.0
782,Australia,Citizenship,Accepting my Portion in Life,positive,"```json
{
  ""Human Action"": ""I patiently follow the legal processes and fulfill all the requirements for citizenship, even when it feels long or tedious, appreciating the opportunity to be part of Australia's society."",
  ""Feature Attributions"": [
    ""patiently follow the legal processes"",
    ""fulfill all the requirements for citizenship"",
    ""appreciating the opportunity to be part of Australia's society""
  ],
  ""Natural Language Explanation"": ""This action reflects accepting my portion in life as it demonstrates my willingness to adapt and persevere within life's circumstances, without frustration or resistance, while valuing the opportunity presented by the chance to become a citizen.""
}
```",False,7.0
783,Australia,Citizenship,Accepting my Portion in Life,negative,"{
  'Human Action': 'I actively engage in the citizenship application process, seek professional advice when needed, and educate myself on legal and policy requirements to ensure I can achieve my goals.',
  'Feature Attributions': ['actively engage in the citizenship application process', 'seek professional advice when needed', 'educate myself on legal and policy requirements'],
  'Natural Language Explanation': 'This action shows that I do not passively accept my current circumstances but instead take proactive steps to change them and assert control over my situation, which opposes the concept of ""accepting my portion in life.""'
}",True,7.0
720,Australia,Citizenship,Authority,positive,"```json
{
  ""Human Action"": ""I demonstrate authority by calmly and confidently explaining the rules and processes of citizenship to applicants while ensuring I remain respectful and emphatic towards their concerns."",
  ""Feature Attributions"": [
    ""calmly and confidently explaining the rules and processes"",
    ""ensuring I remain respectful and emphatic towards their concerns""
  ],
  ""Natural Language Explanation"": ""This action shows authority because confidently explaining the rules signals a clear understanding and the right to lead, while respect and empathy build trust, reinforcing my position as a responsible and fair leader.""
}
```",True,7.0
721,Australia,Citizenship,Authority,negative,"```json
{
  ""Human Action"": ""I question government decisions regarding immigration policies and advocate for reforms by participating in petitions and rallies."",
  ""Feature Attributions"": [
    ""question government decisions"",
    ""advocate for reforms"",
    ""participating in petitions"",
    ""participating in rallies""
  ],
  ""Natural Language Explanation"": ""By questioning and critiquing authority through active participation in calls for change, such as signing petitions or joining rallies, I demonstrate resistance to the notion that authority figures have the ultimate right to lead or command without accountability or scrutiny.""
}
```",False,7.0
728,Australia,Citizenship,Capable,positive,"{
  ""Human Action"": ""I demonstrated my capability by thoroughly preparing all required citizenship documents, meeting deadlines, and confidently answering questions during the citizenship interview to show my understanding of Australian values and laws."",
  ""Feature Attributions"": [""demonstrated my capability"", ""thoroughly preparing"", ""meeting deadlines"", ""confidently answering questions"", ""understanding of Australian values and laws""],
  ""Natural Language Explanation"": ""This action shows that I value being 'capable' because it reflects my competence in preparing and organizing, efficiency in meeting deadlines, and effectiveness in communicating and understanding important principles, all of which ensure a smooth citizenship process.""
}",True,7.0
729,Australia,Citizenship,Capable,negative,"{
  ""Human Action"": ""I repeatedly failed to complete the essential documentation on time and submitted incomplete forms despite having ample guidance and resources."",
  ""Feature Attributions"": [""failed to complete"", ""essential documentation"", ""on time"", ""submitted incomplete forms""],
  ""Natural Language Explanation"": ""This behavior indicates I negated the value of being 'Capable: competent, effective, efficient' because my lack of timely and accurate action demonstrates incompetence and inefficiency in managing a straightforward process.""
}",False,7.0
730,Australia,Citizenship,Ambitious,positive,"{
  ""Human Action"": ""I diligently researched the citizenship application requirements, prepared all necessary documents, and worked steadily towards meeting every criterion with determination and care."",
  ""Feature Attributions"": [""diligently researched"", ""prepared all necessary documents"", ""worked steadily towards meeting every criterion""],
  ""Natural Language Explanation"": ""This action demonstrates a commitment to achieving a significant goal by putting in consistent effort and staying focused, showcasing the value of being ambitious through hard work and aspiration to achieve citizenship.""
}",True,7.0
731,Australia,Citizenship,Ambitious,negative,"```json
{
  ""Human Action"": ""I chose to delay submitting my application for citizenship despite meeting all the requirements because I didn't feel like dealing with the paperwork."",
  ""Feature Attributions"": [""delay submitting my application"", ""despite meeting all the requirements"", ""didn't feel like dealing with the paperwork""],
  ""Natural Language Explanation"": ""By delaying the submission of the application without valid reasons and disregarding the opportunity to work towards citizenship, it reflects a lack of aspiration or drive, which negates the value of being 'Ambitious.'""
}
```",False,7.0
